# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.317
metadata : {}


# id : NWRW1800000056.317.1.1
[유레카] 제3한강교 / 김영희

[유레카]	[/SS+유레카/NNG+]/SS
제3한강교	제/XPN+3/SN+한강교/NNP
/	//SP
김영희	김영희/NNP


# id : NWRW1800000056.317.2.1
700만 관객을 돌파하고 문재인 대통령이 13일 고 위르겐 힌츠페터 부인과 함께 본 영화 <택시운전사>의 하이라이트 중 하나는 만섭이 가수 혜은이의 노래를 따라 부르다 운전대를 꺾는 장면이다.

700만	700/SN+만/NR
관객을	관객/NNG+을/JKO
돌파하고	돌파/NNG+하/XSV+고/EC
문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
13일	13/SN+일/NNB
고	고/MMA
위르겐	위르겐/NNP
힌츠페터	힌츠페터/NNP
부인과	부인/NNG+과/JKB
함께	함께/MAG
본	보/VV+ㄴ/ETM
영화	영화/NNG
<택시운전사>의	</SS+택시운전사/NNP+>/SS+의/JKG
하이라이트	하이라이트/NNG
중	중/NNB
하나는	하나/NR+는/JX
만섭이	만섭/NNP+이/JKS
가수	가수/NNG
혜은이의	혜은이/NNP+의/JKG
노래를	노래/NNG+를/JKO
따라	따르/VV+아/EC
부르다	부르/VV+다/EC
운전대를	운전대/NNG+를/JKO
꺾는	꺾/VV+는/ETM
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.317.2.2
제3한강교.

제3한강교.	제/XPN+3/SN+한강교/NNP+./SF


# id : NWRW1800000056.317.2.3
한강에 놓인 네번째 인도교이자 나중에 한남대교로 이름을 바꾼 이 다리의 1969년 12월 완공은 ‘강남 개발 신화’의 시발점으로 불린다.

한강에	한강/NNP+에/JKB
놓인	놓이/VV+ㄴ/ETM
네번째	네/MMN+번/NNB+째/XSN
인도교이자	인도교/NNG+이/VCP+자/EC
나중에	나중/NNG+에/JKB
한남대교로	한남대교/NNP+로/JKB
이름을	이름/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
이	이/MMD
다리의	다리/NNG+의/JKG
1969년	1969/SN+년/NNB
12월	12/SN+월/NNB
완공은	완공/NNG+은/JX
‘강남	‘/SS+강남/NNP
개발	개발/NNG
신화’의	신화/NNG+’/SS+의/JKG
시발점으로	시발점/NNG+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.317.3.1
1960년대 초까지 사람들이 한강을 건널 방법은 나룻배 외엔 한강인도교(제1한강교)와 광진교밖에 없었다.

1960년대	1960/SN+년대/NNB
초까지	초/NNB+까지/JX
사람들이	사람/NNG+들/XSN+이/JKS
한강을	한강/NNP+을/JKO
건널	건너/VV+ㄹ/ETM
방법은	방법/NNG+은/JX
나룻배	나룻배/NNG
외엔	외/NNB+에/JKB+ㄴ/JX
한강인도교(제1한강교)와	한강/NNP+인도교/NNG+(/SS+제/XPN+1/SN+한강교/NNP+)/SS+와/JC
광진교밖에	광진교/NNP+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.317.3.2
전쟁이 끝난 지 10여년이 지났지만, 한국전쟁 당시 한강인도교 폭파의 기억은 여전히 트라우마였다.

전쟁이	전쟁/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
지	지/NNB
10여년이	10/SN+여/XSN+년/NNB+이/JKS
지났지만,	지나/VV+았/EP+지만/EC+,/SP
한국전쟁	한국/NNP+전쟁/NNG
당시	당시/NNG
한강인도교	한강/NNP+인도교/NNG
폭파의	폭파/NNG+의/JKG
기억은	기억/NNG+은/JX
여전히	여전히/MAG
트라우마였다.	트라우마/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.317.3.3
