# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.62
metadata : {}


# id : NWRW1800000046.62.1.1
쇼! 끝은 없는 거야

쇼!	쇼/NNG+!/SF
끝은	끝/NNG+은/JX
없는	없/VA+는/ETM
거야	거/NNB+이/VCP+야/EF


# id : NWRW1800000046.62.2.1
제작과정까지 담는 '메이킹필름쇼' 뜬다

제작과정까지	제작/NNG+과정/NNG+까지/JX
담는	담/VV+는/ETM
'메이킹필름쇼'	'/SS+메이킹/NNG+필름/NNG+쇼/NNG+'/SS
뜬다	뜨/VV+ㄴ다/EF


# id : NWRW1800000046.62.3.1
"시청률 때문이잖아.

"시청률	"/SS+시청/NNG+률/XSN
때문이잖아.	때문/NNB+이/VCP+잖아/EF+./SF


# id : NWRW1800000046.62.3.2
당신도 시청률 때문에 쫄쫄 굶은 애 아침도 안 먹이겠다고 저런 말도 안 되는 퀴즈 하고 있는 거 아냐?

당신도	당신/NP+도/JX
시청률	시청/NNG+률/XSN
때문에	때문/NNB+에/JKB
쫄쫄	쫄쫄/MAG
굶은	굶/VV+은/ETM
애	애/NNG
아침도	아침/NNG+도/JX
안	안/MAG
먹이겠다고	먹이/VV+겠/EP+다고/EC
저런	저런/MMD
말도	말/NNG+도/JX
되는	되/VV+는/ETM
퀴즈	퀴즈/NNG
하고	하/VV+고/EC
있는	있/VX+는/ETM
거	거/NNB
아냐?	아니/VCN+야/EF+?/SF


# id : NWRW1800000046.62.3.3
니들 그거 떼로 보면서 재밌다고, 그림 된다고 좋아하잖아."

니들	니/NP+들/XSN
그거	그거/NP
떼로	떼/NNG+로/JKB
보면서	보/VV+면서/EC
재밌다고,	재밌/VA+다고/EC+,/SP
그림	그림/NNG
된다고	되/VV+ㄴ다고/EC
좋아하잖아."	좋아하/VV+잖아/EF+./SF+"/SS


# id : NWRW1800000046.62.4.1
연예기획사 대표가 쏘아붙이는 말에 기세등등하던 예능 PD는 꿀 먹은 벙어리가 된다.

연예기획사	연예/NNG+기획사/NNG
대표가	대표/NNG+가/JKS
쏘아붙이는	쏘아붙이/VV+는/ETM
말에	말/NNG+에/JKB
기세등등하던	기세등등/MAG+하/XSA+던/ETM
예능	예능/NNG
PD는	PD/SL+는/JX
꿀	꿀/NNG
먹은	먹/VV+은/ETM
벙어리가	벙어리/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.62.4.2
예능 PD의 세계를 소재로 삼은 KBS 드라마 '프로듀사(士)'의 한 장면.

예능	예능/NNG
PD의	PD/SL+의/JKG
세계를	세계/NNG+를/JKO
소재로	소재/NNG+로/JKB
삼은	삼/VV+은/ETM
KBS	KBS/SL
드라마	드라마/NNG
'프로듀사(士)'의	'/SS+프로듀사/NNP+(/SS+士/SH+)/SS+'/SS+의/JKG
한	한/MMN
장면.	장면/NNG+./SF


# id : NWRW1800000046.62.4.3
시청률 지상주의에 빠진 방송국 PD를 꼬집는 이 대사에 "예능 PD가 만든 드라마라 더 신선한 자아비판" "생각 없이 예능을 본 게 부끄러워지는 대사"라는 호평이 시청자 게시판 등에 100건 가까이 올라왔다.

시청률	시청/NNG+률/XSN
지상주의에	지상주의/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
방송국	방송국/NNG
PD를	PD/SL+를/JKO
꼬집는	꼬집/VV+는/ETM
이	이/MMD
