# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.319
metadata : {}


# id : NWRW1800000056.319.1.1
[아침 햇발] 한반도 운전자 되기의 어려움

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
한반도	한반도/NNP
운전자	운전자/NNG
되기의	되/VV+기/ETN+의/JKG
어려움	어려움/NNG


# id : NWRW1800000056.319.2.1
문재인 대통령은 한반도 문제의 운전대를 잡겠다고 거듭 다짐한다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
한반도	한반도/NNP
문제의	문제/NNG+의/JKG
운전대를	운전대/NNG+를/JKO
잡겠다고	잡/VV+겠/EP+다고/EC
거듭	거듭/MAG
다짐한다.	다짐/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.319.2.2
당연한 얘기 같지만 사정이 그렇게 간단하지 않다.

당연한	당연/NNG+하/XSA+ㄴ/ETM
얘기	얘기/NNG
같지만	같/VA+지만/EC
사정이	사정/NNG+이/JKS
그렇게	그렇/VA+게/EC
간단하지	간단하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000056.319.2.3
“누구도 대한민국 동의 없이 군사행동을 결정할 수 없다”는 8·15 경축사는 다분히 미국을 향한 발언이다.

“누구도	“/SS+누구/NP+도/JX
대한민국	대한민국/NNP
동의	동의/NNG
없이	없이/MAG
군사행동을	군사/NNG+행동/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
8·15	8/SN+·/SP+15/SN
경축사는	경축사/NNG+는/JX
다분히	다분히/MAG
미국을	미국/NNP+을/JKO
향한	향하/VV+ㄴ/ETM
발언이다.	발언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.319.2.4
일단 운전대 잡고 시동은 건 모양새인데, 문제는 그다음이다.

일단	일단/MAG
운전대	운전대/NNG
잡고	잡/VV+고/EC
시동은	시동/NNG+은/JX
건	걸/VV+ㄴ/ETM
모양새인데,	모양새/NNG+이/VCP+ㄴ데/EC+,/SP
문제는	문제/NNG+는/JX
그다음이다.	그다음/NNG+이/VCP+다/EF+./SF


