# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.287
metadata : {}


# id : NWRW1800000052.287.1.1
강원 이번엔 정조국, 영입 화룡점정

강원	강원/NNP
이번엔	이번/NNG+에/JKB+ㄴ/JX
정조국,	정조국/NNP+,/SP
영입	영입/NNG
화룡점정	화룡점정/NNG


# id : NWRW1800000052.287.2.1
AFC챔스리그 진출 위한 공격적인 투자

AFC챔스리그	AFC/SL+챔스리그/NNG
진출	진출/NNG
위한	위하/VV+ㄴ/ETM
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
투자	투자/NNG


# id : NWRW1800000052.287.3.1
일본행 포기 정조국 “강원에 끌렸다”

일본행	일본행/NNG
포기	포기/NNG
정조국	정조국/NNP
“강원에	“/SS+강원/NNP+에/JKB
끌렸다”	끌리/VV+었/EP+다/EF+”/SS


# id : NWRW1800000052.287.4.1
강원FC의 선수 영입이 화룡점정을 찍었다.

강원FC의	강원FC/NNP+의/JKG
선수	선수/NNG
영입이	영입/NNG+이/JKS
화룡점정을	화룡점정/NNG+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.287.4.2
올 시즌 K리그 득점왕(20골) 정조국도 품었다.

올	올/NNG
시즌	시즌/NNG
K리그	K/SL+리그/NNG
득점왕(20골)	득점왕/NNG+(/SS+20/SN+골/NNG+)/SS
정조국도	정조국/NNP+도/JX
품었다.	품/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.287.5.1
강원은 21일 올 시즌 득점왕이자 최우수선수(MVP)인 광주의 스트라이커 정조국(32)을 영입했다고 밝혔다.

강원은	강원/NNP+은/JX
21일	21/SN+일/NNB
올	올/NNG
시즌	시즌/NNG
득점왕이자	득점왕/NNG+이/VCP+자/EC
최우수선수(MVP)인	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS+이/VCP+ㄴ/ETM
광주의	광주/NNP+의/JKG
스트라이커	스트라이커/NNG
정조국(32)을	정조국/NNP+(/SS+32/SN+)/SS+을/JKO
영입했다고	영입/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.287.5.2
조태룡 대표는 “아시아축구연맹(AFC) 챔피언스리그 진출에 도전하기 위해선 정조국 같은 베테랑 선수가 필요하다. 역경을 딛고 일어난 경험을 한 선수들은 위기에서 어떻게 대처할지 잘 알고 있다. 정조국이 팀의 중심을 잘 잡아줄 것으로 기대한다”고 설명했다.

조태룡	조태룡/NNP
대표는	대표/NNG+는/JX
