# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.120
metadata : {}


# id : NWRW1800000029.120.1.1
[주목, 헬스 북]십중팔구 암에게 이긴다

[주목,	[/SS+주목/NNG+,/SP
헬스	헬스/NNG
북]십중팔구	북/NNG+]/SS+십중팔구/NNG
암에게	암/NNG+에게/JKB
이긴다	이기/VV+ㄴ다/EF


# id : NWRW1800000029.120.2.1
◇십중팔구 암에게 이긴다 / 박재갑 저, 264쪽, 1만3000원/ 도서출판 동아일보사

◇십중팔구	◇/SW+십중팔구/NNG
암에게	암/NNG+에게/JKB
이긴다	이기/VV+ㄴ다/EF
/	//SP
박재갑	박재갑/NNP
저,	저/NNG+,/SP
264쪽,	264/SN+쪽/NNG+,/SP
1만3000원/	1/SN+만/NR+3000/SN+원/NNB+//SP
도서출판	도서/NNG+출판/NNG
동아일보사	동아일보사/NNP


# id : NWRW1800000029.120.3.1
국내에서만 매년 18만 명 이상의 암 환자가 새로 발생하고 약 7만 명이 암으로 사망한다.

국내에서만	국내/NNG+에서/JKB+만/JX
매년	매년/MAG
18만	18/SN+만/NR
명	명/NNB
이상의	이상/NNG+의/JKG
암	암/NNG
환자가	환자/NNG+가/JKS
새로	새로/MAG
발생하고	발생/NNG+하/XSV+고/EC
약	약/MMA
7만	7/SN+만/NR
명이	명/NNB+이/JKS
암으로	암/NNG+으로/JKB
사망한다.	사망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.120.3.2
암에 특히 취약한 연령 대는 40, 50대 중장년층.

암에	암/NNG+에/JKB
특히	특히/MAG
취약한	취약/NNG+하/XSA+ㄴ/ETM
연령	연령/NNG
대는	대/NA+는/JX
40,	40/SN+,/SP
50대	50/SN+대/NNB
중장년층.	중장년/NNG+층/XSN+./SF


# id : NWRW1800000029.120.3.3
가정과 사회에서 막중한 책임을 진 중장년층이 암 환자가 되거나 암으로 사망하는 사례가 늘면서 가정의 불행은 물론이고 사회적으로도 엄청난 손실을 초래하고 있는 것.

가정과	가정/NNG+과/JC
사회에서	사회/NNG+에서/JKB
막중한	막중하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
진	지/VV+ㄴ/ETM
중장년층이	중장년/NNG+층/XSN+이/JKS
암	암/NNG
환자가	환자/NNG+가/JKC
되거나	되/VV+거나/EC
암으로	암/NNG+으로/JKB
사망하는	사망/NNG+하/XSV+는/ETM
