# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.440
metadata : {}


# id : NWRW1800000048.440.1.1
‘YS조문 정국’ 끝나자…여 “노동개혁” 여론몰이

‘YS조문	‘/SS+YS/SL+조문/NNG
정국’	정국/NNG+’/SS
끝나자…여	끝나/VV+자/EC+…/SE+여/NNG
“노동개혁”	“/SS+노동/NNG+개혁/NNG+”/SS
여론몰이	여론/NNG+몰이/NNG


# id : NWRW1800000048.440.2.1
이기권 노동장관 기자들에 설명회

이기권	이기권/NNP
노동장관	노동/NNG+장관/NNG
기자들에	기자/NNG+들/XSN+에/JKB
설명회	설명회/NNG


# id : NWRW1800000048.440.3.1
이례적 명함돌리며 “연락주세요”

이례적	이례/NNG+적/XSN
명함돌리며	명함/NNG+돌리/VV+며/EC
“연락주세요”	“/SS+연락/NNG+주/VV+시/EP+어요/EF+”/SS


# id : NWRW1800000048.440.4.1
새누리 ‘청년일자리 창출’ 토론회

새누리	새누리/NNP
‘청년일자리	‘/SS+청년/NNG+일자리/NNG
창출’	창출/NNG+’/SS
토론회	토론회/NNG


# id : NWRW1800000048.440.5.1
새정치 “노사정위 합의안돼 상정거부

새정치	새정치/NNP
“노사정위	“/SS+노사정위/NNG
합의안돼	합의/NNG+안/MAG+되/XSV+어/EC
상정거부	상정/NNG+거부/NNG


# id : NWRW1800000048.440.6.1
타협 못이뤄진 책임부터 돌아봐야”

타협	타협/NNG
못이뤄진	못/MAG+이뤄지/VV+ㄴ/ETM
책임부터	책임/NNG+부터/JX
돌아봐야”	돌아보/VV+아야/EC+”/SS


# id : NWRW1800000048.440.7.1
“이해 안 되는 거 있으면 언제든지 여기로 연락주세요.”

“이해	“/SS+이해/NNG
안	안/MAG
되는	되/VV+는/ETM
거	거/NNB
있으면	있/VA+으면/EC
언제든지	언제/NP+든지/JX
여기로	여기/NP+로/JKB
연락주세요.”	연락/NNG+주/VV+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000048.440.8.1
이기권 고용노동부 장관은 27일 오전 국회에서 새누리당이 마련한 ‘노동개혁 5대 입법 쟁점 설명회’가 끝난 뒤 기자들에게 자신의 전화번호가 적힌 명함을 돌리면서 이렇게 말했다.

이기권	이기권/NNP
고용노동부	고용/NNG+노동부/NNG
장관은	장관/NNG+은/JX
27일	27/SN+일/NNB
오전	오전/NNG
국회에서	국회/NNG+에서/JKB
새누리당이	새누리당/NNP+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
‘노동개혁	‘/SS+노동/NNG+개혁/NNG
5대	5/SN+대/NNG
입법	입법/NNG
쟁점	쟁점/NNG
설명회’가	설명회/NNG+’/SS+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
자신의	자신/NNG+의/JKG
전화번호가	전화번호/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
명함을	명함/NNG+을/JKO
돌리면서	돌리/VV+면서/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.440.8.2
부처 장관이 국회 출입 기자들에게 현안을 직접 설명하고 추가 질문을 받겠다며 개인 전화번호까지 돌리는 건 무척 드문 일이다.

부처	부처/NNG
장관이	장관/NNG+이/JKS
국회	국회/NNG
출입	출입/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
현안을	현안/NNG+을/JKO
직접	직접/MAG
설명하고	설명/NNG+하/XSV+고/EC
추가	추가/NNG
질문을	질문/NNG+을/JKO
받겠다며	받/VV+겠/EP+다며/EC
개인	개인/NNG
전화번호까지	전화번호/NNG+까지/JX
돌리는	돌리/VV+는/ETM
건	거/NNB+ㄴ/JX
무척	무척/MAG
드문	드물/VA+ㄴ/ETM
