# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.184
metadata : {}


# id : NWRW1800000046.184.1.1
통계청 '독도 상륙작전' 악천후에 또 실패

통계청	통계청/NNG
'독도	'/SS+독도/NNP
상륙작전'	상륙/NNG+작전/NNG+'/SS
악천후에	악천후/NNG+에/JKB
또	또/MAG
실패	실패/NNG


# id : NWRW1800000046.184.2.1
인구주택조사 첫 방문지, 2010년에도 두차례 무산

인구주택조사	인구/NNG+주택/NNG+조사/NNG
첫	첫/MMN
방문지,	방문지/NNG+,/SP
2010년에도	2010/SN+년/NNB+에/JKB+도/JX
두차례	두/MMN+차례/NNG
무산	무산/NNG


# id : NWRW1800000046.184.3.1
"독도 사는 사람한테까지 찾아와 조사를 해주니 참 고맙습니다."

"독도	"/SS+독도/NNP
사는	살/VV+는/ETM
사람한테까지	사람/NNG+한테/JKB+까지/JX
찾아와	찾아오/VV+아/EC
조사를	조사/NNG+를/JKO
해주니	하/VV+아/EC+주/VX+니/EC
참	참/MAG
고맙습니다."	고맙/VA+습니다/EF+./SF+"/SS


# id : NWRW1800000046.184.4.1
23일 오후 경북 울릉군청에서 유경준 통계청장이 독도 주민 김성도(75)씨를 만나 인구주택총조사(센서스)를 시작했다.

23일	23/SN+일/NNB
오후	오후/NNG
경북	경북/NNP
울릉군청에서	울릉군청/NNP+에서/JKB
유경준	유경준/NNP
통계청장이	통계청장/NNG+이/JKS
독도	독도/NNP
주민	주민/NNG
김성도(75)씨를	김성도/NNP+(/SS+75/SN+)/SS+씨/NNB+를/JKO
만나	만나/VV+아/EC
인구주택총조사(센서스)를	인구/NNG+주택/NNG+총조사/NNG+(/SS+센서스/NNG+)/SS+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.184.4.2
"자택에 방이 몇개입니까" "자녀들 나이는요" 등 52개 질문이 이어졌다.

"자택에	"/SS+자택/NNG+에/JKB
방이	방/NNG+이/JKS
몇개입니까"	몇/NR+개/NNB+이/VCP+ㅂ니까/EF+"/SS
"자녀들	"/SS+자녀/NNG+들/XSN
나이는요"	나이/NNG+는/JX+요/JX+"/SS
등	등/NNB
52개	52/SN+개/NNB
질문이	질문/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.184.5.1
이날 유 청장의 독도 주민 센서스를 시작으로 전국에서 '2015 인구주택총조사'가 시작됐다.

이날	이날/NNG
유	유/NNP
청장의	청장/NNG+의/JKG
독도	독도/NNP
주민	주민/NNG
센서스를	센서스/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
전국에서	전국/NNG+에서/JKB
'2015	'/SS+2015/SN
인구주택총조사'가	인구/NNG+주택/NNG+총조사/NNG+'/SS+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.184.5.2
올해는 한국에서 인구 센서스가 시작된 지 90주년 되는 해다.

올해는	올해/NNG+는/JX
한국에서	한국/NNP+에서/JKB
인구	인구/NNG
센서스가	센서스/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
지	지/NNB
90주년	90/SN+주년/NNB
되는	되/VV+는/ETM
해다.	해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.184.6.1
현재 주민등록부에 거주지가 '독도'로 등록돼 있는 국민은 27가구 28명이다.

현재	현재/MAG
주민등록부에	주민/NNG+등록부/NNG+에/JKB
거주지가	거주지/NNG+가/JKS
'독도'로	'/SS+독도/NNP+'/SS+로/JKB
등록돼	등록/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
국민은	국민/NNG+은/JX
27가구	27/SN+가구/NNG
28명이다.	28/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.184.6.2
독도 경비대원 19명, 독도 등대 관리인 7명이고, 주민은 김씨 부부 2명이다.

독도	독도/NNP
경비대원	경비대원/NNG
19명,	19/SN+명/NNB+,/SP
등대	등대/NNG
관리인	관리인/NNG
7명이고,	7/SN+명/NNB+이/VCP+고/EC+,/SP
주민은	주민/NNG+은/JX
김씨	김/NNP+씨/NNB
부부	부부/NNG
2명이다.	2/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.184.6.3
군인과 경찰은 센서스 대상에서 제외되기 때문에 사실상 독도의 조사 대상은 9명뿐이지만 조사의 상징성은 독도가 대한민국 어느 마을보다 크다고 통계청은 보고 있다.

군인과	군인/NNG+과/JC
경찰은	경찰/NNG+은/JX
센서스	센서스/NNG
대상에서	대상/NNG+에서/JKB
