# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.340
metadata : {}


# id : NWRW1800000033.340.1.1
후진타오, 北장관급 장성택과 면담 ‘극진 예우’

후진타오,	후진타오/NNP+,/SP
北장관급	北/SH+장관급/NNG
장성택과	장성택/NNP+과/JKB
면담	면담/NNG
‘극진	‘/SS+극진/XR
예우’	예우/NNG+’/SS


# id : NWRW1800000033.340.2.1
張, 왕자루이와도 만나 김정은 방중 조율 관측

張,	張/SH+,/SP
왕자루이와도	왕자루이/NNP+와/JKB+도/JX
만나	만나/VV+아/EC
김정은	김정은/NNP
방중	방중/NNG
조율	조율/NNG
관측	관측/NNG


# id : NWRW1800000033.340.3.1
북한의 장성택 국방위원회 부위원장 겸 노동당 행정부장이 17일 오전 중국의 후진타오(胡錦濤) 국가주석과 원자바오(溫家寶) 총리를 별도로 만났다.

북한의	북한/NNP+의/JKG
장성택	장성택/NNP
국방위원회	국방/NNG+위원회/NNG
부위원장	부위원장/NNG
겸	겸/NNB
노동당	노동당/NNP
행정부장이	행정부장/NNG+이/JKS
17일	17/SN+일/NNB
오전	오전/NNG
중국의	중국/NNP+의/JKG
후진타오(胡錦濤)	후진타오/NNP+(/SS+胡錦濤/SH+)/SS
국가주석과	국가주석/NNG+과/JC
원자바오(溫家寶)	원자바오/NNP+(/SS+溫家寶/SH+)/SS
총리를	총리/NNG+를/JKO
별도로	별도/NNG+로/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.3.2
후 주석과 원 총리가 외국의 장관급 인사를 면담한 것은 이례적이다.

후	후/NNP
주석과	주석/NNG+과/JC
원	원/NNP
총리가	총리/NNG+가/JKS
외국의	외국/NNG+의/JKG
장관급	장관급/NNG
인사를	인사/NNG+를/JKO
면담한	면담/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.340.3.3
중국 최고지도부가 장 부위원장을 북한의 실질적 2인자로 인정해 극진히 예우했음을 보여 준다.

중국	중국/NNP
최고지도부가	최고/NNG+지도부/NNG+가/JKS
장	장/NNP
부위원장을	부위원장/NNG+을/JKO
북한의	북한/NNP+의/JKG
실질적	실질/NNG+적/XSN
2인자로	2인자/NNG+로/JKB
인정해	인정/NNG+하/XSV+아/EC
극진히	극진히/MAG
예우했음을	예우/NNG+하/XSV+았/EP+음/ETN+을/JKO
보여	보이/VV+어/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.340.4.1
장성택은 최근 방북해 김정은 노동당 제1비서를 만난 왕자루이(王家瑞) 공산당 대외연락부장과도 다시 만나 그의 방중은 김정은의 방중을 준비하기 위한 것이라는 관측도 나온다.

장성택은	장성택/NNP+은/JX
최근	최근/MAG
방북해	방북/NNG+하/XSV+아/EC
김정은	김정은/NNP
노동당	노동당/NNP
제1비서를	제/XPN+1/SN+비서/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
왕자루이(王家瑞)	왕자루이/NNP+(/SS+王家瑞/SH+)/SS
공산당	공산당/NNP
대외연락부장과도	대외/NNG+연락부장/NNG+과/JKB+도/JX
다시	다시/MAG
만나	만나/VV+아/EC
그의	그/NP+의/JKG
방중은	방중/NNG+은/JX
김정은의	김정은/NNP+의/JKG
방중을	방중/NNG+을/JKO
준비하기	준비/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.340.5.1
후 주석은 이날 베이징(北京) 인민대회당에서 장성택을 만나 “장성택 동지를 다시 만나게 돼 매우 기쁘다”며 “황금평·위화도, 나선 지구 공동개발을 위한 제3차 개발합작연합지도위원회 회의 개최와 성공을 축하한다”고 말했다.

후	후/NNP
주석은	주석/NNG+은/JX
이날	이날/NNG
베이징(北京)	베이징/NNP+(/SS+北京/SH+)/SS
인민대회당에서	인민대회당/NNP+에서/JKB
장성택을	장성택/NNP+을/JKO
만나	만나/VV+아/EC
“장성택	“/SS+장성택/NNP
동지를	동지/NNG+를/JKO
다시	다시/MAG
만나게	만나/VV+게/EC
돼	되/VV+어/EC
매우	매우/MAG
기쁘다”며	기쁘/VA+다/EF+”/SS+며/EC
“황금평·위화도,	“/SS+황금평/NNP+·/SP+위화도/NNP+,/SP
나선	나서/VV+ㄴ/ETM
지구	지구/NNG
공동개발을	공동/NNG+개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제3차	제/XPN+3/SN+차/NNB
개발합작연합지도위원회	개발/NNG+합작/NNG+연합/NNG+지도/NNG+위원회/NNG
회의	회의/NNG
개최와	개최/NNG+와/JC
성공을	성공/NNG+을/JKO
축하한다”고	축하/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.5.2
후 주석은 이어 “여러 해 동안 장 동지가 중-북 우호 관계 발전에 큰 역할을 하는 점을 높이 평가한다”고 강조했다.

후	후/NNP
주석은	주석/NNG+은/JX
이어	잇/VV+어/EC
“여러	“/SS+여러/MMN
해	해/NNG
동안	동안/NNG
장	장/NNP
동지가	동지/NNG+가/JKS
중-북	중/NNP+-/SO+북/NNP
우호	우호/NNG
관계	관계/NNG
발전에	발전/NNG+에/JKB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
점을	점/NNG+을/JKO
높이	높이/MAG
평가한다”고	평가/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.340.5.3
