# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.193
metadata : {}


# id : NWRW1800000030.193.1.1
수퍼볼 향해 뛴다… 백인 어머니 위해!

수퍼볼	수퍼볼/NNG
향해	향하/VV+아/EC
뛴다…	뛰/VV+ㄴ다/EF+…/SE
백인	백인/NNG
어머니	어머니/NNG
위해!	위하/VV+아/EF+!/SF


# id : NWRW1800000030.193.2.1
•영화 '블라인드 사이드' 실제 주인공 마이클 오어

•영화	•/SW+영화/NNG
'블라인드	'/SS+블라인드/NNG
사이드'	사이드/NNG+'/SS
실제	실제/NNG
주인공	주인공/NNG
마이클	마이클/NNP
오어	오어/NNP


# id : NWRW1800000030.193.3.1
2009년 4월 25일 마이클 오어(25)는 NFL(미국프로풋볼) 신인 드래프트에서 볼티모어 레이븐스의 선택을 받으며 1380만달러(약 154억원)를 거머쥐었다.

2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
25일	25/SN+일/NNB
마이클	마이클/NNP
오어(25)는	오어/NNP+(/SS+25/SN+)/SS+는/JX
NFL(미국프로풋볼)	NFL/SL+(/SS+미국/NNP+프로/NNG+풋볼/NNG+)/SS
신인	신인/NNG
드래프트에서	드래프트/NNG+에서/JKB
볼티모어	볼티모어/NNP
레이븐스의	레이븐스/NNP+의/JKG
선택을	선택/NNG+을/JKO
받으며	받/VV+으며/EC
1380만달러(약	1380/SN+만/NR+달러/NNB+(/SS+약/MMA
154억원)를	154/SN+억/NR+원/NNB+)/SS+를/JKO
거머쥐었다.	거머쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.193.3.2
'풋볼'의 나라에서 수많은 경쟁자를 뚫고 꿈을 이룬 것이다.

'풋볼'의	'/SS+풋볼/NNG+'/SS+의/JKG
나라에서	나라/NNG+에서/JKB
수많은	수많/VA+은/ETM
경쟁자를	경쟁자/NNG+를/JKO
뚫고	뚫/VV+고/EC
꿈을	꿈/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.193.3.3
환히 웃는 오어를 한 백인 여성이 힘차게 끌어안았다.

환히	환히/MAG
웃는	웃/VV+는/ETM
오어를	오어/NNP+를/JKO
한	한/MMN
백인	백인/NNG
여성이	여성/NNG+이/JKS
힘차게	힘차/VA+게/EC
끌어안았다.	끌어안/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.193.3.4
부모 없이 밤거리를 전전하던 빈민가 흑인 소년을 NFL 스타로 길러낸 양어머니 리앤 투이였다.

부모	부모/NNG
없이	없이/MAG
밤거리를	밤거리/NNG+를/JKO
전전하던	전전/NNG+하/XSV+던/ETM
빈민가	빈민가/NNG
흑인	흑인/NNG
소년을	소년/NNG+을/JKO
NFL	NFL/SL
스타로	스타/NNG+로/JKB
길러낸	기르/VV+어/EC+내/VX+ㄴ/ETM
양어머니	양어머니/NNG
리앤	리앤/NNP
투이였다.	투이/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.193.3.5
미국 멤피스 빈민가에서 태어난 오어의 소년기는 불행 그 자체였다.

미국	미국/NNP
멤피스	멤피스/NNP
빈민가에서	빈민가/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
오어의	오어/NNP+의/JKG
소년기는	소년기/NNG+는/JX
불행	불행/NNG
그	그/MMD
자체였다.	자체/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.193.4.1
얼굴도 모르는 친부(親父)는 감옥을 들락대다 교도소에서 살해당했고 술독에 빠져 살던 친어머니는 마약 중독까지 겹쳐 가족들과 격리됐다.

얼굴도	얼굴/NNG+도/JX
모르는	모르/VV+는/ETM
친부(親父)는	친부/NNG+(/SS+親父/SH+)/SS+는/JX
감옥을	감옥/NNG+을/JKO
들락대다	들락대/VV+다/EC
교도소에서	교도소/NNG+에서/JKB
살해당했고	살해/NNG+당하/XSV+았/EP+고/EC
술독에	술독/NNG+에/JKB
빠져	빠지/VV+어/EC
살던	살/VV+던/ETM
친어머니는	친/XPN+어머니/NNG+는/JX
마약	마약/NNG
중독까지	중독/NNG+까지/JX
겹쳐	겹치/VV+어/EC
가족들과	가족/NNG+들/XSN+과/JKB
격리됐다.	격리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.193.4.2
오어는 학교를 11번 옮겼고 홀로 된 청소년을 맡아주는 '위탁 가정'에 적응하지 못했다.

오어는	오어/NNP+는/JX
학교를	학교/NNG+를/JKO
11번	11/SN+번/NNB
옮겼고	옮기/VV+었/EP+고/EC
홀로	홀로/MAG
된	되/VV+ㄴ/ETM
청소년을	청소년/NNG+을/JKO
맡아주는	맡/VV+아/EC+주/VX+는/ETM
'위탁	'/SS+위탁/NNG
가정'에	가정/NNG+'/SS+에/JKB
적응하지	적응/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.193.5.1
이런 환경에선 공식(公式)이 있다.

이런	이런/MMD
환경에선	환경/NNG+에서/JKB+ㄴ/JX
공식(公式)이	공식/NNG+(/SS+公式/SH+)/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.193.5.2
마약에 빠지거나 폭력조직에 가담하는 것이다.

마약에	마약/NNG+에/JKB
빠지거나	빠지/VV+거나/EC
폭력조직에	폭력/NNG+조직/NNG+에/JKB
가담하는	가담/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.193.5.3
하지만 오어는 덩치만 컸을 뿐 순둥이였다.

하지만	하지만/MAJ
오어는	오어/NNP+는/JX
덩치만	덩치/NNG+만/JX
컸을	크/VA+었/EP+을/ETM
뿐	뿐/NNB
순둥이였다.	순둥이/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.193.5.4
그는 나쁜 길로 빠지지 않는 대신 마음의 문을 굳게 닫고 혼자 시간을 보냈다.

그는	그/NP+는/JX
나쁜	나쁘/VA+ㄴ/ETM
길로	길/NNG+로/JKB
빠지지	빠지/VV+지/EC
않는	않/VX+는/ETM
대신	대신/NNG
마음의	마음/NNG+의/JKG
문을	문/NNG+을/JKO
굳게	굳/VA+게/EC
닫고	닫/VV+고/EC
혼자	혼자/MAG
시간을	시간/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.193.5.5
노숙을 밥 먹듯 하던 오어에게 어느 날 구원의 손길을 내민 것은 리앤이었다.

노숙을	노숙/NNG+을/JKO
밥	밥/NNG
먹듯	먹/VV+듯/EC
하던	하/VV+던/ETM
오어에게	오어/NNP+에게/JKB
어느	어느/MMD
날	날/NNG
구원의	구원/NNG+의/JKG
손길을	손길/NNG+을/JKO
내민	내밀/VV+ㄴ/ETM
것은	것/NNB+은/JX
리앤이었다.	리앤/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.193.5.6
82개의 패스트푸드점을 소유한 여성 부호(富豪)는 밤거리의 부랑아를 외면하지 않고 집에 데려와 소파에 재웠다.

82개의	82/SN+개/NNB+의/JKG
패스트푸드점을	패스트푸드점/NNG+을/JKO
소유한	소유/NNG+하/XSV+ㄴ/ETM
여성	여성/NNG
부호(富豪)는	부호/NNG+(/SS+富豪/SH+)/SS+는/JX
밤거리의	밤거리/NNG+의/JKG
