# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.73
metadata : {}


# id : NWRW1800000053.73.1.1
근무시간보다 성과로 평가한다는 일본… 성과연봉제 없애는 한국

근무시간보다	근무/NNG+시간/NNG+보다/JKB
성과로	성과/NNG+로/JKB
평가한다는	평가/NNG+하/XSV+ㄴ다는/ETM
일본…	일본/NNP+…/SE
성과연봉제	성과/NNG+연봉/NNG+제/XSN
없애는	없애/VV+는/ETM
한국	한국/NNP


# id : NWRW1800000053.73.2.1
[글로벌 노동이슈]일본, ‘탈시간급제’ 도입 추진

[글로벌	[/SS+글로벌/NNG
노동이슈]일본,	노동/NNG+이슈/NNG+]/SS+일본/NNP+,/SP
‘탈시간급제’	‘/SS+탈/XPN+시간급/NNG+제/XSN+’/SS
도입	도입/NNG
추진	추진/NNG


# id : NWRW1800000053.73.3.1
문재인 정부가 공공기관 성과연봉제를 전면 폐기하기로 결정한 가운데 일본 정부가 고소득 근로자들을 대상으로 ‘탈(脫)시간급제’ 도입을 추진하고 있어 관심을 모은다.

문재인	문재인/NNP
정부가	정부/NNG+가/JKS
공공기관	공공/NNG+기관/NNG
성과연봉제를	성과/NNG+연봉/NNG+제/XSN+를/JKO
전면	전면/NNG
폐기하기로	폐기/NNG+하/XSV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
일본	일본/NNP
고소득	고/XPN+소득/NNG
근로자들을	근로자/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
‘탈(脫)시간급제’	‘/SS+탈/XPN+(/SS+脫/SH+)/SS+시간급/NNG+제/XSN+’/SS
도입을	도입/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있어	있/VX+어/EC
관심을	관심/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.73.4.1
미국의 ‘화이트칼라 규제 예외(white collar exemption)’ 정책을 본뜬 탈시간급제는 근로시간이 아니라 성과에 따라 임금을 결정하는 제도다.

미국의	미국/NNP+의/JKG
‘화이트칼라	‘/SS+화이트칼라/NNG
규제	규제/NNG
예외(white	예외/NNG+(/SS+white/SL
collar	collar/SL
exemption)’	exemption/SL+)/SS+’/SS
정책을	정책/NNG+을/JKO
본뜬	본뜨/VV+ㄴ/ETM
탈시간급제는	탈/XPN+시간급/NNG+제/XSN+는/JX
근로시간이	근로/NNG+시간/NNG+이/JKS
아니라	아니/VCN+라/EC
성과에	성과/NNG+에/JKB
따라	따르/VV+아/EC
임금을	임금/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.73.4.2
일이 많으면 초과수당을 받지 않고 일을 더 하는 대신 일이 없으면 하루 1, 2시간 근무도 허용하는 내용을 담고 있다.

일이	일/NNG+이/JKS
많으면	많/VA+으면/EC
초과수당을	초과/NNG+수당/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
일을	일/NNG+을/JKO
더	더/MAG
하는	하/VV+는/ETM
대신	대신/NNG
없으면	없/VA+으면/EC
하루	하루/NNG
1,	1/SN+,/SP
2시간	2/SN+시간/NNB
근무도	근무/NNG+도/JX
허용하는	허용/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.73.5.1
금융기관 외환딜러, 애널리스트, 컨설턴트 등 연간 소득 1075만 엔(약 1억1087만 원) 이상 근로자(일본 전체 근로자의 약 3%)만 적용 대상이다.

금융기관	금융/NNG+기관/NNG
외환딜러,	외환/NNG+딜러/NNG+,/SP
애널리스트,	애널리스트/NNG+,/SP
컨설턴트	컨설턴트/NNG
등	등/NNB
연간	연간/NNG
소득	소득/NNG
1075만	1075/SN+만/NR
엔(약	엔/NNB+(/SS+약/MMA
1억1087만	1/SN+억/NR+1087/SN+만/NR
원)	원/NNB+)/SS
이상	이상/NNG
근로자(일본	근로자/NNG+(/SS+일본/NNP
전체	전체/NNG
근로자의	근로자/NNG+의/JKG
약	약/MMA
3%)만	3/SN+%/SW+)/SS+만/JX
적용	적용/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.73.5.2
일단 고소득 근로자부터 근로시간을 규제하지 않고 철저하게 성과만을 기준으로 연봉을 산정하겠다는 의도다.

일단	일단/MAG
고소득	고/XPN+소득/NNG
근로자부터	근로자/NNG+부터/JX
근로시간을	근로/NNG+시간/NNG+을/JKO
규제하지	규제/NNG+하/XSV+지/EC
않고	않/VX+고/EC
철저하게	철저/NNG+하/XSA+게/EC
성과만을	성과/NNG+만/JX+을/JKO
기준으로	기준/NNG+으로/JKB
연봉을	연봉/NNG+을/JKO
산정하겠다는	산정/NNG+하/XSV+겠/EP+다는/ETM
의도다.	의도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.73.6.1
일본은 ‘평생직장 개념’이 여전히 남아 있고, 한국처럼 연공서열과 근로시간에 따라 임금이 늘어나는 급여체계를 운용하는 기업이 많다.

일본은	일본/NNP+은/JX
‘평생직장	‘/SS+평생직장/NNG
개념’이	개념/NNG+’/SS+이/JKS
여전히	여전히/MAG
남아	남/VV+아/EC
있고,	있/VX+고/EC+,/SP
한국처럼	한국/NNP+처럼/JKB
연공서열과	연공서열/NNG+과/JC
근로시간에	근로/NNG+시간/NNG+에/JKB
따라	따르/VV+아/EC
임금이	임금/NNG+이/JKS
늘어나는	늘어나/VV+는/ETM
급여체계를	급여/NNG+체계/NNG+를/JKO
운용하는	운용/NNG+하/XSV+는/ETM
기업이	기업/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000053.73.6.2
주요 선진국보다 일도 더 많이 한다.

주요	주요/NNG
선진국보다	선진국/NNG+보다/JKB
일도	일/NNG+도/JX
더	더/MAG
많이	많이/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.73.6.3
주 49시간 이상 일하는 근로자 비율은 일본이 21.3%로 독일(10.1%)이나 영국(12.5%) 등보다 높다.

주	주/NNG
49시간	49/SN+시간/NNB
이상	이상/NNG
일하는	일/NNG+하/XSV+는/ETM
근로자	근로자/NNG
비율은	비율/NNG+은/JX
일본이	일본/NNP+이/JKS
21.3%로	21/SN+./SP+3/SN+%/SW+로/JKB
독일(10.1%)이나	독일/NNP+(/SS+10/SN+./SP+1/SN+%/SW+)/SS+이나/JC
영국(12.5%)	영국/NNP+(/SS+12/SN+./SP+5/SN+%/SW+)/SS
등보다	등/NNB+보다/JKB
높다.	높/VA+다/EF+./SF


# id : NWRW1800000053.73.7.1
일본 정부는 탈시간급제를 도입하면 근로시간과 연공서열에 얽매여 하락한 생산성이 높아질 것으로 보고 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
탈시간급제를	탈/XPN+시간급/NNG+제/XSN+를/JKO
도입하면	도입/NNG+하/XSV+면/EC
근로시간과	근로/NNG+시간/NNG+과/JC
연공서열에	연공서열/NNG+에/JKB
얽매여	얽매이/VV+어/EC
하락한	하락/NNG+하/XSV+ㄴ/ETM
생산성이	생산/NNG+성/XSN+이/JKS
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.73.7.2
또 하루 8시간, 주 40시간의 획일화된 근로문화를 바꿔 근로자들이 근무시간을 유연하게 쓰면 일·가정 양립 문화도 촉진할 수 있다고 기대하고 있다.

또	또/MAG
하루	하루/NNG
8시간,	8/SN+시간/NNB+,/SP
주	주/NNG
40시간의	40/SN+시간/NNB+의/JKG
획일화된	획일화/NNG+되/XSV+ㄴ/ETM
근로문화를	근로/NNG+문화/NNG+를/JKO
바꿔	바꾸/VV+어/EC
근로자들이	근로자/NNG+들/XSN+이/JKS
근무시간을	근무/NNG+시간/NNG+을/JKO
유연하게	유연하/VA+게/EC
쓰면	쓰/VV+면/EC
일·가정	일/NNG+·/SP+가정/NNG
양립	양립/NNG
문화도	문화/NNG+도/JX
촉진할	촉진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.73.8.1
문제는 노동계의 반대다.

문제는	문제/NNG+는/JX
노동계의	노동/NNG+계/XSN+의/JKG
반대다.	반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.73.8.2
일본 정부는 2015년 이미 탈시간급제를 포함한 노동기준법 개정안을 의회에 제출했다.

일본	일본/NNP
정부는	정부/NNG+는/JX
2015년	2015/SN+년/NNB
이미	이미/MAG
탈시간급제를	탈/XPN+시간급/NNG+제/XSN+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
노동기준법	노동/NNG+기준법/NNG
개정안을	개정안/NNG+을/JKO
의회에	의회/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.73.8.3
하지만 야당과 노동계가 “수당을 지급하지 않고 과로사를 촉진시키는 법안”이라고 맹비난하며 반대해 개정에 실패했다.

하지만	하지만/MAJ
야당과	야당/NNG+과/JC
노동계가	노동/NNG+계/XSN+가/JKS
“수당을	“/SS+수당/NNG+을/JKO
지급하지	지급/NNG+하/XSV+지/EC
않고	않/VX+고/EC
과로사를	과로사/NNG+를/JKO
촉진시키는	촉진/NNG+시키/XSV+는/ETM
법안”이라고	법안/NNG+”/SS+이라고/JKQ
맹비난하며	맹비난/NNG+하/XSV+며/EC
반대해	반대/NNG+하/XSV+아/EC
개정에	개정/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.73.8.4
이에 일본 정부는 노동계의 주장을 일부 수용해 연간 104일 이상의 휴일 보장안과 근로시간 단축안을 개정안에 함께 포함하기로 했다.

이에	이/NP+에/JKB
일본	일본/NNP
정부는	정부/NNG+는/JX
노동계의	노동/NNG+계/XSN+의/JKG
주장을	주장/NNG+을/JKO
일부	일부/NNG
수용해	수용/NNG+하/XSV+아/EC
연간	연간/NNG
104일	104/SN+일/NNB
