# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.42
metadata : {}


# id : NWRW1800000032.42.1.1
‘위키리크스’ 통해 드러난 남경필 위원장의 속내“농업보조금 해로워…국회, 농민에 저항할 용기내야”

‘위키리크스’	‘/SS+위키리크스/NNP+’/SS
통해	통하/VV+아/EC
드러난	드러나/VV+ㄴ/ETM
남경필	남경필/NNP
위원장의	위원장/NNG+의/JKG
속내“농업보조금	속내/NNG+“/SS+농업/NNG+보조금/NNG
해로워…국회,	해/NNG+롭/XSA+어/EC+…/SE+국회/NNG+,/SP
농민에	농민/NNG+에/JKB
저항할	저항/NNG+하/XSV+ㄹ/ETM
용기내야”	용기/NNG+내/VV+어야/EC+”/SS


# id : NWRW1800000032.42.2.1
06년 버시바우 미대사 만나

06년	06/SN+년/NNB
버시바우	버시바우/NNP
미대사	미/NNP+대사/NNG
만나	만나/VV+아/EF


# id : NWRW1800000032.42.3.1
“보조금 정책 해롭다” 주장

“보조금	“/SS+보조금/NNG
정책	정책/NNG
해롭다”	해/NNG+롭/XSA+다/EF+”/SS
주장	주장/NNG


# id : NWRW1800000032.42.4.1
한·중 FTA 준비필요성도 강조

한·중	한·중/NNP
FTA	FTA/SL
준비필요성도	준비/NNG+필요/NNG+성/XSN+도/JX
강조	강조/NNG


# id : NWRW1800000032.42.5.1
남경필(사진) 한나라당 의원이 정부의 농업보조금 정책을 비판하며 한-미 자유무역협정 체결을 위해 국회가 농민에 저항할 용기를 내야 한다고 말한 사실이 내부고발 사이트인 위키리크스를 통해 공개됐다.

남경필(사진)	남경필/NNP+(/SS+사진/NNG+)/SS
한나라당	한나라당/NNP
의원이	의원/NNG+이/JKS
정부의	정부/NNG+의/JKG
농업보조금	농업/NNG+보조금/NNG
정책을	정책/NNG+을/JKO
비판하며	비판/NNG+하/XSV+며/EC
한-미	한-미/NNP
자유무역협정	자유/NNG+무역/NNG+협정/NNG
체결을	체결/NNG+을/JKO
위해	위하/VV+아/EC
국회가	국회/NNG+가/JKS
농민에	농민/NNG+에/JKB
저항할	저항/NNG+하/XSV+ㄹ/ETM
용기를	용기/NNG+를/JKO
내야	내/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
내부고발	내부/NNG+고발/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
위키리크스를	위키리크스/NNP+를/JKO
통해	통하/VV+아/EC
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.42.5.2
국회 외교통상통일위원회 위원장인 남 의원은 16일 야당의 반대 속에서 한-미 자유무역협정 비준 동의안을 상임위에 직권 상정한 바 있다.

국회	국회/NNG
외교통상통일위원회	외교/NNG+통상/NNG+통일/NNG+위원회/NNG
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
남	남/NNP
의원은	의원/NNG+은/JX
16일	16/SN+일/NNB
야당의	야당/NNG+의/JKG
반대	반대/NNG
속에서	속/NNG+에서/JKB
한-미	한-미/NNP
자유무역협정	자유/NNG+무역/NNG+협정/NNG
비준	비준/NNG
동의안을	동의안/NNG+을/JKO
상임위에	상임위/NNG+에/JKB
직권	직권/NNG
