# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.399
metadata : {}


# id : NWRW1800000038.399.1.1
野지도부, 일일이 전화… 민주의원 127명 중 112명 '촛불' 참석

野지도부,	野/SH+지도부/NNG+,/SP
일일이	일일이/MAG
전화…	전화/NNG+…/SE
민주의원	민주/NNP+의원/NNG
127명	127/SN+명/NNB
중	중/NNB
112명	112/SN+명/NNB
'촛불'	'/SS+촛불/NNG+'/SS
참석	참석/NNG


# id : NWRW1800000038.399.2.1
일부 청중 "박근혜 퇴진" 구호… 문재인은 계속 場外집회 불참

일부	일부/NNG
청중	청중/NNG
"박근혜	"/SS+박근혜/NNP
퇴진"	퇴진/NNG+"/SS
구호…	구호/NNG+…/SE
문재인은	문재인/NNP+은/JX
계속	계속/MAG
場外집회	場外/SH+집회/NNG
불참	불참/NNG


# id : NWRW1800000038.399.3.1
민주당이 '거리의 정치'를 본격화하고 있다.

민주당이	민주당/NNP+이/JKS
'거리의	'/SS+거리/NNG+의/JKG
정치'를	정치/NNG+'/SS+를/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.399.3.2
김한길 대표와 의원들은 3일 밤 촛불집회에 대거 참석했고, 4일에는 서울역 대합실에서 선전전을 벌였다.

김한길	김한길/NNP
대표와	대표/NNG+와/JC
의원들은	의원/NNG+들/XSN+은/JX
3일	3/SN+일/NNB
밤	밤/NNG
촛불집회에	촛불/NNG+집회/NNG+에/JKB
대거	대거/MAG
참석했고,	참석/NNG+하/XSV+았/EP+고/EC+,/SP
4일에는	4/SN+일/NNB+에/JKB+는/JX
서울역	서울역/NNP
대합실에서	대합실/NNG+에서/JKB
선전전을	선전전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.399.4.1
김 대표 등은 4일 피서 인파가 몰린 서울역 대합실에서 '역전(驛前)토크' 행사를 가졌다.

김	김/NNP
대표	대표/NNG
등은	등/NNB+은/JX
4일	4/SN+일/NNB
피서	피서/NNG
인파가	인파/NNG+가/JKS
몰린	몰리/VV+ㄴ/ETM
서울역	서울역/NNP
대합실에서	대합실/NNG+에서/JKB
'역전(驛前)토크'	'/SS+역전/NNG+(/SS+驛前/SH+)/SS+토크/NNG+'/SS
행사를	행사/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.399.4.2
자체 제작한 동영상을 상영한 뒤 의원들이 시민들의 질문에 답하는 '즉문즉설' 토크를 진행했다.

자체	자체/NNG
제작한	제작/NNG+하/XSV+ㄴ/ETM
동영상을	동영상/NNG+을/JKO
상영한	상영/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
의원들이	의원/NNG+들/XSN+이/JKS
시민들의	시민/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
답하는	답/NNG+하/XSV+는/ETM
'즉문즉설'	'/SS+즉문즉설/NNG+'/SS
토크를	토크/NNG+를/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.399.4.3
시민들의 반응은 엇갈렸다.

시민들의	시민/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.399.4.4
한 중년 남성은 "왜 민주당은 목숨을 걸고 하지 못하나. (새누리당과의) 게임을 잘했으면 이렇게 외통수로 몰리지 않았을 것"이라고 했다.

한	한/MMN
중년	중년/NNG
남성은	남성/NNG+은/JX
"왜	"/SS+왜/MAG
민주당은	민주당/NNP+은/JX
목숨을	목숨/NNG+을/JKO
걸고	걸/VV+고/EC
하지	하/VX+지/EC
못하나.	못하/VX+나/EF+./SF
(새누리당과의)	(/SS+새누리당/NNP+과/JKB+의/JKG+)/SS
게임을	게임/NNG+을/JKO
잘했으면	잘/MAG+하/XSV+았/EP+으면/EC
이렇게	이렇/VA+게/EC
외통수로	외통수/NNG+로/JKB
몰리지	몰리/VV+지/EC
않았을	않/VX+았/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.399.4.5
반면 "(대선) 결과에 승복하지 못해 장외투쟁하는 것 아니냐" "국민은 정쟁만 있고 민생은 외면하고 있다고 본다"는 비판도 나왔다.

반면	반면/NNG
"(대선)	"/SS+(/SS+대선/NNG+)/SS
결과에	결과/NNG+에/JKB
승복하지	승복/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
장외투쟁하는	장외/NNG+투쟁/NNG+하/XSV+는/ETM
것	것/NNB
아니냐"	아니/VCN+냐/EF+"/SS
"국민은	"/SS+국민/NNG+은/JX
정쟁만	정쟁/NNG+만/JX
있고	있/VA+고/EC
민생은	민생/NNG+은/JX
외면하고	외면/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
본다"는	보/VV+ㄴ다/EF+"/SS+는/ETM
비판도	비판/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.399.5.1
이날 오전에는 서울광장에 차려진 천막 당사에서 당 지도부와 당내 국민운동본부 연석회의를 열었다.

이날	이날/NNG
오전에는	오전/NNG+에/JKB+는/JX
서울광장에	서울광장/NNP+에/JKB
차려진	차리/VV+어/EC+지/VX+ㄴ/ETM
천막	천막/NNG
당사에서	당사/NNG+에서/JKB
당	당/NNG
지도부와	지도부/NNG+와/JC
당내	당내/NNG
국민운동본부	국민운동/NNG+본부/NNG
연석회의를	연석회의/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.399.5.2
이 자리에서 김한길 대표는 "쉬울 것으로 보고 천막을 친 것이 아니다"라며 "어렵더라도 지치지 않고 끝까지 갈 것"이라고 했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
김한길	김한길/NNP
대표는	대표/NNG+는/JX
"쉬울	"/SS+쉽/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
천막을	천막/NNG+을/JKO
친	치/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다"라며	아니/VCN+다/EF+"/SS+이/VCP+라며/EC
"어렵더라도	"/SS+어렵/VA+더라도/EC
지치지	지치/VV+지/EC
않고	않/VX+고/EC
끝까지	끝/NNG+까지/JX
갈	가/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.399.6.1
민주당은 토요일인 지난 3일 오후 6시 청계광장에서 '국민보고대회'를 열었다.

민주당은	민주당/NNP+은/JX
토요일인	토요일/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
청계광장에서	청계광장/NNP+에서/JKB
'국민보고대회'를	'/SS+국민/NNG+보고대회/NNG+'/SS+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.399.6.2
당 소속 127명 의원 중 112명이 참석했다.

당	당/NNG
소속	소속/NNG
127명	127/SN+명/NNB
의원	의원/NNG
중	중/NNB
112명이	112/SN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.399.6.3
김한길 대표와 전병헌 원내대표가 의원들에게 일일이 전화를 걸어 불참 이유를 묻고 참여를 독려한 것으로 전해졌다.

김한길	김한길/NNP
대표와	대표/NNG+와/JC
전병헌	전병헌/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
의원들에게	의원/NNG+들/XSN+에게/JKB
일일이	일일이/MAG
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
불참	불참/NNG
이유를	이유/NNG+를/JKO
묻고	묻/VV+고/EC
참여를	참여/NNG+를/JKO
독려한	독려/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.399.6.4
문재인 의원은 참석하지 않았다.

문재인	문재인/NNP
의원은	의원/NNG+은/JX
참석하지	참석/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.399.6.5
김 대표와 의원들은 이어 오후 7시부터 같은 장소에서 열린 촛불집회에도 참여했다.

김	김/NNP
대표와	대표/NNG+와/JC
의원들은	의원/NNG+들/XSN+은/JX
이어	이어/MAG
오후	오후/NNG
7시부터	7/SN+시/NNB+부터/JX
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
촛불집회에도	촛불/NNG+집회/NNG+에/JKB+도/JX
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.399.6.6
촛불집회에선 사회자가 "민주당 깃발은 내려달라" "국민이 참여할 수 있게 민주당은 뒤로 물러나 달라"고 하기도 했다.

촛불집회에선	촛불/NNG+집회/NNG+에서/JKB+ㄴ/JX
사회자가	사회자/NNG+가/JKS
"민주당	"/SS+민주당/NNP
깃발은	깃발/NNG+은/JX
내려달라"	내리/VV+어/EC+달/VX+라/EF+"/SS
"국민이	"/SS+국민/NNG+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
민주당은	민주당/NNP+은/JX
뒤로	뒤/NNG+로/JKB
물러나	물러나/VV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.399.6.7
이날 일부 참석자는 "박근혜 퇴진하라" 등의 구호를 외쳤으나 연단에서 진행된 공식 발언에서는 '대선 불복' 관련 언급은 나오지 않았다.

이날	이날/NNG
일부	일부/NNG
참석자는	참석자/NNG+는/JX
"박근혜	"/SS+박근혜/NNP
퇴진하라"	퇴진/NNG+하/XSV+라/EF+"/SS
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외쳤으나	외치/VV+었/EP+으나/EC
연단에서	연단/NNG+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
공식	공식/NNG
발언에서는	발언/NNG+에서/JKB+는/JX
'대선	'/SS+대선/NNG
불복'	불복/NNG+'/SS
관련	관련/NNG
언급은	언급/NNG+은/JX
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.399.7.1
김한길 대표와 전병헌 원내대표는 촛불집회 행사를 거의 끝까지 지켜보고 자리를 떴다.

김한길	김한길/NNP
대표와	대표/NNG+와/JC
전병헌	전병헌/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
촛불집회	촛불/NNG+집회/NNG
행사를	행사/NNG+를/JKO
거의	거의/MAG
끝까지	끝/NNG+까지/JX
지켜보고	지켜보/VV+고/EC
자리를	자리/NNG+를/JKO
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.399.7.2
이날 촛불집회에는 경찰 추산 4000여명, 주최 측 추산 2만여명의 시민이 참석했다.

이날	이날/NNG
촛불집회에는	촛불/NNG+집회/NNG+에/JKB+는/JX
경찰	경찰/NNG
추산	추산/NNG
4000여명,	4000/SN+여/XSN+명/NNB+,/SP
주최	주최/NNG
측	측/NNB
2만여명의	2/SN+만/NR+여/XSN+명/NNB+의/JKG
시민이	시민/NNG+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.399.7.3
1주일 전 집회 참석자는 경찰 추산 7000명, 주최 측 추산 2만5000여명이었다.

1주일	1/SN+주일/NNB
전	전/NNG
집회	집회/NNG
참석자는	참석자/NNG+는/JX
경찰	경찰/NNG
추산	추산/NNG
7000명,	7000/SN+명/NNB+,/SP
주최	주최/NNG
측	측/NNB
2만5000여명이었다.	2/SN+만/NR+5000/SN+여/XSN+명/NNB+이/VCP+었/EP+다/EF+./SF


