# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.206
metadata : {}


# id : NWRW1800000028.206.1.1
감동과 눈물 “이것이 사랑이다”

감동과	감동/NNG+과/JC
눈물	눈물/NNG
“이것이	“/SS+이것/NP+이/JKS
사랑이다”	사랑/NNG+이/VCP+다/EF+”/SS


# id : NWRW1800000028.206.2.1
지난 16일 오후 <문화방송>(MBC) ‘휴먼 다큐 사랑’ 크리스마스의 기적 편(18일 밤 10시55분) 녹음실.

지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
오후	오후/NNG
<문화방송>(MBC)	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS
‘휴먼	‘/SS+휴먼/NNG
다큐	다큐/NNG
사랑’	사랑/NNG+’/SS
크리스마스의	크리스마스/NNG+의/JKG
기적	기적/NNG
편(18일	편/NNB+(/SS+18/SN+일/NNB
밤	밤/NNG
10시55분)	10/SN+시/NNB+55/SN+분/NNB+)/SS
녹음실.	녹음실/NNG+./SF


# id : NWRW1800000028.206.2.2
김남주의 눈물샘도 기어이 터지고 말았다.

김남주의	김남주/NNP+의/JKG
눈물샘도	눈물샘/NNG+도/JX
기어이	기어이/MAG
터지고	터지/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.206.2.3
내레이션을 30분쯤 이어가던 중, 김남주는 녹음 중단을 요청했다.

내레이션을	내레이션/NNG+을/JKO
30분쯤	30/SN+분/NNB+쯤/XSN
이어가던	잇/VV+어/EC+가/VX+던/ETM
중,	중/NNB+,/SP
김남주는	김남주/NNP+는/JX
녹음	녹음/NNG
중단을	중단/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.206.2.4
“세살짜리 아이가 볼록한 배를 내밀고 엄마를 기다리는 장면이 너무 슬퍼요.”

“세살짜리	“/SS+세/MMN+살/NNB+짜리/XSN
아이가	아이/NNG+가/JKS
볼록한	볼록/MAG+하/XSA+ㄴ/ETM
배를	배/NNG+를/JKO
내밀고	내밀/VV+고/EC
엄마를	엄마/NNG+를/JKO
기다리는	기다리/VV+는/ETM
장면이	장면/NNG+이/JKS
너무	너무/MAG
슬퍼요.”	슬프/VA+어요/EF+./SF+”/SS


# id : NWRW1800000028.206.2.5
두 아이의 엄마인 김남주는 휴지에 얼굴을 파묻었다.

두	두/MMN
아이의	아이/NNG+의/JKG
엄마인	엄마/NNG+이/VCP+ㄴ/ETM
김남주는	김남주/NNP+는/JX
휴지에	휴지/NNG+에/JKB
얼굴을	얼굴/NNG+을/JKO
파묻었다.	파묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.206.3.1
이 다큐의 올해 들어 세번째 이야기인 ‘크리스마스의 기적’은 태어나자마자 버려진 아이들이 ‘가정’을 찾아가는 과정을 그렸다.

이	이/MMD
다큐의	다큐/NNG+의/JKG
올해	올해/NNG
들어	들/VV+어/EC
세번째	세/MMN+번/NNB+째/XSN
이야기인	이야기/NNG+이/VCP+ㄴ/ETM
‘크리스마스의	‘/SS+크리스마스/NNG+의/JKG
기적’은	기적/NNG+’/SS+은/JX
태어나자마자	태어나/VV+자마자/EC
버려진	버리/VV+어/EC+지/VX+ㄴ/ETM
아이들이	아이/NNG+들/XSN+이/JKS
‘가정’을	‘/SS+가정/NNG+’/SS+을/JKO
찾아가는	찾아가/VV+는/ETM
과정을	과정/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.206.3.2
2006년 5월 첫선을 뵌 ‘휴먼 다큐 사랑’은 매년 가정의 달인 5월에 4~5편씩 집중방영하고 있다.

2006년	2006/SN+년/NNB
5월	5/SN+월/NNB
첫선을	첫선/NNG+을/JKO
뵌	뵈/VV+ㄴ/ETM
‘휴먼	‘/SS+휴먼/NNG
다큐	다큐/NNG
사랑’은	사랑/NNG+’/SS+은/JX
매년	매년/MAG
가정의	가정/NNG+의/JKG
달인	달/NNG+이/VCP+ㄴ/ETM
5월에	5/SN+월/NNB+에/JKB
4~5편씩	4/SN+~/SO+5/SN+편/NNB+씩/XSN
집중방영하고	집중/NNG+방영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.206.3.3
올해는 파업 여파로 방송이 늦어져 5월28일 첫방송 된 뒤 6월25일 마지막편(4편)이 나간다.

올해는	올해/NNG+는/JX
파업	파업/NNG
여파로	여파/NNG+로/JKB
방송이	방송/NNG+이/JKS
늦어져	늦어지/VV+어/EC
5월28일	5/SN+월/NNB+28/SN+일/NNB
첫방송	첫/MMN+방송/NNG
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
6월25일	6/SN+월/NNB+25/SN+일/NNB
마지막편(4편)이	마지막/NNG+편/NNB+(/SS+4/SN+편/NNB+)/SS+이/JKS
나간다.	나가/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.206.4.1
지난해 성탄절에 서울의 한 빌라 복도에 버려진 아기 성탄이와 어느 모텔 복도에서 발견된 아기 윤아, 지난해 가을 기아로 신고돼 보호시설에 들어온 세살배기 서진이가 3편의 주인공이다.

