# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.318
metadata : {}


# id : NWRW1800000046.318.1.1
[19대 국회 이념분석] 전병헌, 새누리 일부 의원들보다 더 보수적

[19대	[/SS+19/SN+대/NNB
국회	국회/NNG
이념분석]	이념/NNG+분석/NNG+]/SS
전병헌,	전병헌/NNP+,/SP
새누리	새누리/NNP
일부	일부/NNG
의원들보다	의원/NNG+들/XSN+보다/JKB
더	더/MAG
보수적	보수/NNG+적/XSN


# id : NWRW1800000046.318.2.1
중간지대 與野 의원들… 새누리 이종배·배덕광 등 초선이 黨內 가장 진보적

중간지대	중간/NNG+지대/NNG
與野	與野/SH
의원들…	의원/NNG+들/XSN+…/SE
새누리	새누리/NNP
이종배·배덕광	이종배/NNP+·/SP+배덕광/NNP
등	등/NNB
초선이	초선/NNG+이/JKS
黨內	黨內/SH
가장	가장/MAG
진보적	진보/NNG+적/XSN


# id : NWRW1800000046.318.3.1
이번 조사에서 일부 의원은 상대 정당의 이념에 가까운 투표 성향을 보이며 '중간 지대'를 형성했다.

이번	이번/NNG
조사에서	조사/NNG+에서/JKB
일부	일부/NNG
의원은	의원/NNG+은/JX
상대	상대/NNG
정당의	정당/NNG+의/JKG
이념에	이념/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
투표	투표/NNG
성향을	성향/NNG+을/JKO
보이며	보이/VV+며/EC
'중간	'/SS+중간/NNG
지대'를	지대/NNG+'/SS+를/JKO
형성했다.	형성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.318.4.1
우선 새누리당 내에선 정용기(초선·대전 대덕) 의원과 이종배(초선·충북 충주), 배덕광(초선·부산 해운대기장갑) 의원이 가장 진보적이었다.

우선	우선/MAG
새누리당	새누리당/NNP
내에선	내/NNB+에서/JKB+ㄴ/JX
정용기(초선·대전	정용기/NNP+(/SS+초선/NNG+·/SP+대전/NNP
대덕)	대덕/NNP+)/SS
의원과	의원/NNG+과/JC
이종배(초선·충북	이종배/NNP+(/SS+초선/NNG+·/SP+충북/NNP
충주),	충주/NNP+)/SS+,/SP
배덕광(초선·부산	배덕광/NNP+(/SS+초선/NNG+·/SP+부산/NNP
해운대기장갑)	해운대기장갑/NNP+)/SS
의원이	의원/NNG+이/JKS
가장	가장/MAG
진보적이었다.	진보/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.318.4.2
이들은 작년 7·30 재·보궐선거로 처음 배지를 달았다는 공통점이 있다.

이들은	이/NP+들/XSN+은/JX
작년	작년/NNG
7·30	7/SN+·/SP+30/SN
재·보궐선거로	재/XPN+·/SP+보궐/NNG+선거/NNG+로/JKB
처음	처음/NNG
배지를	배지/NNG+를/JKO
달았다는	달/VV+았/EP+다는/ETM
공통점이	공통점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.318.4.3
이들의 뒤를 이은 이재오(5선·서울 은평을) 의원과 정병국(4선·경기 여주·양평·가평), 박맹우(초선·울산 남구을), 유의동(초선·경기 평택을), 이정현(재선·전남 곡성), 김제식(충남 서산태안), 윤상현(재선·인천 남구을) 의원 중 상당수도 7·30 재·보선 출신이다.

이들의	이/NP+들/XSN+의/JKG
뒤를	뒤/NNG+를/JKO
이은	잇/VV+은/ETM
이재오(5선·서울	이재오/NNP+(/SS+5/SN+선/NNB+·/SP+서울/NNP
은평을)	은평을/NNP+)/SS
의원과	의원/NNG+과/JC
정병국(4선·경기	정병국/NNP+(/SS+4/SN+선/NNB+·/SP+경기/NNP
여주·양평·가평),	여주/NNP+·/SP+양평/NNP+·/SP+가평/NNP+)/SS+,/SP
박맹우(초선·울산	박맹우/NNP+(/SS+초선/NNG+·/SP+울산/NNP
남구을),	남구을/NNP+)/SS+,/SP
유의동(초선·경기	유의동/NNP+(/SS+초선/NNG+·/SP+경기/NNP
평택을),	평택을/NNP+)/SS+,/SP
이정현(재선·전남	이정현/NNP+(/SS+재선/NNG+·/SP+전남/NNP
곡성),	곡성/NNP+)/SS+,/SP
