# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.334
metadata : {}


# id : NWRW1800000030.334.1.1
[서울시장 후보 찾기 … 한나라당 내부 격론] 親朴 "이기태(애니콜 신화 前 삼성전자 부회장)·황창규(반도체 신화 前 삼성전자 사장) 같은 기업인 찾아보자"

[서울시장	[/SS+서울시장/NNG
후보	후보/NNG
찾기	찾/VV+기/ETN
…	…/SE
한나라당	한나라당/NNP
내부	내부/NNG
격론]	격론/NNG+]/SS
親朴	親朴/SH
"이기태(애니콜	"/SS+이기태/NNP+(/SS+애니콜/NNP
신화	신화/NNG
前	前/SH
삼성전자	삼성전자/NNP
부회장)·황창규(반도체	부회장/NNG+)/SS+·/SP+황창규/NNP+(/SS+반도체/NNG
사장)	사장/NNG+)/SS
같은	같/VA+은/ETM
기업인	기업인/NNG
찾아보자"	찾/VV+아/EC+보/VX+자/EF+"/SS


# id : NWRW1800000030.334.2.1
•친박·소장파, 전략 공천 주장… 원희룡 "박근혜 裁可 필요"

•친박·소장파,	•/SW+친/XPN+박/NNP+·/SP+소장파/NNG+,/SP
전략	전략/NNG
공천	공천/NNG
주장…	주장/NNG+…/SE
원희룡	원희룡/NNP
"박근혜	"/SS+박근혜/NNP
裁可	裁可/SH
필요"	필요/NNG+"/SS


# id : NWRW1800000030.334.3.1
한나라당의 친이계와 친박·소장파가 서울시장 후보 선출 방식을 놓고 충돌하고 있다.

한나라당의	한나라당/NNP+의/JKG
친이계와	친/XPN+이/NNP+계/XSN+와/JC
친박·소장파가	친/XPN+박/NNP+·/SP+소장파/NNG+가/JKS
서울시장	서울시장/NNG
후보	후보/NNG
선출	선출/NNG
방식을	방식/NNG+을/JKO
놓고	놓/VV+고/EC
충돌하고	충돌/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.334.3.2
친이계는 "어떤 후보들이 나오더라도 경선을 실시해야 한다"고 주장하는 반면, 친박·소장파는 "경선을 못 박아선 안된다"는 입장이다.

친이계는	친/XPN+이/NNP+계/XSN+는/JX
"어떤	"/SS+어떤/MMD
후보들이	후보/NNG+들/XSN+이/JKS
나오더라도	나오/VV+더라도/EC
경선을	경선/NNG+을/JKO
실시해야	실시/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장하는	주장/NNG+하/XSV+는/ETM
반면,	반면/NNG+,/SP
친박·소장파는	친/XPN+박/NNP+·/SP+소장파/NNG+는/JX
"경선을	"/SS+경선/NNG+을/JKO
못	못/NNG
박아선	박/VV+아서/EC+ㄴ/JX
안된다"는	안/MAG+되/XSV+ㄴ다/EF+"/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.334.4.1
◆외부인사 영입 vs 내부 후보론

◆외부인사	◆/SW+외부/NNG+인사/NNG
영입	영입/NNG
vs	vs/SL
내부	내부/NNG
후보론	후보/NNG+론/XSN


# id : NWRW1800000030.334.5.1
한나라당 연찬회가 열린 천안에서 서울시당은 1일 따로 모임을 갖고 "서울시장 후보경선은 불가피하며 서울시당도 경선준비에 들어가야 한다"고 입장을 정리했다고 서울시당 대변인인 진성호 의원이 브리핑했다.

한나라당	한나라당/NNP
연찬회가	연찬회/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
천안에서	천안/NNP+에서/JKB
서울시당은	서울시/NNP+당/NNG+은/JX
1일	1/SN+일/NNB
따로	따로/MAG
모임을	모임/NNG+을/JKO
갖고	갖/VV+고/EC
"서울시장	"/SS+서울시장/NNG
후보경선은	후보/NNG+경선/NNG+은/JX
불가피하며	불가피하/VA+며/EC
서울시당도	서울시/NNP+당/NNG+도/JX
경선준비에	경선/NNG+준비/NNG+에/JKB
들어가야	들어가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
입장을	입장/NNG+을/JKO
정리했다고	정리/NNG+하/XSV+았/EP+다고/EC
서울시당	서울시/NNP+당/NNG
대변인인	대변인/NNG+이/VCP+ㄴ/ETM
진성호	진성호/NNP
의원이	의원/NNG+이/JKS
브리핑했다.	브리핑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.5.2
그러자 그 모임 참석자였던 친박계 구상찬 의원은 2일 "우리가 언제 그런 합의를 했느냐"고 반박했다.

그러자	그러/VV+자/EC
그	그/MMD
모임	모임/NNG
참석자였던	참석자/NNG+이/VCP+었/EP+던/ETM
친박계	친/XPN+박/NNP+계/XSN
구상찬	구상찬/NNP
의원은	의원/NNG+은/JX
2일	2/SN+일/NNB
"우리가	"/SS+우리/NP+가/JKS
언제	언제/MAG
그런	그런/MMD
합의를	합의/NNG+를/JKO
했느냐"고	하/VV+았/EP+느냐/EF+"/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.6.1
이처럼 두 진영이 서울시장 후보 선출 방식을 놓고 격돌하는 이유에 대해 한나라당 관계자들은 "서로 선호하는 후보의 콘셉트에 맞춰서 공천 방식을 달리 생각하기 때문"이라고 했다.

이처럼	이/NP+처럼/JKB
두	두/MMN
진영이	진영/NNG+이/JKS
서울시장	서울시장/NNG
후보	후보/NNG
선출	선출/NNG
방식을	방식/NNG+을/JKO
놓고	놓/VV+고/EC
격돌하는	격돌/NNG+하/XSV+는/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
한나라당	한나라당/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
"서로	"/SS+서로/MAG
선호하는	선호/NNG+하/XSV+는/ETM
후보의	후보/NNG+의/JKG
콘셉트에	콘셉트/NNG+에/JKB
맞춰서	맞추/VV+어서/EC
공천	공천/NNG
달리	달리/MAG
생각하기	생각/NNG+하/XSV+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.334.6.2
나경원 최고위원을 지원하는 친이계는 나 최고위원이 절대적 강세를 보이는 당내 경선을 선호하고 있다.

나경원	나경원/NNP
최고위원을	최고/NNG+위원/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
친이계는	친/XPN+이/NNP+계/XSN+는/JX
나	나/NNP
최고위원이	최고/NNG+위원/NNG+이/JKS
절대적	절대/NNG+적/XSN
강세를	강세/NNG+를/JKO
보이는	보이/VV+는/ETM
당내	당내/NNG
경선을	경선/NNG+을/JKO
선호하고	선호/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.334.6.3
반면 나 최고위원에 부정적인 친박·소장파들은 외부인사 수혈에 용이한 '전략 공천'을 염두에 두고 있다는 얘기였다.

반면	반면/NNG
나	나/NNP
최고위원에	최고/NNG+위원/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
친박·소장파들은	친/XPN+박/NNP+·/SP+소장파/NNG+들/XSN+은/JX
외부인사	외부/NNG+인사/NNG
수혈에	수혈/NNG+에/JKB
용이한	용이하/VA+ㄴ/ETM
'전략	'/SS+전략/NNG
공천'을	공천/NNG+'/SS+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
있다는	있/VX+다는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.334.6.4
친박 측은 "벌써 경선 원칙을 정해버리면 당내 기반이 없는 외부의 유력 인사들을 어떻게 영입할 수 있느냐"고 했다.

친박	친/XPN+박/NNP
측은	측/NNB+은/JX
"벌써	"/SS+벌써/MAG
경선	경선/NNG
원칙을	원칙/NNG+을/JKO
정해버리면	정하/VV+아/EC+버리/VX+면/EC
당내	당내/NNG
기반이	기반/NNG+이/JKS
