# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.189
metadata : {}


# id : NWRW1800000028.189.1.1
표현의 자유 ‘재갈’ 풀어야 민심 보인다

표현의	표현/NNG+의/JKG
자유	자유/NNG
‘재갈’	‘/SS+재갈/NNG+’/SS
풀어야	풀/VV+어야/EC
민심	민심/NNG
보인다	보이/VV+ㄴ다/EF


# id : NWRW1800000028.189.2.1
경기 성남에 사는 회사원 김아무개(43)씨는 이번 선거 결과를 보고 ‘고소하다’고 했다.

경기	경기/NNP
성남에	성남/NNP+에/JKB
사는	살/VV+는/ETM
회사원	회사원/NNG
김아무개(43)씨는	김/NNP+아무개/NP+(/SS+43/SN+)/SS+씨/NNB+는/JX
이번	이번/NNG
선거	선거/NNG
결과를	결과/NNG+를/JKO
보고	보/VV+고/EC
‘고소하다’고	‘/SS+고소하/VA+다/EF+’/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.189.2.2
선거 전 여론조사 전화를 받고 “한나라당을 지지한다”고 했지만, 실제 선거에선 야권 후보에 표를 던졌다.

선거	선거/NNG
전	전/NNG
여론조사	여론/NNG+조사/NNG
전화를	전화/NNG+를/JKO
받고	받/VV+고/EC
“한나라당을	“/SS+한나라당/NNP+을/JKO
지지한다”고	지지/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
실제	실제/NNG
선거에선	선거/NNG+에서/JKB+ㄴ/JX
야권	야권/NNG
후보에	후보/NNG+에/JKB
표를	표/NNG+를/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.189.2.3
특히 자신을 ‘20대 유권자’라면서 나이를 속였다고 했다.

특히	특히/MAG
자신을	자신/NNG+을/JKO
‘20대	‘/SS+20/SN+대/NNB
유권자’라면서	유권자/NNG+’/SS+이/VCP+라면서/EC
나이를	나이/NNG+를/JKO
