# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.426
metadata : {}


# id : NWRW1800000024.426.1.1
‘환자복’ 커트 코베인 /폭발적 100분 절창

‘환자복’	‘/SS+환자복/NNG+’/SS
커트	커트/NNP
코베인	코베인/NNP
/폭발적	//SP+폭발/NNG+적/XSN
100분	100/SN+분/NNB
절창	절창/NNG


# id : NWRW1800000024.426.2.1
“위대한 로큰롤 공연 하나가 세상을 바꿀 수 있다.”

“위대한	“/SS+위대하/VA+ㄴ/ETM
로큰롤	로큰롤/NNG
공연	공연/NNG
하나가	하나/NR+가/JKS
세상을	세상/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.426.3.1
영화 <스쿨 오브 록>에서 로커의 신분을 숨기고 위장취업한 얼치기 임시교사 듀이 핀(잭 블랙)은 학생들에게 이렇게 말했다.

영화	영화/NNG
<스쿨	</SS+스쿨/NNP
오브	오브/NNP
록>에서	록/NNP+>/SS+에서/JKB
로커의	로커/NNG+의/JKG
신분을	신분/NNG+을/JKO
숨기고	숨기/VV+고/EC
위장취업한	위장/NNG+취업/NNG+하/XSV+ㄴ/ETM
얼치기	얼치기/NNG
임시교사	임시/NNG+교사/NNG
듀이	듀이/NNP
핀(잭	핀/NNP+(/SS+잭/NNP
블랙)은	블랙/NNP+)/SS+은/JX
학생들에게	학생/NNG+들/XSN+에게/JKB
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.426.3.2
음악평론가 박은석씨는 “너바나의 1992년 영국 레딩 페스티벌 무대가 바로 그런 공연 가운데 하나”라고 단언한다.

음악평론가	음악/NNG+평론가/NNG
박은석씨는	박은석/NNP+씨/NNB+는/JX
“너바나의	“/SS+너바나/NNP+의/JKG
1992년	1992/SN+년/NNB
영국	영국/NNP
레딩	레딩/NNP
페스티벌	페스티벌/NNG
무대가	무대/NNG+가/JKS
바로	바로/MAG
그런	그런/MMD
공연	공연/NNG
가운데	가운데/NNG
하나”라고	하나/NR+”/SS+라고/JKQ
