# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.375
metadata : {}


# id : NWRW1800000045.375.1.1
韓美 ‘국지도발 대비계획’ 첫 적용

韓美	韓美/SH
‘국지도발	‘/SS+국지/NNG+도발/NNG
대비계획’	대비/NNG+계획/NNG+’/SS
첫	첫/MMN
적용	적용/NNG


# id : NWRW1800000045.375.2.1
천안함-연평도 도발이후 작전수립… 한국군에 미군 전력 합세해 北대응

천안함-연평도	천안함/NNP+-/SO+연평도/NNP
도발이후	도발/NNG+이후/NNG
작전수립…	작전/NNG+수립/NNG+…/SE
한국군에	한국군/NNG+에/JKB
미군	미군/NNG
전력	전력/NNG
합세해	합세/NNG+하/XSV+아/EC
北대응	北/SH+대응/NNG


# id : NWRW1800000045.375.3.1
한미 양국은 21일 ‘한미 공동 국지도발대비계획’을 사실상 처음으로 실제 상황에 적용했다.

한미	한미/NNP
양국은	양국/NNG+은/JX
21일	21/SN+일/NNB
‘한미	‘/SS+한미/NNP
공동	공동/NNG
국지도발대비계획’을	국지/NNG+도발/NNG+대비/NNG+계획/NNG+’/SS+을/JKO
사실상	사실/NNG+상/XSN
처음으로	처음/NNG+으로/JKB
실제	실제/NNG
상황에	상황/NNG+에/JKB
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.375.3.2
전날 서부전선에서 발생한 포격전 이후 북한이 추가 도발에 나설 경우 양국이 확고하게 응징하겠다는 강력한 의지를 보여주기 위한 조치다.

전날	전날/NNG
서부전선에서	서부/NNG+전선/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
포격전	포격전/NNG
이후	이후/NNG
북한이	북한/NNP+이/JKS
추가	추가/NNG
도발에	도발/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
경우	경우/NNG
양국이	양국/NNG+이/JKS
확고하게	확고하/VA+게/EC
응징하겠다는	응징/NNG+하/XSV+겠/EP+다는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
의지를	의지/NNG+를/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
조치다.	조치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.375.4.1
한민구 국방부 장관은 이날 “주한미군과 진행 상황을 공유하고 있는 상태이며 조건이 충족되면 언제든지 한미 공동 국지도발대비계획을 실행할 준비가 돼 있다”고 말했다.

한민구	한민구/NNP
국방부	국방부/NNG
장관은	장관/NNG+은/JX
이날	이날/NNG
“주한미군과	“/SS+주한/NNG+미군/NNG+과/JC
진행	진행/NNG
상황을	상황/NNG+을/JKO
공유하고	공유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상태이며	상태/NNG+이/VCP+며/EC
조건이	조건/NNG+이/JKS
충족되면	충족/NNG+되/XSV+면/EC
언제든지	언제/NP+든지/JX
한미	한미/NNP
공동	공동/NNG
국지도발대비계획을	국지/NNG+도발/NNG+대비/NNG+계획/NNG+을/JKO
실행할	실행/NNG+하/XSV+ㄹ/ETM
준비가	준비/NNG+가/JKS
돼	되/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.375.4.2
한미가 사실상 연합작전에 돌입했음을 강력하게 시사한 발언이다.

한미가	한미/NNP+가/JKS
사실상	사실/NNG+상/XSN
연합작전에	연합/NNG+작전/NNG+에/JKB
돌입했음을	돌입/NNG+하/XSV+았/EP+음/ETN+을/JKO
강력하게	강력/NNG+하/XSA+게/EC
시사한	시사/NNG+하/XSV+ㄴ/ETM
발언이다.	발언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.375.5.1
국방부 고위 관계자도 “자위권 차원에서 한국군이 주도적으로 대응하고 유사시 한미 대통령 승인하에 미군의 지원을 받아 북한의 도발에 공동 대응할 것”이라고 밝혔다.

국방부	국방부/NNG
고위	고위/NNG
관계자도	관계자/NNG+도/JX
“자위권	“/SS+자위/NNG+권/XSN
차원에서	차원/NNG+에서/JKB
한국군이	한국군/NNG+이/JKS
주도적으로	주도/NNG+적/XSN+으로/JKB
대응하고	대응/NNG+하/XSV+고/EC
유사시	유사시/NNG
한미	한미/NNP
대통령	대통령/NNG
승인하에	승인/NNG+하/XSN+에/JKB
미군의	미군/NNG+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
북한의	북한/NNP+의/JKG
도발에	도발/NNG+에/JKB
공동	공동/NNG
대응할	대응/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.375.5.2
2013년부터 한미 군사당국이 성안한 한미 공동 국지도발대비계획은 2010년 천안함 폭침과 연평도 포격 도발 이후 북한의 국지적인 군사 도발이 있을 때 우리 군에 미군 전력이 합세해 대응하는 작전이다.

2013년부터	2013/SN+년/NNB+부터/JX
한미	한미/NNP
군사당국이	군사/NNG+당국/NNG+이/JKS
성안한	성안/NNG+하/XSV+ㄴ/ETM
공동	공동/NNG
국지도발대비계획은	국지/NNG+도발/NNG+대비/NNG+계획/NNG+은/JX
2010년	2010/SN+년/NNB
천안함	천안함/NNP
폭침과	폭침/NNG+과/JC
연평도	연평도/NNP
포격	포격/NNG
도발	도발/NNG
이후	이후/NNG
북한의	북한/NNP+의/JKG
국지적인	국지/NNG+적/XSN+이/VCP+ㄴ/ETM
군사	군사/NNG
도발이	도발/NNG+이/JKS
있을	있/VA+을/ETM
때	때/NNG
우리	우리/NP
군에	군/NNG+에/JKB
미군	미군/NNG
전력이	전력/NNG+이/JKS
합세해	합세/NNG+하/XSV+아/EC
대응하는	대응/NNG+하/XSV+는/ETM
작전이다.	작전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.375.6.1
북한군 총참모부가 전날 “48시간 안에 대북 심리전 방송을 중단하라”고 전통문으로 협박한 데 대해 합동참모본부는 21일 전통문을 통해 “무모한 경거망동을 완전히 포기하라”고 받아쳤다.

북한군	북한군/NNG
총참모부가	총참모부/NNG+가/JKS
전날	전날/NNG
“48시간	“/SS+48/SN+시간/NNB
안에	안/NNG+에/JKB
대북	대북/NNG
심리전	심리전/NNG
방송을	방송/NNG+을/JKO
중단하라”고	중단/NNG+하/XSV+라/EF+”/SS+고/JKQ
전통문으로	전통문/NNG+으로/JKB
협박한	협박/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
합동참모본부는	합동/NNG+참모/NNG+본부/NNG+는/JX
21일	21/SN+일/NNB
전통문을	전통문/NNG+을/JKO
통해	통하/VV+아/EC
“무모한	“/SS+무모/NNG+하/XSA+ㄴ/ETM
경거망동을	경거망동/NNG+을/JKO
완전히	완전히/MAG
포기하라”고	포기/NNG+하/XSV+라/EF+”/SS+고/JKQ
받아쳤다.	받아치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.375.6.2
유엔군사령부 군사정전위원회는 계속 북한과 대화의 길을 열어 놓은 상태다.

유엔군사령부	유엔군/NNG+사령부/NNG
군사정전위원회는	군사/NNG+정전/NNG+위원회/NNG+는/JX
계속	계속/MAG
북한과	북한/NNP+과/JKB
대화의	대화/NNG+의/JKG
길을	길/NNG+을/JKO
열어	열/VV+어/EC
놓은	놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.375.6.3
10일과 13일에 이어 20일 다시 “장성급 회담을 위한 대령급 실무회담을 갖자”는 전통문을 보냈지만 북측은 답하지 않았다.

10일과	10/SN+일/NNB+과/JC
13일에	13/SN+일/NNB+에/JKB
이어	잇/VV+어/EC
20일	20/SN+일/NNB
다시	다시/MAG
“장성급	“/SS+장성급/NNG
회담을	회담/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대령급	대령급/NNG
실무회담을	실무/NNG+회담/NNG+을/JKO
갖자”는	갖/VV+자/EF+”/SS+는/ETM
전통문을	전통문/NNG+을/JKO
보냈지만	보내/VV+었/EP+지만/EC
북측은	북측/NNG+은/JX
답하지	답/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


