# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.200
metadata : {}


# id : NWRW1800000026.200.1.1
[세계 미술의 巨匠에게 듣는다] 세계적 미술 명소 日나오시마에 이름 건 미술관 연 이우환;보이는 것 너머에 그의 宇宙가 있다

[세계	[/SS+세계/NNG
미술의	미술/NNG+의/JKG
巨匠에게	巨匠/SH+에게/JKB
듣는다]	듣/VV+는다/EF+]/SS
세계적	세계/NNG+적/XSN
미술	미술/NNG
명소	명소/NNG
日나오시마에	日/SH+나오시마/NNP+에/JKB
이름	이름/NNG
건	걸/VV+ㄴ/ETM
미술관	미술관/NNG
연	열/VV+ㄴ/ETM
이우환;보이는	이우환/NNP+;/SP+보이/VV+는/ETM
것	것/NNB
너머에	너머/NNG+에/JKB
그의	그/NP+의/JKG
宇宙가	宇宙/SH+가/JKS
있다	있/VA+다/EF


# id : NWRW1800000026.200.2.1
지난 15일 일본 시코구(四國) 북쪽 나오시마(直島)에 일본과 유럽에서 활동 중인 한국 작가 이우환의 작품을 소장한 '이우환 미술관'이 문을 열었다.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
일본	일본/NNP
시코구(四國)	시코구/NNP+(/SS+四國/SH+)/SS
북쪽	북쪽/NNG
나오시마(直島)에	나오시마/NNP+(/SS+直島/SH+)/SS+에/JKB
일본과	일본/NNP+과/JC
유럽에서	유럽/NNP+에서/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
한국	한국/NNP
작가	작가/NNG
이우환의	이우환/NNP+의/JKG
작품을	작품/NNG+을/JKO
소장한	소장/NNG+하/XSV+ㄴ/ETM
'이우환	'/SS+이우환/NNP
미술관'이	미술관/NNG+'/SS+이/JKS
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.2.2
비가 내리는 가운데 열린 개관전에는 한국과 미국·스페인 등에서 찾아온 큐레이터와 갤러리 대표, 컬렉터들로 북적였다.

비가	비/NNG+가/JKS
내리는	내리/VV+는/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
개관전에는	개관전/NNG+에/JKB+는/JX
한국과	한국/NNP+과/JC
미국·스페인	미국/NNP+·/SP+스페인/NNP
등에서	등/NNB+에서/JKB
찾아온	찾아오/VV+ㄴ/ETM
큐레이터와	큐레이터/NNG+와/JC
갤러리	갤러리/NNG
대표,	대표/NNG+,/SP
컬렉터들로	컬렉터/NNG+들/XSN+로/JKB
북적였다.	북적이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.3.1
이우환 미술관은 일본 베네세그룹의 후쿠다케 소이치로 회장과 함께 '나오시마 프로젝트'를 진행해온 세계적인 건축가 안도 다다오가 설계해 눈길을 끌었다.

이우환	이우환/NNP
미술관은	미술관/NNG+은/JX
일본	일본/NNP
베네세그룹의	베네세/NNP+그룹/NNG+의/JKG
후쿠다케	후쿠다케/NNP
소이치로	소이치로/NNP
회장과	회장/NNG+과/JKB
함께	함께/MAG
'나오시마	'/SS+나오시마/NNP
프로젝트'를	프로젝트/NNG+'/SS+를/JKO
진행해온	진행/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
건축가	건축가/NNG
안도	안도/NNP
다다오가	다다오/NNP+가/JKS
설계해	설계/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.200.3.2
미술관 주변에는 자연석과 철판을 설치한 이우환의 작품 〈관계항〉 등이 놓여 있었고, 입구까지는 길고 좁은 통로를 거쳐야 했다.

미술관	미술관/NNG
주변에는	주변/NNG+에/JKB+는/JX
자연석과	자연석/NNG+과/JC
철판을	철판/NNG+을/JKO
설치한	설치/NNG+하/XSV+ㄴ/ETM
이우환의	이우환/NNP+의/JKG
작품	작품/NNG
〈관계항〉	〈/SS+관계/NNG+항/NNG+〉/SS
등이	등/NNB+이/JKS
놓여	놓이/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
입구까지는	입구/NNG+까지/JX+는/JX
길고	길/VA+고/EC
좁은	좁/VA+은/ETM
통로를	통로/NNG+를/JKO
거쳐야	거치/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.200.3.3
내부로 들어서자 작은 동굴 같은 느낌이었다.

내부로	내부/NNG+로/JKB
들어서자	들어서/VV+자/EC
작은	작/VA+은/ETM
동굴	동굴/NNG
같은	같/VA+은/ETM
느낌이었다.	느낌/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.200.4.1
미술관은 '만남의 방' '침묵의 방' '그림자 방' '명상의 방'으로 나누어, 15점가량의 회화와 조각 작품을 통해 이우환의 작품 세계를 파노라마처럼 펼쳐놓았다.

미술관은	미술관/NNG+은/JX
'만남의	'/SS+만남/NNG+의/JKG
방'	방/NNG+'/SS
'침묵의	'/SS+침묵/NNG+의/JKG
'그림자	'/SS+그림자/NNG
'명상의	'/SS+명상/NNG+의/JKG
방'으로	방/NNG+'/SS+으로/JKB
나누어,	나누/VV+어/EC+,/SP
15점가량의	15/SN+점/NNB+가량/XSN+의/JKG
회화와	회화/NNG+와/JC
조각	조각/NNG
작품을	작품/NNG+을/JKO
통해	통하/VV+아/EC
이우환의	이우환/NNP+의/JKG
작품	작품/NNG
세계를	세계/NNG+를/JKO
파노라마처럼	파노라마/NNG+처럼/JKB
펼쳐놓았다.	펼치/VV+어/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.200.4.2
'만남의 방'은 회화 〈선으로부터(1974)〉〈점으로부터(1976)〉 등 평면작품 중심이고, '침묵의 방'과 '그림자 방'은 자연석과 철판으로 이뤄진 설치작품 중심이다.

'만남의	'/SS+만남/NNG+의/JKG
방'은	방/NNG+'/SS+은/JX
회화	회화/NNG
〈선으로부터(1974)〉〈점으로부터(1976)〉	〈/SS+선/NNG+으로부터/JKB+(/SS+1974/SN+)/SS+〉/SS+〈/SS+점/NNG+으로부터/JKB+(/SS+1976/SN+)/SS+〉/SS
등	등/NNB
평면작품	평면/NNG+작품/NNG
중심이고,	중심/NNG+이/VCP+고/EC+,/SP
'침묵의	'/SS+침묵/NNG+의/JKG
방'과	방/NNG+'/SS+과/JC
'그림자	'/SS+그림자/NNG
자연석과	자연석/NNG+과/JC
철판으로	철판/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
설치작품	설치/NNG+작품/NNG
중심이다.	중심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.200.4.3
마지막 '명상의 방'에 이르자 안내인이 신발을 벗어야 한다고 말했다.

마지막	마지막/NNG
'명상의	'/SS+명상/NNG+의/JKG
방'에	방/NNG+'/SS+에/JKB
이르자	이르/VV+자/EC
안내인이	안내인/NNG+이/JKS
신발을	신발/NNG+을/JKO
벗어야	벗/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.200.4.4
'명상의 방'에는 회화 〈조응〉이 벽화처럼 그려져 있다.

'명상의	'/SS+명상/NNG+의/JKG
방'에는	방/NNG+'/SS+에/JKB+는/JX
회화	회화/NNG
〈조응〉이	〈/SS+조응/NNP+〉/SS+이/JKS
벽화처럼	벽화/NNG+처럼/JKB
그려져	그리/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.200.4.5
이우환은 "관람객이 잠시나마 쉬어가라고 만든 방"이라고 설명했다.

