# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.363
metadata : {}


# id : NWRW1800000038.363.1.1
[개성공단 사태] 김정은 40일만의 경제시찰

[개성공단	[/SS+개성공단/NNP
사태]	사태/NNG+]/SS
김정은	김정은/NNP
40일만의	40/SN+일/NNB+만/NNB+의/JKG
경제시찰	경제/NNG+시찰/NNG


# id : NWRW1800000038.363.2.1
한국산 화장품 매장이 北쇼핑몰에… 둘러보는 김정은

한국산	한국/NNP+산/XSN
화장품	화장품/NNG
매장이	매장/NNG+이/JKS
北쇼핑몰에…	北/SH+쇼핑몰/NNG+에/JKB+…/SE
둘러보는	둘러보/VV+는/ETM
김정은	김정은/NNP


# id : NWRW1800000038.363.3.1
북한 김정은 노동당 제1비서가 부인 리설주를 데리고 평양 '해당화관'이란 주민 편의 시설을 방문했다고 28일 조선중앙통신이 보도했다.

북한	북한/NNP
김정은	김정은/NNP
노동당	노동당/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
부인	부인/NNG
리설주를	리설주/NNP+를/JKO
데리고	데리/VV+고/EC
평양	평양/NNP
'해당화관'이란	'/SS+해당화관/NNP+'/SS+이/VCP+란/ETM
주민	주민/NNG
편의	편의/NNG
시설을	시설/NNG+을/JKO
방문했다고	방문/NNG+하/XSV+았/EP+다고/EC
28일	28/SN+일/NNB
조선중앙통신이	조선중앙통신/NNP+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.363.3.2
김정은이 경제 현장을 시찰한 건 지난달 11일쯤 용정양어장을 방문한 이후 40여일 만이다.

김정은이	김정은/NNP+이/JKS
경제	경제/NNG
현장을	현장/NNG+을/JKO
시찰한	시찰/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
지난달	지난달/NNG
11일쯤	11/SN+일/NNB+쯤/XSN
용정양어장을	용정/NNP+양어장/NNG+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
40여일	40/SN+여/XSN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.363.3.3
리설주는 2월 말 미국프로농구(NBA) 선수 출신 데니스 로드먼과 농구 경기를 관람한 이후 약 2개월 만에 공개 석상에 나타났다.

리설주는	리설주/NNP+는/JX
2월	2/SN+월/NNB
말	말/NNB
미국프로농구(NBA)	미국/NNP+프로/NNG+농구/NNG+(/SS+NBA/SL+)/SS
선수	선수/NNG
출신	출신/NNG
데니스	데니스/NNP
로드먼과	로드먼/NNP+과/JKB
농구	농구/NNG
경기를	경기/NNG+를/JKO
관람한	관람/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
약	약/MMA
2개월	2/SN+개월/NNB
만에	만/NNB+에/JKB
공개	공개/NNG
석상에	석상/NNG+에/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.363.4.1
조선중앙통신에 따르면, 해당화관은 평양 대동강변에 있는 지하 1층, 지상 6층 규모의 복합 문화·쇼핑시설이다.

조선중앙통신에	조선중앙통신/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
해당화관은	해당화관/NNP+은/JX
평양	평양/NNP
