# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.365
metadata : {}


# id : NWRW1800000044.365.1.1
‘여론 무마용’ 지적에도…‘100년형’ 입법 강행

‘여론	‘/SS+여론/NNG
무마용’	무마/NNG+용/XSN+’/SS
지적에도…‘100년형’	지적/NNG+에/JKB+도/JX+…/SE+‘/SS+100/SN+년/NNB+형/NNG+’/SS
입법	입법/NNG
강행	강행/NNG


# id : NWRW1800000044.365.2.1
[한겨레] ‘인명 피해 특례법’ 국무회의 통과

[한겨레]	[/SS+한겨레/NNP+]/SS
‘인명	‘/SS+인명/NNG
피해	피해/NNG
특례법’	특례법/NNG+’/SS
국무회의	국무/NNG+회의/NNG
통과	통과/NNG


# id : NWRW1800000044.365.3.1
국회 심의 과정에서 논란 이어질 듯

국회	국회/NNG
심의	심의/NNG
과정에서	과정/NNG+에서/JKB
논란	논란/NNG
이어질	이어지/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000044.365.4.1
대규모 인명 피해 범죄에 징역 100년형까지를 선고할 수 있도록 형량을 대폭 강화한 ‘다중인명피해범죄의 경합범 가중에 관한 특례법’이 국무회의를 통과했다.

대규모	대/XPN+규모/NNG
인명	인명/NNG
피해	피해/NNG
범죄에	범죄/NNG+에/JKB
징역	징역/NNG
100년형까지를	100/SN+년/NNB+형/NNG+까지/JX+를/JKO
선고할	선고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
형량을	형량/NNG+을/JKO
대폭	대폭/MAG
강화한	강화/NNG+하/XSV+ㄴ/ETM
‘다중인명피해범죄의	‘/SS+다중/NNG+인명/NNG+피해/NNG+범죄/NNG+의/JKG
경합범	경합범/NNG
가중에	가중/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
특례법’이	특례법/NNG+’/SS+이/JKS
국무회의를	국무/NNG+회의/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.365.4.2
‘졸속 입법’이라는 비판이 많았던 만큼 국회 심의 과정에서 논란이 예상된다.

‘졸속	‘/SS+졸속/NNG
입법’이라는	입법/NNG+’/SS+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
만큼	만큼/NNB
국회	국회/NNG
심의	심의/NNG
과정에서	과정/NNG+에서/JKB
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.365.5.1
정부는 24일 국무회의에서 법무부 원안대로 법안을 통과시켰다.

정부는	정부/NNG+는/JX
24일	24/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
법무부	법무부/NNG
원안대로	원안/NNG+대로/JX
법안을	법안/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.365.5.2
박근혜 대통령의 서명을 받아 이르면 이달 말 국회에 법안을 제출할 예정이다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
서명을	서명/NNG+을/JKO
받아	받/VV+아/EC
이르면	이르/VV+면/EC
이달	이달/NNG
말	말/NNB
국회에	국회/NNG+에/JKB
법안을	법안/NNG+을/JKO
제출할	제출/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.365.6.1
법안은 2명 이상을 숨지게 한 범죄를 저질렀을 때 처벌을 대폭 강화하는 내용을 담고 있다.

법안은	법안/NNG+은/JX
2명	2/SN+명/NNB
이상을	이상/NNG+을/JKO
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
범죄를	범죄/NNG+를/JKO
저질렀을	저지르/VV+었/EP+을/ETM
때	때/NNG
처벌을	처벌/NNG+을/JKO
대폭	대폭/MAG
강화하는	강화/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.365.6.2
피해자 수만큼 별개의 범죄를 저지른 것으로 보고, 각각의 죄에 따른 형을 모두 더해 형량을 정하게 했고 상한은 징역 100년으로 했다.

피해자	피해자/NNG
수만큼	수/NNG+만큼/JKB
별개의	별개/NNG+의/JKG
범죄를	범죄/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고,	보/VV+고/EC+,/SP
각각의	각각/NNG+의/JKG
죄에	죄/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
형을	형/NNG+을/JKO
모두	모두/MAG
더해	더/MAG+하/XSV+아/EC
형량을	형량/NNG+을/JKO
정하게	정하/VV+게/EC
했고	하/VX+았/EP+고/EC
상한은	상한/NNG+은/JX
징역	징역/NNG
100년으로	100/SN+년/NNB+으로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.365.7.1
지난 3일 법무부가 이 법안을 입법예고하자 법조계에서는 ‘국민감정을 달래기 위한 쇼’라는 평가가 많았다.

지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
법무부가	법무부/NNG+가/JKS
이	이/MMD
법안을	법안/NNG+을/JKO
입법예고하자	입법/NNG+예고/NNG+하/XSV+자/EC
법조계에서는	법조/NNG+계/XSN+에서/JKB+는/JX
‘국민감정을	‘/SS+국민감정/NNG+을/JKO
달래기	달래/VV+기/ETN
위한	위하/VV+ㄴ/ETM
쇼’라는	쇼/NNG+’/SS+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.365.7.2
‘100년형’은 사실상 현행 무기징역형과 큰 차이가 없기 때문이다.

‘100년형’은	‘/SS+100/SN+년/NNB+형/NNG+’/SS+은/JX
사실상	사실/NNG+상/XSN
현행	현행/NNG
무기징역형과	무기/NNG+징역형/NNG+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.365.7.3
각각의 죄에 따른 형을 모두 더해 처벌하는 건 현행 형법의 대원칙과 어긋나는데다, 충분한 사전 논의 없이 박근혜 대통령이 공개적으로 도입을 지시하자 보름 만에 특별법이 마련된 데에도 비판이 쏟아졌다.

각각의	각각/NNG+의/JKG
죄에	죄/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
형을	형/NNG+을/JKO
모두	모두/MAG
더해	더/MAG+하/XSV+아/EC
처벌하는	처벌/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
현행	현행/NNG
형법의	형법/NNG+의/JKG
대원칙과	대/XPN+원칙/NNG+과/JKB
어긋나는데다,	어긋나/VV+는/ETM+데/NNB+다/JX+,/SP
충분한	충분하/VA+ㄴ/ETM
사전	사전/NNG
논의	논의/NNG
없이	없이/MAG
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
도입을	도입/NNG+을/JKO
지시하자	지시/NNG+하/XSV+자/EC
보름	보름/NNG
만에	만/NNB+에/JKB
특별법이	특별법/NNG+이/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
데에도	데/NNB+에/JKB+도/JX
비판이	비판/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


