# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.209
metadata : {}


# id : NWRW1800000030.209.1.1
에닝요 2골… 전북 8강 선착 •아시아챔피언스리그서 톈진에 3대0

에닝요	에닝요/NNP
2골…	2/SN+골/NNG+…/SE
전북	전북/NNP
8강	8/SN+강/NNB
선착	선착/NNG
•아시아챔피언스리그서	•/SW+아시아/NNP+챔피언스리그/NNG+서/JKB
톈진에	톈진/NNP+에/JKB
3대0	3/SN+대/NNB+0/SN


# id : NWRW1800000030.209.2.1
전북 현대가 톈진 테다(중국)를 3대0으로 완파하고 K리그 팀 중 가장 먼저 AFC(아시아축구연맹)챔피언스리그 8강에 선착했다.

전북	전북/NNP
현대가	현대/NNP+가/JKS
톈진	톈진/NNP
테다(중국)를	테다/NNP+(/SS+중국/NNP+)/SS+를/JKO
3대0으로	3/SN+대/NNB+0/SN+으로/JKB
완파하고	완파/NNG+하/XSV+고/EC
K리그	K/SL+리그/NNG
팀	팀/NNG
중	중/NNB
가장	가장/MAG
먼저	먼저/MAG
AFC(아시아축구연맹)챔피언스리그	AFC/SL+(/SS+아시아축구연맹/NNP+)/SS+챔피언스리그/NNG
8강에	8/SN+강/NNB+에/JKB
선착했다.	선착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.209.2.2
전북은 2006년 우승 이후 5년 만의 정상에 도전하고 있다.

전북은	전북/NNP+은/JX
2006년	2006/SN+년/NNB
우승	우승/NNG
이후	이후/NNG
5년	5/SN+년/NNB
만의	만/NNB+의/JKG
정상에	정상/NNG+에/JKB
도전하고	도전/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.209.3.1
전북은 24일 전주월드컵경기장에서 열린 대회 16강전 단판 승부에서 에닝요의 두 골과 이승현의 한 골로 완승했다.

전북은	전북/NNP+은/JX
24일	24/SN+일/NNB
전주월드컵경기장에서	전주월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
대회	대회/NNG
16강전	16/SN+강전/NNB
단판	단판/NNG
승부에서	승부/NNG+에서/JKB
에닝요의	에닝요/NNP+의/JKG
두	두/MMN
골과	골/NNG+과/JKB
이승현의	이승현/NNP+의/JKG
한	한/MMN
골로	골/NNG+로/JKB
완승했다.	완승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.209.3.2
G조에서 5승1패로 1위를 차지한 전북은 유일한 중국 팀인 E조 2위 톈진을 처음부터 거세게 몰아붙였다.

G조에서	G/SL+조/NNG+에서/JKB
