# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.368
metadata : {}


# id : NWRW1800000025.368.1.1
“英 세계 최대 플루토늄 벙커 테러 취약”

“英	“/SS+英/SH
세계	세계/NNG
최대	최대/NNG
플루토늄	플루토늄/NNG
벙커	벙커/NNG
테러	테러/NNG
취약”	취약/NNG+”/SS


# id : NWRW1800000025.368.2.1
영국 정부가 핵폭탄 수천 개를 만들 수 있는 플루토늄이 보관된 재처리시설에 대해 매우 은밀하게 긴급 테러대비 점검을 진행하고 있다고 일간 더타임스가 15일 보도했다.

영국	영국/NNP
정부가	정부/NNG+가/JKS
핵폭탄	핵폭탄/NNG
수천	수천/NR
개를	개/NNB+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
플루토늄이	플루토늄/NNG+이/JKS
보관된	보관/NNG+되/XSV+ㄴ/ETM
재처리시설에	재/XPN+처리/NNG+시설/NNG+에/JKB
대해	대하/VV+아/EC
매우	매우/MAG
은밀하게	은밀하/VA+게/EC
긴급	긴급/NNG
테러대비	테러/NNG+대비/NNG
점검을	점검/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
일간	일간/NNG
더타임스가	더타임스/NNP+가/JKS
15일	15/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.368.2.2
영국 안보에 매우 중요한 시설이 테러에 손쉽게 당할 수 있다는 심각한 약점이 드러난 것이다.

영국	영국/NNP
안보에	안보/NNG+에/JKB
매우	매우/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
시설이	시설/NNG+이/JKS
테러에	테러/NNG+에/JKB
손쉽게	손쉽/VA+게/EC
당할	당하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
심각한	심각하/VA+ㄴ/ETM
약점이	약점/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.368.3.1
영국 경찰감사관실(HMIC)이 경찰 대테러지휘부와 국내정보국(MI5)에 자문해 시행한 이번 긴급점검의 주요 대상은 컴브리아 주 셀라필드 재처리시설이다.

영국	영국/NNP
경찰감사관실(HMIC)이	경찰/NNG+감사관실/NNG+(/SS+HMIC/SL+)/SS+이/JKS
경찰	경찰/NNG
대테러지휘부와	대테러/NNG+지휘부/NNG+와/JC
국내정보국(MI5)에	국내/NNG+정보국/NNG+(/SS+MI/SL+5/SN+)/SS+에/JKB
자문해	자문/NNG+하/XSV+아/EC
시행한	시행/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
긴급점검의	긴급/NNG+점검/NNG+의/JKG
주요	주요/NNG
대상은	대상/NNG+은/JX
컴브리아	컴브리아/NNP
주	주/NNG
셀라필드	셀라필드/NNP
재처리시설이다.	재/XPN+처리/NNG+시설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.368.3.2
이 시설에는 사용된 핵연료를 재처리하는 과정에서 발생한 플루토늄 약 100t이 저장된 벙커가 있다.

이	이/MMD
시설에는	시설/NNG+에/JKB+는/JX
사용된	사용/NNG+되/XSV+ㄴ/ETM
핵연료를	핵연료/NNG+를/JKO
재처리하는	재/XPN+처리/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
플루토늄	플루토늄/NNG
약	약/MMA
100t이	100/SN+t/SW+이/JKS
저장된	저장/NNG+되/XSV+ㄴ/ETM
벙커가	벙커/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.368.3.3
플루토늄 100t이면 핵폭탄 수천 개를 만들 수 있는 양이며 세계에서 한 곳에 보관된 플루토늄으로는 최대량이다.

플루토늄	플루토늄/NNG
100t이면	100/SN+t/SW+이/VCP+면/EC
핵폭탄	핵폭탄/NNG
수천	수천/NR
개를	개/NNB+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
양이며	양/NNG+이/VCP+며/EC
세계에서	세계/NNG+에서/JKB
한	한/MMN
곳에	곳/NNG+에/JKB
보관된	보관/NNG+되/XSV+ㄴ/ETM
플루토늄으로는	플루토늄/NNG+으로/JKB+는/JX
최대량이다.	최/XPN+대량/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.368.3.4
이 때문에 영국 정부는 이곳의 보안에 신경을 크게 쓰고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
영국	영국/NNP
정부는	정부/NNG+는/JX
이곳의	이곳/NP+의/JKG
