# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.130
metadata : {}


# id : NWRW1800000045.130.1.1
‘읽는 감동 쓰는 기쁨’ 필사 시집 2권 동시출간

‘읽는	‘/SS+읽/VV+는/ETM
감동	감동/NNG
쓰는	쓰/VV+는/ETM
기쁨’	기쁨/NNG+’/SS
필사	필사/NNG
시집	시집/NNG
2권	2/SN+권/NNB
동시출간	동시/NNG+출간/NNG


# id : NWRW1800000045.130.2.1
‘너의 시 나의 책’ ‘명시를 쓰다’

‘너의	‘/SS+너/NP+의/JKG
시	시/NNG
나의	나/NP+의/JKG
책’	책/NNG+’/SS
‘명시를	‘/SS+명시/NNG+를/JKO
쓰다’	쓰/VV+다/EF+’/SS


# id : NWRW1800000045.130.3.1
“시구를 적는 일, 나아가 시 한 편을 백지 위에 옮겨 적는 일은 시간을 잠시 멈추는 일, 글자를 한 자 한 자 적으면서 자신을 되돌아보는 일, 그리고 시의 화자와 스스로가 어떤 점에서 같고 다른지 가늠해 보는 일이었다.

“시구를	“/SS+시구/NNG+를/JKO
적는	적/VV+는/ETM
일,	일/NNG+,/SP
나아가	나아가/VV+아/EC
시	시/NNG
한	한/MMN
편을	편/NNB+을/JKO
백지	백지/NNG
위에	위/NNG+에/JKB
옮겨	옮기/VV+어/EC
일은	일/NNG+은/JX
시간을	시간/NNG+을/JKO
잠시	잠시/MAG
멈추는	멈추/VV+는/ETM
글자를	글자/NNG+를/JKO
자	자/NNG
적으면서	적/VV+으면서/EC
자신을	자신/NNG+을/JKO
되돌아보는	되돌아보/VV+는/ETM
그리고	그리고/MAJ
시의	시/NNG+의/JKG
화자와	화자/NNG+와/JC
스스로가	스스로/NNG+가/JKS
어떤	어떤/MMD
점에서	점/NNG+에서/JKB
같고	같/VA+고/EC
다른지	다르/VA+ㄴ지/EC
가늠해	가늠/NNG+하/XSV+아/EC
보는	보/VX+는/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.130.3.2
그 시간은 단순히 시를 공감하고 이해하는 시간을 뛰어넘어, 자신도 미처 몰랐던 또 다른 자신을 발견하는 시간이었다.”(오은 시인)

그	그/MMD
시간은	시간/NNG+은/JX
단순히	단순히/MAG
시를	시/NNG+를/JKO
공감하고	공감/NNG+하/XSV+고/EC
이해하는	이해/NNG+하/XSV+는/ETM
시간을	시간/NNG+을/JKO
뛰어넘어,	뛰어넘/VV+어/EC+,/SP
자신도	자신/NNG+도/JX
미처	미처/MAG
몰랐던	모르/VV+았/EP+던/ETM
또	또/MAG
다른	다른/MMD
자신을	자신/NNG+을/JKO
발견하는	발견/NNG+하/XSV+는/ETM
시간이었다.”(오은	시간/NNG+이/VCP+었/EP+다/EF+./SF+”/SS+(/SS+오은/NNP
시인)	시인/NNG+)/SS


# id : NWRW1800000045.130.4.1
한국 문단의 젊은 대표 시인 오은, 유희경, 박준, 송승언이 함께 공동시집 ‘너의 시 나의 책’(아르테)을 출간했다.

한국	한국/NNP
문단의	문단/NNG+의/JKG
젊은	젊/VA+은/ETM
대표	대표/NNG
시인	시인/NNG
오은,	오은/NNP+,/SP
유희경,	유희경/NNP+,/SP
박준,	박준/NNP+,/SP
송승언이	송승언/NNP+이/JKS
함께	함께/MAG
공동시집	공동/NNG+시집/NNG
‘너의	‘/SS+너/NP+의/JKG
시	시/NNG
나의	나/NP+의/JKG
책’(아르테)을	책/NNG+’/SS+(/SS+아르테/NNP+)/SS+을/JKO
출간했다.	출간/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.130.4.2
부제는 ‘손글씨로 만드는 나의 첫 시집’.

부제는	부제/NNG+는/JX
‘손글씨로	‘/SS+손/NNG+글씨/NNG+로/JKB
만드는	만들/VV+는/ETM
나의	나/NP+의/JKG
첫	첫/MMN
시집’.	시집/NNG+’/SS+./SF


# id : NWRW1800000045.130.4.3
책엔 시인의 대표 시와 신작 시 60편이 수록돼 있다.

책엔	책/NNG+에/JKB+ㄴ/JX
시인의	시인/NNG+의/JKG
대표	대표/NNG
시와	시/NNG+와/JC
신작	신작/NNG
시	시/NNG
60편이	60/SN+편/NNB+이/JKS
수록돼	수록/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.130.5.1
‘오늘 나’ ‘오늘 실수’ ‘오늘 분노’ 등 키워드에 따라 엮인 시를 책 빈자리에 필사하다 보면 특별한 ‘나만의 책’을 만들 수 있다.

‘오늘	‘/SS+오늘/NNG
나’	나/NP+’/SS
실수’	실수/NNG+’/SS
분노’	분노/NNG+’/SS
등	등/NNB
키워드에	키워드/NNG+에/JKB
따라	따르/VV+아/EC
엮인	엮이/VV+ㄴ/ETM
시를	시/NNG+를/JKO
책	책/NNG
빈자리에	빈자리/NNG+에/JKB
필사하다	필사/NNG+하/XSV+다/EC
보면	보/VX+면/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
‘나만의	‘/SS+나/NP+만/JX+의/JKG
책’을	책/NNG+’/SS+을/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.130.5.2
문학뿐 아니라 캘리그래피나 컬러링북에 관심 있는 독자도 즐겁게 즐길 수 있다.

문학뿐	문학/NNG+뿐/JX
아니라	아니/VCN+라/EC
캘리그래피나	캘리그래피/NNG+나/JC
컬러링북에	컬러링/NNG+북/NNG+에/JKB
관심	관심/NNG
있는	있/VA+는/ETM
독자도	독자/NNG+도/JX
즐겁게	즐겁/VA+게/EC
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.130.6.1
김소월 이육사 윤동주 이상 등이 쓴 명시 53편을 모은 필사 시집 ‘명시를 쓰다’(사물을봄)도 출간됐다.

김소월	김소월/NNP
이육사	이육사/NNP
윤동주	윤동주/NNP
이상	이상/NNP
