# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.191
metadata : {}


# id : NWRW1800000026.191.1.1
[동서남북] 꿈도 꾸기 어려운 초당적 안보

[동서남북]	[/SS+동서남북/NNG+]/SS
꿈도	꿈/NNG+도/JX
꾸기	꾸/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
초당적	초당/NNG+적/XSN
안보	안보/NNG


# id : NWRW1800000026.191.2.1
천안함 민·군합동조사단이 14일 유엔 안보리 이사국들을 상대로 조사결과를 브리핑했다.

천안함	천안함/NNP
민·군합동조사단이	민·군/NNG+합동/NNG+조사단/NNG+이/JKS
14일	14/SN+일/NNB
유엔	유엔/NNP
안보리	안보리/NNG
이사국들을	이사국/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
조사결과를	조사/NNG+결과/NNG+를/JKO
브리핑했다.	브리핑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.191.2.2
북한도 이 자리에서 "우리가 전혀 하지 않은 일을 했다고 하니 우리가 피해자"라는 주장을 폈다.

북한도	북한/NNP+도/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
"우리가	"/SS+우리/NP+가/JKS
전혀	전혀/MAG
하지	하/VV+지/EC
않은	않/VX+은/ETM
일을	일/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
하니	하/VV+니/EC
우리가	우리/NP+가/JKS
피해자"라는	피해자/NNG+"/SS+이/VCP+라는/ETM
주장을	주장/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.191.2.3
이미 중국의 애매한 반응에서 경험했지만, 국제사회의 분위기는 북한의 어뢰공격으로 천안함 장병 46명을 잃은 우리의 안타까운 심정과는 약간 다르다.

이미	이미/MAG
중국의	중국/NNP+의/JKG
애매한	애매/NNG+하/XSA+ㄴ/ETM
반응에서	반응/NNG+에서/JKB
경험했지만,	경험/NNG+하/XSV+았/EP+지만/EC+,/SP
국제사회의	국제/NNG+사회/NNG+의/JKG
분위기는	분위기/NNG+는/JX
북한의	북한/NNP+의/JKG
어뢰공격으로	어뢰/NNG+공격/NNG+으로/JKB
천안함	천안함/NNP
장병	장병/NNG
46명을	46/SN+명/NNB+을/JKO
잃은	잃/VV+은/ETM
우리의	우리/NP+의/JKG
안타까운	안타깝/VA+ㄴ/ETM
심정과는	심정/NNG+과/JKB+는/JX
약간	약간/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000026.191.2.4
유엔에선 '사실'과는 별개의 또 다른 '국제정치'가 있다.

유엔에선	유엔/NNP+에서/JKB+ㄴ/JX
'사실'과는	'/SS+사실/NNG+'/SS+과/JKB+는/JX
별개의	별개/NNG+의/JKG
또	또/MAG
다른	다른/MMD
'국제정치'가	'/SS+국제/NNG+정치/NNG+'/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.191.2.5
인내심을 요구하는 지루한 과정을 거쳐야 한다.

인내심을	인내심/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
지루한	지루하/VA+ㄴ/ETM
과정을	과정/NNG+을/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.191.3.1
국제사회에 우리 입장을 납득시키려면 과학적인 조사를 국가적 신뢰로 뒷받침해야 한다.

국제사회에	국제/NNG+사회/NNG+에/JKB
우리	우리/NP
입장을	입장/NNG+을/JKO
납득시키려면	납득/NNG+시키/XSV+려면/EC
과학적인	과학/NNG+적/XSN+이/VCP+ㄴ/ETM
조사를	조사/NNG+를/JKO
국가적	국가/NNG+적/XSN
신뢰로	신뢰/NNG+로/JKB
뒷받침해야	뒷받침/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.191.3.2
중앙의 권력도 없고, 영원한 우방도 적도 없는 국제무대에서 그 누구도 우리의 안보 이익을 제 일처럼 지켜주지 않는다.

중앙의	중앙/NNG+의/JKG
권력도	권력/NNG+도/JX
없고,	없/VA+고/EC+,/SP
영원한	영원/NNG+하/XSA+ㄴ/ETM
우방도	우방/NNG+도/JX
적도	적/NNG+도/JX
없는	없/VA+는/ETM
국제무대에서	국제/NNG+무대/NNG+에서/JKB
그	그/MMD
누구도	누구/NP+도/JX
우리의	우리/NP+의/JKG
안보	안보/NNG
이익을	이익/NNG+을/JKO
제	저/NP+의/JKG
일처럼	일/NNG+처럼/JKB
지켜주지	지키/VV+어/EC+주/VX+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.191.3.3
그런 현실을 알기 때문에, 평소엔 만나기만 하면 으르렁대는 선진국 여·야 정치인들도 안보문제가 걸리면 '초당적 협력'의 깃발 아래 힘을 합해 국제사회에 지지를 호소하는 것이다.

그런	그런/MMD
현실을	현실/NNG+을/JKO
알기	알/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
평소엔	평소/NNG+에/JKB+ㄴ/JX
만나기만	만나/VV+기/ETN+만/JX
하면	하/VX+면/EC
으르렁대는	으르렁대/VV+는/ETM
선진국	선진국/NNG
여·야	여·야/NNG
정치인들도	정치인/NNG+들/XSN+도/JX
안보문제가	안보/NNG+문제/NNG+가/JKS
걸리면	걸리/VV+면/EC
'초당적	'/SS+초당/NNG+적/XSN
협력'의	협력/NNG+'/SS+의/JKG
깃발	깃발/NNG
아래	아래/NNG
힘을	힘/NNG+을/JKO
합해	합/NNG+하/XSV+아/EC
국제사회에	국제/NNG+사회/NNG+에/JKB
지지를	지지/NNG+를/JKO
호소하는	호소/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.191.3.4
자칫 잘못하면 외교의 바다에 빠져 허우적거리기 쉬운 게 이런 문제라는 걸 알기 때문에 총력전을 벌인다.

자칫	자칫/MAG
잘못하면	잘못/MAG+하/XSV+면/EC
외교의	외교/NNG+의/JKG
바다에	바다/NNG+에/JKB
빠져	빠지/VV+어/EC
허우적거리기	허우적거리/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
게	거/NNB+이/JKS
이런	이런/MMD
문제라는	문제/NNG+이/VCP+라는/ETM
걸	거/NNB+ㄹ/JKO
알기	알/VV+기/ETN
때문에	때문/NNB+에/JKB
총력전을	총력전/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.191.4.1
그러나 지금 우리 정치엔 '초당적'이란 단어가 없다.

그러나	그러나/MAJ
지금	지금/MAG
우리	우리/NP
정치엔	정치/NNG+에/JKB+ㄴ/JX
'초당적'이란	'/SS+초당/NNG+적/XSN+'/SS+이/VCP+란/ETM
단어가	단어/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.191.4.2
일단 야당에선 민·군합동조사단의 조사결과를 믿고 싶어하지 않는다.

일단	일단/MAG
야당에선	야당/NNG+에서/JKB+ㄴ/JX
민·군합동조사단의	민·군/NNG+합동/NNG+조사단/NNG+의/JKG
조사결과를	조사/NNG+결과/NNG+를/JKO
믿고	믿/VV+고/EC
싶어하지	싶/VX+어/EC+하/VX+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.191.4.3
민·군은 물론 미국 영국 호주 스웨덴 등 외국 전문가들까지 참여한 조사결과를 인정해 외국 의회에선 북한을 규탄하는 결의안이 나오는데, 우리 야당에선 "북한의 어뢰공격인지 확실히 알 수 없으니 조사를 더 해보자"고 한다.

민·군은	민·군/NNG+은/JX
물론	물론/MAG
미국	미국/NNP
영국	영국/NNP
호주	호주/NNP
스웨덴	스웨덴/NNP
등	등/NNB
외국	외국/NNG
전문가들까지	전문가/NNG+들/XSN+까지/JX
참여한	참여/NNG+하/XSV+ㄴ/ETM
조사결과를	조사/NNG+결과/NNG+를/JKO
인정해	인정/NNG+하/XSV+아/EC
의회에선	의회/NNG+에서/JKB+ㄴ/JX
북한을	북한/NNP+을/JKO
규탄하는	규탄/NNG+하/XSV+는/ETM
결의안이	결의안/NNG+이/JKS
나오는데,	나오/VV+는데/EC+,/SP
우리	우리/NP
야당에선	야당/NNG+에서/JKB+ㄴ/JX
"북한의	"/SS+북한/NNP+의/JKG
어뢰공격인지	어뢰/NNG+공격/NNG+이/VCP+ㄴ지/EC
확실히	확실히/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
없으니	없/VA+으니/EC
조사를	조사/NNG+를/JKO
더	더/MAG
해보자"고	하/VV+아/EC+보/VX+자/EF+"/SS+고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.191.4.4
민주당 정세균 대표는 최근 "우리가 정부 발표를 부인하진 않는다. 현재는 정부가 북한이 했다니까 그럼 북한이 했다고 치자"고 했다.

민주당	민주당/NNP
정세균	정세균/NNP
대표는	대표/NNG+는/JX
최근	최근/NNG
"우리가	"/SS+우리/NP+가/JKS
정부	정부/NNG
발표를	발표/NNG+를/JKO
부인하진	부인/NNG+하/XSV+지/EC+ㄴ/JX
않는다.	않/VX+는다/EF+./SF
현재는	현재/NNG+는/JX
정부가	정부/NNG+가/JKS
북한이	북한/NNP+이/JKS
했다니까	하/VV+았/EP+다니까/EC
그럼	그럼/MAJ
했다고	하/VV+았/EP+다고/EC
치자"고	치/VV+자/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.191.4.5
박지원 민주당 원내대표도 "믿지 못하겠다는 게 아니라 더 조사하자는 것"이라고 했다.

박지원	박지원/NNP
민주당	민주당/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
"믿지	"/SS+믿/VV+지/EC
못하겠다는	못하/VX+겠/EP+다는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
더	더/MAG
조사하자는	조사/NNG+하/XSV+자는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.191.4.6
끝까지 애매하게 꼬리를 남긴다.

끝까지	끝/NNG+까지/JX
애매하게	애매/NNG+하/XSA+게/EC
꼬리를	꼬리/NNG+를/JKO
남긴다.	남기/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.191.4.7
북한의 '불바다' 협박을 비판하면서도 '정부가 잘못해서 북한이 저러는 것'이란 논리를 덧붙인다.

북한의	북한/NNP+의/JKG
'불바다'	'/SS+불바다/NNG+'/SS
협박을	협박/NNG+을/JKO
비판하면서도	비판/NNG+하/XSV+면서/EC+도/JX
'정부가	'/SS+정부/NNG+가/JKS
잘못해서	잘못/MAG+하/XSV+아서/EC
북한이	북한/NNP+이/JKS
저러는	저러/VV+는/ETM
것'이란	것/NNB+'/SS+이/VCP+란/ETM
논리를	논리/NNG+를/JKO
덧붙인다.	덧붙이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.191.5.1
야당이 유엔 안보리 대북 결의안을 위해 뛰는 정부를 '초당적으로' 밀어줄 가능성은 없었다.

야당이	야당/NNG+이/JKS
유엔	유엔/NNP
안보리	안보리/NNG
대북	대북/NNG
결의안을	결의안/NNG+을/JKO
위해	위하/VV+아/EC
뛰는	뛰/VV+는/ETM
