# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.9
metadata : {}


# id : NWRW1800000054.9.1.1
"1兆 수면 시장 공략"… SK바이오팜, FDA에 신약 신청

"1兆	"/SS+1/SN+兆/SH
수면	수면/NNG
시장	시장/NNG
공략"…	공략/NNG+"/SS+…/SE
SK바이오팜,	SK바이오팜/NNP+,/SP
FDA에	FDA/SL+에/JKB
신약	신약/NNG
신청	신청/NNG


# id : NWRW1800000054.9.2.1
기면증·수면무호흡증 같은 수면 장애 치료 'SKL-N05' 이르면 2019년 미국서 판매

기면증·수면무호흡증	기면증/NNG+·/SP+수면/NNG+무호흡증/NNG
같은	같/VA+은/ETM
수면	수면/NNG
장애	장애/NNG
치료	치료/NNG
'SKL-N05'	'/SS+SKL/SL+-/SO+N/SL+05/SN+'/SS
이르면	이르/VA+면/EC
2019년	2019/SN+년/NNB
미국서	미국/NNP+서/JKB
판매	판매/NNG


# id : NWRW1800000054.9.3.1
SK㈜가 지분 100%를 가진 자회사 SK바이오팜이 개발 중인 수면 장애 치료제가 미국 식품의약국(FDA)의 신약 판매 승인 신청을 마쳤다.

SK㈜가	SK/SL+㈜/SW+가/JKS
지분	지분/NNG
100%를	100/SN+%/SW+를/JKO
가진	가지/VV+ㄴ/ETM
자회사	자회사/NNG
SK바이오팜이	SK바이오팜/NNP+이/JKS
개발	개발/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
수면	수면/NNG
장애	장애/NNG
치료제가	치료제/NNG+가/JKS
미국	미국/NNP
식품의약국(FDA)의	식품/NNG+의약국/NNG+(/SS+FDA/SL+)/SS+의/JKG
신약	신약/NNG
판매	판매/NNG
승인	승인/NNG
신청을	신청/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.9.3.2
FDA의 판매 허가가 나면 2019년부터 글로벌 1조원 시장 공략에 나선다.

FDA의	FDA/SL+의/JKG
판매	판매/NNG
허가가	허가/NNG+가/JKS
나면	나/VV+면/EC
2019년부터	2019/SN+년/NNB+부터/JX
글로벌	글로벌/NNG
1조원	1/SN+조/NR+원/NNB
시장	시장/NNG
공략에	공략/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.9.4.1
SK바이오팜은 22일 "FDA에 수면 장애 치료 신약 'SKL-N05'에 대한 신약 판매 승인 신청(NDA)을 완료했다"면서 "이르면 오는 2019년 초 미국에서 판매될 것으로 보인다"고 밝혔다.

SK바이오팜은	SK바이오팜/NNP+은/JX
22일	22/SN+일/NNB
"FDA에	"/SS+FDA/SL+에/JKB
수면	수면/NNG
장애	장애/NNG
치료	치료/NNG
신약	신약/NNG
'SKL-N05'에	'/SS+SKL/SL+-/SO+N/SL+05/SN+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
판매	판매/NNG
승인	승인/NNG
신청(NDA)을	신청/NNG+(/SS+NDA/SL+)/SS+을/JKO
완료했다"면서	완료/NNG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"이르면	"/SS+이르/VV+면/EC
오는	오/VV+는/ETM
2019년	2019/SN+년/NNB
초	초/NNB
미국에서	미국/NNP+에서/JKB
판매될	판매/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.9.5.1
SK바이오팜은 2011년 기면증(병적인 졸음을 유발하는 질환)이나 수면무호흡증과 같은 수면 장애 치료 분야에서 글로벌 1위 제약사인 미국 재즈(JAZZ)사에 기술을 수출해 공동 개발에 나섰고, 지난 6월 환자를 대상으로 한 임상시험을 끝냈다.

SK바이오팜은	SK바이오팜/NNP+은/JX
2011년	2011/SN+년/NNB
기면증(병적인	기면증/NNG+(/SS+병/NNG+적/XSN+이/VCP+ㄴ/ETM
졸음을	졸음/NNG+을/JKO
유발하는	유발/NNG+하/XSV+는/ETM
질환)이나	질환/NNG+)/SS+이나/JC
수면무호흡증과	수면/NNG+무호흡증/NNG+과/JKB
같은	같/VA+은/ETM
수면	수면/NNG
장애	장애/NNG
치료	치료/NNG
분야에서	분야/NNG+에서/JKB
글로벌	글로벌/NNG
1위	1/SN+위/NNB
제약사인	제약사/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
재즈(JAZZ)사에	재즈/NNP+(/SS+JAZZ/SL+)/SS+사/NNG+에/JKB
기술을	기술/NNG+을/JKO
수출해	수출/NNG+하/XSV+아/EC
공동	공동/NNG
개발에	개발/NNG+에/JKB
나섰고,	나서/VV+었/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
환자를	환자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
임상시험을	임상/NNG+시험/NNG+을/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.9.5.2
FDA 판매 승인이 완료되면 미국에서 판매 로열티를 확보하게 된다.

FDA	FDA/SL
판매	판매/NNG
승인이	승인/NNG+이/JKS
완료되면	완료/NNG+되/XSV+면/EC
미국에서	미국/NNP+에서/JKB
로열티를	로열티/NNG+를/JKO
확보하게	확보/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.9.5.3
또 일본·중국 등 아시아 12개국의 판권을 보유해 추가 수익 확보도 가능하다.

또	또/MAG
일본·중국	일본/NNP+·/SP+중국/NNP
등	등/NNB
아시아	아시아/NNP
12개국의	12/SN+개국/NNB+의/JKG
