# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.58
metadata : {}


# id : NWRW1800000044.58.1.1
SKT, 스미싱·스팸 막는 ‘T 전화’ 상용화

SKT,	SKT/SL+,/SP
스미싱·스팸	스미싱/NNG+·/SP+스팸/NNG
막는	막/VV+는/ETM
‘T	‘/SS+T/SL
전화’	전화/NNG+’/SS
상용화	상용/NNG+화/XSN


# id : NWRW1800000044.58.2.1
[한겨레] 갤노트3 이번주부터 이용 가능

[한겨레]	[/SS+한겨레/NNP+]/SS
갤노트3	갤노트3/NNP
이번주부터	이번/NNG+주/NNG+부터/JX
이용	이용/NNG
가능	가능/NNG


# id : NWRW1800000044.58.3.1
출시 앞둔 LG G프로2에 선탑재

출시	출시/NNG
앞둔	앞두/VV+ㄴ/ETM
LG	LG/SL
G프로2에	G프로2/NNP+에/JKB
선탑재	선탑재/NNG


# id : NWRW1800000044.58.4.1
에스케이텔레콤(SKT)이 ‘통화 이상의 모바일 커뮤니케이션’이라는 기치 아래 자체 개발한 전화플랫폼 ‘티(T) 전화’를 상용화한다.

에스케이텔레콤(SKT)이	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS+이/JKS
‘통화	‘/SS+통화/NNG
이상의	이상/NNG+의/JKG
모바일	모바일/NNG
커뮤니케이션’이라는	커뮤니케이션/NNG+’/SS+이/VCP+라는/ETM
기치	기치/NNG
아래	아래/NNG
자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
전화플랫폼	전화/NNG+플랫폼/NNG
‘티(T)	‘/SS+티/NNP+(/SS+T/SL+)/SS
전화’를	전화/NNG+’/SS+를/JKO
상용화한다.	상용/NNG+화/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.58.5.1
에스케이텔레콤은 “이번주 삼성전자 갤럭시노트3 이용 고객부터 순차적으로 소프트웨어 업그레이드 방식을 통해 티 전화 상용화를 시작한다”고 19일 밝혔다.

에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
“이번주	“/SS+이번/NNG+주/NNG
삼성전자	삼성전자/NNP
갤럭시노트3	갤럭시노트3/NNP
이용	이용/NNG
고객부터	고객/NNG+부터/JX
순차적으로	순차/NNG+적/XSN+으로/JKB
소프트웨어	소프트웨어/NNG
업그레이드	업그레이드/NNG
방식을	방식/NNG+을/JKO
통해	통하/VV+아/EC
티	티/NNP
전화	전화/NNG
상용화를	상용/NNG+화/XSN+를/JKO
시작한다”고	시작/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.58.5.2
킷캣(안드로이드 4.4) 운영체제(OS)를 이용하는 고객은 자동으로 표시되는 업그레이드 알림을 따라 소프트웨어 업그레이드를 진행한 뒤, 앱 리스트에 추가된 티 전화 아이콘을 클릭하면 사용할 수 있다.

킷캣(안드로이드	킷캣/NNP+(/SS+안드로이드/NNG
4.4)	4/SN+./SP+4/SN+)/SS
운영체제(OS)를	운영/NNG+체제/NNG+(/SS+OS/SL+)/SS+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
고객은	고객/NNG+은/JX
자동으로	자동/NNG+으로/JKB
표시되는	표시/NNG+되/XSV+는/ETM
업그레이드	업그레이드/NNG
알림을	알리/VV+ㅁ/ETN+을/JKO
따라	따르/VV+아/EC
소프트웨어	소프트웨어/NNG
업그레이드를	업그레이드/NNG+를/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
앱	앱/NNG
리스트에	리스트/NNG+에/JKB
추가된	추가/NNG+되/XSV+ㄴ/ETM
티	티/NNP
전화	전화/NNG
아이콘을	아이콘/NNG+을/JKO
클릭하면	클릭/NNG+하/XSV+면/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
