# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.228
metadata : {}


# id : NWRW1800000041.228.1.1
노인-장애인 보호구역 신호위반 범칙금 6만→12만원

노인-장애인	노인/NNG+-/SO+장애인/NNG
보호구역	보호/NNG+구역/NNG
신호위반	신호/NNG+위반/NNG
범칙금	범칙금/NNG
6만→12만원	6/SN+만/NR+→/SW+12/SN+만/NR+원/NNB


# id : NWRW1800000041.228.2.1
경찰, 2015년 4월부터 가중 처벌… 주정차 위반-과속 때도 최대 2배로

경찰,	경찰/NNG+,/SP
2015년	2015/SN+년/NNB
4월부터	4/SN+월/NNB+부터/JX
가중	가중/NNG
처벌…	처벌/NNG+…/SE
주정차	주정차/NNG
위반-과속	위반/NNG+-/SO+과속/NNG
때도	때/NNG+도/JX
최대	최대/NNG
2배로	2/SN+배/NNG+로/JKB


# id : NWRW1800000041.228.3.1
내년 4월부터 노인 및 장애인 보호구역에서 교통 법규를 위반하면 지금보다 최대 2배에 이르는 범칙금을 내야 한다.

내년	내년/NNG
4월부터	4/SN+월/NNB+부터/JX
노인	노인/NNG
및	및/MAG
장애인	장애인/NNG
보호구역에서	보호/NNG+구역/NNG+에서/JKB
교통	교통/NNG
법규를	법규/NNG+를/JKO
위반하면	위반/NNG+하/XSV+면/EC
지금보다	지금/NNG+보다/JKB
최대	최대/NNG
2배에	2/SN+배/NNG+에/JKB
이르는	이르/VV+는/ETM
범칙금을	범칙금/NNG+을/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.228.3.2
경찰청은 31일부터 노인·장애인 보호구역의 법규 위반을 가중 처벌하는 내용의 도로교통법 시행령 및 시행규칙을 시행한다고 30일 밝혔다.

경찰청은	경찰청/NNG+은/JX
31일부터	31/SN+일/NNB+부터/JX
노인·장애인	노인/NNG+·/SP+장애인/NNG
보호구역의	보호/NNG+구역/NNG+의/JKG
법규	법규/NNG
위반을	위반/NNG+을/JKO
가중	가중/NNG
처벌하는	처벌/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
도로교통법	도로/NNG+교통법/NNG
시행령	시행령/NNG
및	및/MAG
시행규칙을	시행/NNG+규칙/NNG+을/JKO
시행한다고	시행/NNG+하/XSV+ㄴ다고/EC
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.228.4.1
경찰은 올해 말부터 개정안을 시행하지만 내년 3월 31일까지는 계도 기간으로 설정해 처벌하지 않는다.

경찰은	경찰/NNG+은/JX
올해	올해/NNG
말부터	말/NNB+부터/JX
개정안을	개정안/NNG+을/JKO
시행하지만	시행/NNG+하/XSV+지만/EC
내년	내년/NNG
3월	3/SN+월/NNB
31일까지는	31/SN+일/NNB+까지/JX+는/JX
계도	계도/NNG
기간으로	기간/NNG+으로/JKB
설정해	설정/NNG+하/XSV+아/EC
처벌하지	처벌/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.228.4.2
경찰은 계도 기간이 끝나는 내년 4, 5월 두 달을 집중단속 기간으로 정해 보호구역 내 법규 위반을 집중 단속할 방침이다.

경찰은	경찰/NNG+은/JX
계도	계도/NNG
기간이	기간/NNG+이/JKS
끝나는	끝나/VV+는/ETM
내년	내년/NNG
4,	4/SN+,/SP
5월	5/SN+월/NNB
두	두/MMN
달을	달/NNB+을/JKO
집중단속	집중/NNG+단속/NNG
기간으로	기간/NNG+으로/JKB
정해	정하/VV+아/EC
보호구역	보호/NNG+구역/NNG
내	내/NNB
법규	법규/NNG
위반을	위반/NNG+을/JKO
집중	집중/NNG
단속할	단속/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.228.5.1
오르는 범칙금은 현행 어린이 보호구역의 처벌 규정과 동일하다.

오르는	오르/VV+는/ETM
범칙금은	범칙금/NNG+은/JX
현행	현행/NNG
어린이	어린이/NNG
보호구역의	보호/NNG+구역/NNG+의/JKG
처벌	처벌/NNG
규정과	규정/NNG+과/JKB
동일하다.	동일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.228.5.2
항목별로 승용차 기준으로 △통행금지 위반(4만 원→8만 원) △주·정차 위반(4만 원→8만 원) △신호 위반(6만 원→12만 원) 등이다.

항목별로	항목/NNG+별/XSN+로/JKB
승용차	승용차/NNG
기준으로	기준/NNG+으로/JKB
△통행금지	△/SW+통행/NNG+금지/NNG
위반(4만	위반/NNG+(/SS+4/SN+만/NR
원→8만	원/NNB+→/SW+8/SN+만/NR
원)	원/NNB+)/SS
△주·정차	△/SW+주·정차/NNG
△신호	△/SW+신호/NNG
위반(6만	위반/NNG+(/SS+6/SN+만/NR
원→12만	원/NNB+→/SW+12/SN+만/NR
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.228.5.3
속도 위반은 위반한 속도에 비례해 △시속 20km 이하(3만 원→6만 원) △20∼40km(6만 원→9만 원) △40∼60km(9만 원→12만 원) 등으로 범칙금 상승 폭이 세분화된다.

속도	속도/NNG
위반은	위반/NNG+은/JX
위반한	위반/NNG+하/XSV+ㄴ/ETM
속도에	속도/NNG+에/JKB
비례해	비례/NNG+하/XSV+아/EC
△시속	△/SW+시속/NNG
20km	20/SN+km/SW
이하(3만	이하/NNG+(/SS+3/SN+만/NR
원→6만	원/NNB+→/SW+6/SN+만/NR
원)	원/NNB+)/SS
△20∼40km(6만	△/SW+20/SN+∼/SO+40/SN+km/SW+(/SS+6/SN+만/NR
원→9만	원/NNB+→/SW+9/SN+만/NR
△40∼60km(9만	△/SW+40/SN+∼/SO+60/SN+km/SW+(/SS+9/SN+만/NR
원→12만	원/NNB+→/SW+12/SN+만/NR
등으로	등/NNB+으로/JKB
범칙금	범칙금/NNG
상승	상승/NNG
폭이	폭/NNG+이/JKS
세분화된다.	세분/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.228.5.4
신호위반이나 속도위반으로 받는 벌점도 2배로 늘어난다.

신호위반이나	신호/NNG+위반/NNG+이나/JC
속도위반으로	속도위반/NNG+으로/JKB
받는	받/VV+는/ETM
벌점도	벌점/NNG+도/JX
2배로	2/SN+배/NNG+로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.228.6.1
