# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.5
metadata : {}


# id : NWRW1800000054.5.1.1
500만원대 1~2인용 전기차 시장 커진다

500만원대	500/SN+만/NR+원/NNB+대/XSN
1~2인용	1/SN+~/SO+2/SN+인/NNG+용/XSN
전기차	전기/NNG+차/NNG
시장	시장/NNG
커진다	커지/VV+ㄴ다/EF


# id : NWRW1800000054.5.2.1
르노삼성 '트위지' 1200대 완판, 중소업체도 시장 공략 나서 3시간 충전으로 50㎞ 이상 주행

르노삼성	르노삼성/NNP
'트위지'	'/SS+트위지/NNP+'/SS
1200대	1200/SN+대/NNB
완판,	완판/NNG+,/SP
중소업체도	중소/NNG+업체/NNG+도/JX
시장	시장/NNG
공략	공략/NNG
나서	나서/VV+어/EC
3시간	3/SN+시간/NNB
충전으로	충전/NNG+으로/JKB
50㎞	50/SN+㎞/SW
이상	이상/NNG
주행	주행/NNG


# id : NWRW1800000054.5.3.1
정부 보조금을 받으면 500만원대에 손에 넣을 수 있는 1~2인용 초소형 전기차 시장이 달아오를 조짐이다.

정부	정부/NNG
보조금을	보조금/NNG+을/JKO
받으면	받/VV+으면/EC
500만원대에	500/SN+만/NR+원/NNB+대/XSN+에/JKB
손에	손/NNG+에/JKB
넣을	넣/VV+을/ETM
수	수/NNB
있는	있/VV+는/ETM
1~2인용	1/SN+~/SO+2/SN+인/NNG+용/XSN
초소형	초/XPN+소형/NNG
전기차	전기/NNG+차/NNG
시장이	시장/NNG+이/JKS
달아오를	달아오르/VV+ㄹ/ETM
조짐이다.	조짐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.5.3.2
르노삼성 '트위지'에 이어 하반기 국내 중소업체들도 앞다투어 소형 전기차 출시를 계획하고 있기 때문이다.

르노삼성	르노삼성/NNP
'트위지'에	'/SS+트위지/NNP+'/SS+에/JKB
이어	잇/VV+어/EC
하반기	하반기/NNG
국내	국내/NNG
중소업체들도	중소/NNG+업체/NNG+들/XSN+도/JX
앞다투어	앞다투/VV+어/EC
소형	소형/NNG
전기차	전기/NNG+차/NNG
출시를	출시/NNG+를/JKO
계획하고	계획/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.5.4.1
초소형 전기차 '트위지'는 다음 주쯤 사전 계약자들에게 본격 인도될 예정이다.

초소형	초/XPN+소형/NNG
전기차	전기/NNG+차/NNG
'트위지'는	'/SS+트위지/NNP+'/SS+는/JX
다음	다음/NNG
주쯤	주/NNG+쯤/XSN
사전	사전/NNG
계약자들에게	계약자/NNG+들/XSN+에게/JKB
본격	본격/NNG
인도될	인도/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.5.4.2
차 길이 2335㎜, 너비가 1233㎜, 높이 1451㎜로 최대 2명까지 탈 수 있다.

차	차/NNG
길이	길이/NNG
2335㎜,	2335/SN+㎜/SW+,/SP
너비가	너비/NNG+가/JKS
1233㎜,	1233/SN+㎜/SW+,/SP
높이	높이/NNG
1451㎜로	1451/SN+㎜/SW+로/JKB
최대	최대/NNG
2명까지	2/SN+명/NNB+까지/JX
탈	타/VV+ㄹ/ETM
수	수/NNB
있다.	있/VV+다/EF+./SF


# id : NWRW1800000054.5.4.3
경차 스파크(3595㎜) 3분의 2 크기다.

경차	경차/NNG
스파크(3595㎜)	스파크/NNG+(/SS+3595/SN+㎜/SW+)/SS
3분의	3/SN+분/XSN+의/JKG
2	2/SN
