# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.138
metadata : {}


# id : NWRW1800000049.138.1.1
선사문명 꽃피운 송국리문화, 왜 사라졌나

선사문명	선사/NNG+문명/NNG
꽃피운	꽃피우/VV+ㄴ/ETM
송국리문화,	송국리/NNP+문화/NNG+,/SP
왜	왜/MAG
사라졌나	사라지/VV+었/EP+나/EF


# id : NWRW1800000049.138.2.1
제 40회 한국고고학전국대회 국내 청동기시대 대표하는 문화… 기원전 4세기 무렵 갑자기 소멸 일본에 전파돼선 오랜 기간 지속 원형덧띠토기문화와의 갈등설… 두 문화 사이의 연관성 규명 필요

제	제/XPN
40회	40/SN+회/NNB
한국고고학전국대회	한국/NNP+고고학/NNG+전국/NNG+대회/NNG
국내	국내/NNG
청동기시대	청동기/NNG+시대/NNG
대표하는	대표/NNG+하/XSV+는/ETM
문화…	문화/NNG+…/SE
기원전	기원전/NNG
4세기	4/SN+세기/NNG
무렵	무렵/NNB
갑자기	갑자기/MAG
소멸	소멸/NNG
일본에	일본/NNP+에/JKB
전파돼선	전파/NNG+되/XSV+어서/EC+ㄴ/JX
오랜	오랜/MMA
기간	기간/NNG
지속	지속/NNG
원형덧띠토기문화와의	원형덧띠토기/NNG+문화/NNG+와/JKB+의/JKG
갈등설…	갈등설/NNG+…/SE
두	두/MMN
문화	문화/NNG
사이의	사이/NNG+의/JKG
연관성	연관/NNG+성/XSN
규명	규명/NNG
필요	필요/NNG


# id : NWRW1800000049.138.3.1
마치 마야문명처럼 어느 순간 갑자기 종적을 감춘 선사문화가 한반도에 있었다.

마치	마치/MAG
마야문명처럼	마야/NNP+문명/NNG+처럼/JKB
어느	어느/MMD
순간	순간/NNG
갑자기	갑자기/MAG
종적을	종적/NNG+을/JKO
감춘	감추/VV+ㄴ/ETM
선사문화가	선사/NNG+문화/NNG+가/JKS
한반도에	한반도/NNP+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.138.4.1
우리나라 청동기시대 중·후기를 대표하는 송국리문화는 이른바 원형덧띠토기(원형점토대토기·圓形粘土帶土器)문화가 한반도에 들어온 직후인 기원전 4세기 무렵 사라졌다.

우리나라	우리나라/NNG
청동기시대	청동기/NNG+시대/NNG
중·후기를	중·후기/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
송국리문화는	송국리/NNP+문화/NNG+는/JX
이른바	이른바/MAG
원형덧띠토기(원형점토대토기·圓形粘土帶土器)문화가	원형덧띠토기/NNG+(/SS+원형점토대토기/NNG+·/SP+圓形粘土帶土器/SH+)/SS+문화/NNG+가/JKS
한반도에	한반도/NNP+에/JKB
들어온	들어오/VV+ㄴ/ETM
직후인	직후/NNG+이/VCP+ㄴ/ETM
기원전	기원전/NNG
4세기	4/SN+세기/NNG
무렵	무렵/NNB
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.138.4.2
반면 일본에서는 송국리문화가 전파돼 오랜 기간 존속한 사실이 확인된다.

반면	반면/NNG
일본에서는	일본/NNP+에서/JKB+는/JX
송국리문화가	송국리/NNP+문화/NNG+가/JKS
전파돼	전파/NNG+되/XSV+어/EC
오랜	오랜/MMA
기간	기간/NNG
존속한	존속/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
확인된다.	확인/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.138.4.3
정작 송국리문화가 발현한 한반도에선 특정 시점을 경계로 맥이 끊겨버린 것이다.

정작	정작/MAG
송국리문화가	송국리/NNP+문화/NNG+가/JKS
발현한	발현/NNG+하/XSV+ㄴ/ETM
한반도에선	한반도/NNP+에서/JKB+ㄴ/JX
특정	특정/NNG
시점을	시점/NNG+을/JKO
경계로	경계/NNG+로/JKB
맥이	맥/NNG+이/JKS
끊겨버린	끊기/VV+어/EC+버리/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.138.4.4
문명이 쇠락해도 다음 세대에 일정한 자취를 남기는 게 일반적인 걸 감안하면 매우 이례적인 현상이다.

문명이	문명/NNG+이/JKS
쇠락해도	쇠락/NNG+하/XSV+아도/EC
다음	다음/NNG
세대에	세대/NNG+에/JKB
일정한	일정/NNG+하/XSA+ㄴ/ETM
자취를	자취/NNG+를/JKO
남기는	남기/VV+는/ETM
게	거/NNB+이/JKS
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
감안하면	감안/NNG+하/XSV+면/EC
매우	매우/MAG
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.138.5.1
4∼6일 한국고고학회가 서울 숭실대에서 개최한 제40회 한국고고학전국대회에서는 ‘송국리문화 미스터리’가 화두에 올랐다.

4∼6일	4/SN+∼/SO+6/SN+일/NNB
한국고고학회가	한국고고학회/NNP+가/JKS
서울	서울/NNP
숭실대에서	숭실대/NNP+에서/JKB
개최한	개최/NNG+하/XSV+ㄴ/ETM
제40회	제/XPN+40/SN+회/NNB
한국고고학전국대회에서는	한국/NNP+고고학/NNG+전국/NNG+대회/NNG+에서/JKB+는/JX
‘송국리문화	‘/SS+송국리/NNP+문화/NNG
미스터리’가	미스터리/NNG+’/SS+가/JKS
화두에	화두/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.138.6.1
이창희 동국대 고고미술사학과 교수는 ‘한국 원사고고학의 기원론과 계통론’ 논문에서 “안정적이고 세력이 강했던 송국리문화가 어떻게 원형덧띠토기인들에게 주도권을 내줬는지가 문제”라고 밝혔다.

이창희	이창희/NNP
동국대	동국대/NNP
고고미술사학과	고고/NNG+미술사학과/NNG
교수는	교수/NNG+는/JX
‘한국	‘/SS+한국/NNP
원사고고학의	원사/NNG+고고학/NNG+의/JKG
기원론과	기원/NNG+론/XSN+과/JC
계통론’	계통/NNG+론/XSN+’/SS
논문에서	논문/NNG+에서/JKB
“안정적이고	“/SS+안정/NNG+적/XSN+이/VCP+고/EC
세력이	세력/NNG+이/JKS
강했던	강하/VA+았/EP+던/ETM
송국리문화가	송국리/NNP+문화/NNG+가/JKS
어떻게	어떻/VA+게/EC
원형덧띠토기인들에게	원형덧띠토기인/NNG+들/XSN+에게/JKB
주도권을	주도/NNG+권/XSN+을/JKO
내줬는지가	내주/VV+었/EP+는지/EF+가/JKS
문제”라고	문제/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.138.6.2
그는 “송국리문화가 사라지고 초기철기시대가 끝날 때까지 원형덧띠토기인들은 왜 대규모 취락을 형성하지 못하고 고지대에 살았으며 안정적인 벼농사를 영위하지 못했는지를 반드시 구명할 필요가 있다”고 덧붙였다.

그는	그/NP+는/JX
“송국리문화가	“/SS+송국리/NNP+문화/NNG+가/JKS
사라지고	사라지/VV+고/EC
초기철기시대가	초기/NNG+철기/NNG+시대/NNG+가/JKS
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
원형덧띠토기인들은	원형덧띠토기인/NNG+들/XSN+은/JX
왜	왜/MAG
대규모	대/XPN+규모/NNG
취락을	취락/NNG+을/JKO
형성하지	형성/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
고지대에	고/XPN+지대/NNG+에/JKB
살았으며	살/VV+았/EP+으며/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
벼농사를	벼농사/NNG+를/JKO
영위하지	영위/NNG+하/XSV+지/EC
못했는지를	못하/VX+았/EP+는지/EF+를/JKO
반드시	반드시/MAG
구명할	구명/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


