# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.378
metadata : {}


# id : NWRW1800000046.378.1.1
朴대통령의 복지라인 전격교체… 메르스 사태에서 빨리 벗어나서 경제에 전념하겠다는 의지 표현

朴대통령의	朴/SH+대통령/NNG+의/JKG
복지라인	복지/NNG+라인/NNG
전격교체…	전격/NNG+교체/NNG+…/SE
메르스	메르스/NNG
사태에서	사태/NNG+에서/JKB
빨리	빨리/MAG
벗어나서	벗어나/VV+아서/EC
경제에	경제/NNG+에/JKB
전념하겠다는	전념/NNG+하/XSV+겠/EP+다는/ETM
의지	의지/NNG
표현	표현/NNG


# id : NWRW1800000046.378.2.1
박근혜 대통령의 4일 보건복지부 장관과 청와대 고용복지수석 교체는 마지막 순간까지 정부 핵심에서조차 눈치채지 못할 정도로 보안이 유지된 가운데 전격 발표됐다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
4일	4/SN+일/NNB
보건복지부	보건/NNG+복지부/NNG
장관과	장관/NNG+과/JC
청와대	청와대/NNP
고용복지수석	고용/NNG+복지/NNG+수석/NNG
교체는	교체/NNG+는/JX
마지막	마지막/NNG
순간까지	순간/NNG+까지/JX
정부	정부/NNG
핵심에서조차	핵심/NNG+에서/JKB+조차/JX
눈치채지	눈치채/VV+지/EC
못할	못하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
보안이	보안/NNG+이/JKS
유지된	유지/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
전격	전격/NNG
발표됐다.	발표/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.378.2.2
정부 고위 당국자들도 "오늘 오전 국무회의 때까지도 인사 조짐을 전혀 눈치채지 못했다"고 했다.

정부	정부/NNG
고위	고위/NNG
당국자들도	당국자/NNG+들/XSN+도/JX
"오늘	"/SS+오늘/NNG
오전	오전/NNG
국무회의	국무/NNG+회의/NNG
때까지도	때/NNG+까지/JX+도/JX
인사	인사/NNG
조짐을	조짐/NNG+을/JKO
전혀	전혀/MAG
눈치채지	눈치채/VV+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.378.3.1
박 대통령의 복지라인 교체는 상반기를 강타한 메르스 사태에서 빨리 벗어나 하반기에는 경제 살리기를 위한 구조 개혁 등에만 전념하겠다는 의지 표현으로 읽힌다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
복지라인	복지/NNG+라인/NNG
교체는	교체/NNG+는/JX
상반기를	상반기/NNG+를/JKO
강타한	강타/NNG+하/XSV+ㄴ/ETM
메르스	메르스/NNG
사태에서	사태/NNG+에서/JKB
빨리	빨리/MAG
벗어나	벗어나/VV+아/EC
하반기에는	하반기/NNG+에/JKB+는/JX
경제	경제/NNG
살리기를	살리/VV+기/ETN+를/JKO
위한	위하/VV+ㄴ/ETM
구조	구조/NNG
개혁	개혁/NNG
등에만	등/NNB+에/JKB+만/JX
전념하겠다는	전념/NNG+하/XSV+겠/EP+다는/ETM
의지	의지/NNG
표현으로	표현/NNG+으로/JKB
읽힌다.	읽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.378.3.2
청와대 관계자들은 "임기 후반에는 아무 생각 말고 국민을 위한 일에만 올인하자는 분위기"라고 전했다.

청와대	청와대/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
"임기	"/SS+임기/NNG
후반에는	후반/NNG+에/JKB+는/JX
아무	아무/MMD
생각	생각/NNG
말고	말/VV+고/EC
국민을	국민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
일에만	일/NNG+에/JKB+만/JX
올인하자는	올인/NNG+하/XSV+자는/ETM
분위기"라고	분위기/NNG+"/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.378.4.1
메르스 사태 초기 대응 실패에 대한 문형표 복지 장관과 최원영 수석의 교체설은 지난 6월부터 제기됐다.

메르스	메르스/NNG
사태	사태/NNG
초기	초기/NNG
대응	대응/NNG
실패에	실패/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문형표	문형표/NNP
복지	복지/NNG
장관과	장관/NNG+과/JC
최원영	최원영/NNP
수석의	수석/NNG+의/JKG
교체설은	교체설/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월부터	6/SN+월/NNB+부터/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.378.4.2
그러나 박 대통령이 그간 정부 책임을 일부 인정하면서도 문 장관 개인에 대해 불신을 드러낸 적이 없어고, 연금 개혁 등 복지 이슈가 계속 이어지는 상황이라 현 복지 라인이 당분간 유임되는 것 아니냐는 관측도 나왔었다.

그러나	그러나/MAJ
박	박/NNP
대통령이	대통령/NNG+이/JKS
그간	그/NP+간/XSN
정부	정부/NNG
책임을	책임/NNG+을/JKO
일부	일부/NNG
인정하면서도	인정/NNG+하/XSV+면서/EC+도/JX
문	문/NNP
장관	장관/NNG
개인에	개인/NNG+에/JKB
대해	대하/VV+아/EC
불신을	불신/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없어고,	없/VA+어/EP+고/EC+,/SP
연금	연금/NNG
개혁	개혁/NNG
등	등/NNB
복지	복지/NNG
이슈가	이슈/NNG+가/JKS
계속	계속/MAG
이어지는	이어지/VV+는/ETM
상황이라	상황/NNG+이/VCP+라/EC
현	현/MMD
라인이	라인/NNG+이/JKS
당분간	당분간/MAG
유임되는	유임/NNG+되/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나왔었다.	나오/VV+았었/EP+다/EF+./SF


# id : NWRW1800000046.378.5.1
하지만 여권의 한 관계자는 "박 대통령은 이미 메르스가 창궐할 때부터 후임 장관은 의료인으로 한다는 구상을 가지고 의료인들로부터 후보 추천을 받은 것으로 안다"고 했다.

하지만	하지만/MAJ
여권의	여권/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
"박	"/SS+박/NNP
대통령은	대통령/NNG+은/JX
이미	이미/MAG
메르스가	메르스/NNG+가/JKS
창궐할	창궐/NNG+하/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
후임	후임/NNG
장관은	장관/NNG+은/JX
의료인으로	의료인/NNG+으로/JKB
한다는	하/VV+ㄴ다는/ETM
구상을	구상/NNG+을/JKO
가지고	가지/VV+고/EC
의료인들로부터	의료인/NNG+들/XSN+로부터/JKB
후보	후보/NNG
추천을	추천/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.378.5.2
특히 이달 말 '메르스 완전 종식' 발표와 함께 내놓을 감염병 예방 대책을 기존 책임자들의 손에 맡길 수 없다는 지적이 제기되면서 한 템포 빠른 복지 라인 교체로 이어졌다는 분석이다.

특히	특히/MAG
이달	이달/NNG
말	말/NNB
'메르스	'/SS+메르스/NNG
완전	완전/NNG
종식'	종식/NNG+'/SS
발표와	발표/NNG+와/JKB
함께	함께/MAG
내놓을	내놓/VV+을/ETM
감염병	감염병/NNG
예방	예방/NNG
대책을	대책/NNG+을/JKO
기존	기존/NNG
책임자들의	책임자/NNG+들/XSN+의/JKG
손에	손/NNG+에/JKB
맡길	맡기/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
지적이	지적/NNG+이/JKS
제기되면서	제기/NNG+되/XSV+면서/EC
한	한/MMN
템포	템포/NNG
빠른	빠르/VA+ㄴ/ETM
복지	복지/NNG
라인	라인/NNG
교체로	교체/NNG+로/JKB
이어졌다는	이어지/VV+었/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.378.5.3
이번 '메르스 개각' 이후 연말까지는 추가 인사가 없을 것으로 알려졌다.

이번	이번/NNG
'메르스	'/SS+메르스/NNG
개각'	개각/NNG+'/SS
이후	이후/NNG
연말까지는	연말/NNG+까지/JX+는/JX
추가	추가/NNG
인사가	인사/NNG+가/JKS
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.378.5.4
당분간 황교안 총리를 중심으로 현 내각 체제를 최대한 가동하겠다는 것이다.

당분간	당분간/MAG
황교안	황교안/NNP
총리를	총리/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
현	현/MMD
내각	내각/NNG
체제를	체제/NNG+를/JKO
최대한	최대한/MAG
가동하겠다는	가동/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


