# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.134
metadata : {}


# id : NWRW1800000033.134.1.1
[청년드림… 진로교육이 미래다]<6>독일의 3종류 중등학교

[청년드림…	[/SS+청년/NNG+드림/NNG+…/SE
진로교육이	진로/NNG+교육/NNG+이/JKS
미래다]<6>독일의	미래/NNG+이/VCP+다/EF+]/SS+</SS+6/SN+>/SS+독일/NNP+의/JKG
3종류	3/SN+종류/NNG
중등학교	중등학교/NNG


# id : NWRW1800000033.134.2.1
초등 4년때 진로 결정… 5∼8년간 집중식 교육

초등	초등/NNG
4년때	4/SN+년/NNB+때/NNG
진로	진로/NNG
결정…	결정/NNG+…/SE
5∼8년간	5/SN+∼/SO+8/SN+년/NNB+간/XSN
집중식	집중식/NNG
교육	교육/NNG


# id : NWRW1800000033.134.3.1
경제위기에 처한 유럽에서 독일 경제만은 흔들림이 없다.

경제위기에	경제/NNG+위기/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
유럽에서	유럽/NNP+에서/JKB
독일	독일/NNP
경제만은	경제/NNG+만/JX+은/JX
흔들림이	흔들리/VV+ㅁ/ETN+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.134.3.2
독일의 견고한 산업구조를 지탱하는 것은 장인정신이 깃든 제조업과 작지만 강한 기업들.

독일의	독일/NNP+의/JKG
견고한	견고하/VA+ㄴ/ETM
산업구조를	산업/NNG+구조/NNG+를/JKO
지탱하는	지탱/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
장인정신이	장인/NNG+정신/NNG+이/JKS
깃든	깃들/VV+ㄴ/ETM
제조업과	제조업/NNG+과/JC
작지만	작/VA+지만/EC
강한	강하/VA+ㄴ/ETM
기업들.	기업/NNG+들/XSN+./SF


# id : NWRW1800000033.134.3.3
그 토대는 초등학교 때부터 개개인의 적성을 파악해 일찌감치 진로를 결정하게 하는 교육시스템이다.

그	그/MMD
토대는	토대/NNG+는/JX
초등학교	초등학교/NNG
때부터	때/NNG+부터/JX
개개인의	개개인/NNG+의/JKG
적성을	적성/NNG+을/JKO
파악해	파악/NNG+하/XSV+아/EC
일찌감치	일찌감치/MAG
진로를	진로/NNG+를/JKO
결정하게	결정/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
교육시스템이다.	교육/NNG+시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.134.4.1
독일은 한국 초등학교에 해당하는 그룬트슐레(4년 과정)를 마치면 세 종류의 중등학교 중 하나를 선택해 진학한다.

독일은	독일/NNP+은/JX
한국	한국/NNP
초등학교에	초등학교/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
그룬트슐레(4년	그룬트슐레/NNG+(/SS+4/SN+년/NNB
과정)를	과정/NNG+)/SS+를/JKO
마치면	마치/VV+면/EC
세	세/MMN
종류의	종류/NNG+의/JKG
중등학교	중등학교/NNG
중	중/NNB
하나를	하나/NR+를/JKO
선택해	선택/NNG+하/XSV+아/EC
진학한다.	진학/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.4.2
공부에 재능이 있는 학생은 인문계인 김나지움(8년 과정)으로, 직업교육을 받을 학생은 실업계인 레알슐레(6년 과정)나 하우프트슐레(5년 과정)로 간다.

공부에	공부/NNG+에/JKB
재능이	재능/NNG+이/JKS
있는	있/VA+는/ETM
학생은	학생/NNG+은/JX
인문계인	인문/NNG+계/XSN+이/VCP+ㄴ/ETM
김나지움(8년	김나지움/NNG+(/SS+8/SN+년/NNB
과정)으로,	과정/NNG+)/SS+으로/JKB+,/SP
직업교육을	직업/NNG+교육/NNG+을/JKO
받을	받/VV+을/ETM
실업계인	실업/NNG+계/XSN+이/VCP+ㄴ/ETM
레알슐레(6년	레알슐레/NNG+(/SS+6/SN+년/NNB
과정)나	과정/NNG+)/SS+나/JC
하우프트슐레(5년	하우프트슐레/NNP+(/SS+5/SN+년/NNB
과정)로	과정/NNG+)/SS+로/JKB
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.5.1
이달 초 방문한 헤센 주 비스바덴 시의 게슈비스터 숄 그룬트슐레에는 1, 2학년 학생들이 체육관과 교실에서 자유롭게 뛰놀고 있었다.

이달	이달/NNG
초	초/NNB
