# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.49
metadata : {}


# id : NWRW1800000056.49.1.1
‘효도폰은 폴더폰’도 옛말…60대 이상 어르신 ‘스마트폰’ 선호

‘효도폰은	‘/SS+효도/NNG+폰/NNG+은/JX
폴더폰’도	폴더폰/NNG+’/SS+도/JX
옛말…60대	옛말/NNG+…/SE+60/SN+대/NNB
이상	이상/NNG
어르신	어르신/NNG
‘스마트폰’	‘/SS+스마트폰/NNG+’/SS
선호	선호/NNG


# id : NWRW1800000056.49.2.1
[한겨레] SKT 티월드다이렉트 고객 분석 결과

[한겨레]	[/SS+한겨레/NNP+]/SS
SKT	SKT/SL
티월드다이렉트	티월드다이렉트/NNP
고객	고객/NNG
분석	분석/NNG
결과	결과/NNG


# id : NWRW1800000056.49.3.1
65살 이상 구매 갤럭시S8, 갤럭시A8이 1·2위

65살	65/SN+살/NNB
이상	이상/NNG
구매	구매/NNG
갤럭시S8,	갤럭시S8/NNP+,/SP
갤럭시A8이	갤럭시A8/NNP+이/JKS
1·2위	1/SN+·/SP+2/SN+위/NNB


# id : NWRW1800000056.49.4.1
“‘실버서퍼’ 많아지며 최신사양 대화면 선호 뚜렷”

“‘실버서퍼’	“/SS+‘/SS+실버/NNG+서퍼/NNG+’/SS
많아지며	많아지/VV+며/EC
최신사양	최신/NNG+사양/NNG
대화면	대/XPN+화면/NNG
선호	선호/NNG
뚜렷”	뚜렷/XR+”/SS


# id : NWRW1800000056.49.5.1
아동은 시계형 키즈폰, 청소년은 중저가 스마트폰 강세

아동은	아동/NNG+은/JX
시계형	시계/NNG+형/XSN
키즈폰,	키즈폰/NNG+,/SP
청소년은	청소년/NNG+은/JX
중저가	중저가/NNG
스마트폰	스마트폰/NNG
강세	강세/NNG


# id : NWRW1800000056.49.6.1
부모님께 사드리는 효도폰 하면 ‘폴더폰’을 떠올리던 시대는 지났다.

부모님께	부모/NNG+님/XSN+께/JKB
사드리는	사/VV+아/EC+드리/VX+는/ETM
효도폰	효도/NNG+폰/NNG
하면	하/VV+면/EC
‘폴더폰’을	‘/SS+폴더폰/NNG+’/SS+을/JKO
떠올리던	떠올리/VV+던/ETM
시대는	시대/NNG+는/JX
지났다.	지나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.49.6.2
60대 이상 어르신들도 최신 사양의 대화면 스마트폰을 선호한다는 조사 결과가 나왔다.

60대	60/SN+대/NNB
이상	이상/NNG
어르신들도	어르신/NNG+들/XSN+도/JX
최신	최신/NNG
사양의	사양/NNG+의/JKG
대화면	대/XPN+화면/NNG
스마트폰을	스마트폰/NNG+을/JKO
선호한다는	선호/NNG+하/XSV+ㄴ다는/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
