# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.195
metadata : {}


# id : NWRW1800000028.195.1.1
‘금리 3.36%’ 주택대출상품 나왔다

‘금리	‘/SS+금리/NNG
3.36%’	3/SN+./SP+36/SN+%/SW+’/SS
주택대출상품	주택/NNG+대출/NNG+상품/NNG
나왔다	나오/VV+았/EP+다/EF


# id : NWRW1800000028.195.2.1
주택금융공사가 기존 보금자리론 상품보다 대출금리를 인하한 ‘유(u)보금자리론’의 대출 접수를 14일부터 시작한다.

주택금융공사가	주택금융공사/NNP+가/JKS
기존	기존/NNG
보금자리론	보금자리론/NNP
상품보다	상품/NNG+보다/JKB
대출금리를	대출/NNG+금리/NNG+를/JKO
인하한	인하/NNG+하/XSV+ㄴ/ETM
‘유(u)보금자리론’의	‘/SS+유/NNP+(/SS+u/SL+)/SS+보금자리론/NNP+’/SS+의/JKG
대출	대출/NNG
접수를	접수/NNG+를/JKO
14일부터	14/SN+일/NNB+부터/JX
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.195.3.1
유보금자리론은 주택금융공사가 직접 채권을 관리해 대출 원가를 낮춘 상품으로, 시중은행 지점에서 신청하는 기본 상품인 ‘티(t)보금자리론’보다 금리가 0.4%포인트 낮고, 인터넷 전용 상품인 ‘이(e)보금자리론’보다도 0.2%포인트 낮다.

유보금자리론은	유보금자리론/NNP+은/JX
주택금융공사가	주택금융공사/NNP+가/JKS
직접	직접/MAG
채권을	채권/NNG+을/JKO
관리해	관리/NNG+하/XSV+아/EC
대출	대출/NNG
원가를	원가/NNG+를/JKO
낮춘	낮추/VV+ㄴ/ETM
상품으로,	상품/NNG+으로/JKB+,/SP
시중은행	시중/NNG+은행/NNG
지점에서	지점/NNG+에서/JKB
신청하는	신청/NNG+하/XSV+는/ETM
기본	기본/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
‘티(t)보금자리론’보다	‘/SS+티/NNP+(/SS+t/SL+)/SS+보금자리론/NNP+’/SS+보다/JKB
금리가	금리/NNG+가/JKS
0.4%포인트	0/SN+./SP+4/SN+%포인트/NNG
낮고,	낮/VA+고/EC+,/SP
인터넷	인터넷/NNG
전용	전용/NNG
‘이(e)보금자리론’보다도	‘/SS+이/NNP+(/SS+e/SL+)/SS+보금자리론/NNP+’/SS+보다/JKB+도/JX
0.2%포인트	0/SN+./SP+2/SN+%포인트/NNG
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000028.195.3.2
만기 때까지 고정금리로 유보금자리론 대출을 받는다면, 연 5.30%(만기 10년)~5.55%(만기 30년)의 금리가 적용된다.

만기	만기/NNG
때까지	때/NNG+까지/JX
고정금리로	고정/NNG+금리/NNG+로/JKB
유보금자리론	유보금자리론/NNP
대출을	대출/NNG+을/JKO
받는다면,	받/VV+는다면/EC+,/SP
연	연/NNG
5.30%(만기	5/SN+./SP+30/SN+%/SW+(/SS+만기/NNG
10년)~5.55%(만기	10/SN+년/NNB+)/SS+~/SO+5/SN+./SP+55/SN+%/SW+(/SS+만기/NNG
30년)의	30/SN+년/NNB+)/SS+의/JKG
금리가	금리/NNG+가/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.195.3.3
또 근저당 설정비를 부담하고 금리할인 옵션을 선택하면 0.2%포인트 낮은 연 5.10~5.35%로 대출을 받을 수 있다.

또	또/MAG
근저당	근저당/NNG
설정비를	설정비/NNG+를/JKO
부담하고	부담/NNG+하/XSV+고/EC
금리할인	금리/NNG+할인/NNG
옵션을	옵션/NNG+을/JKO
선택하면	선택/NNG+하/XSV+면/EC
0.2%포인트	0/SN+./SP+2/SN+%포인트/NNG
낮은	낮/VA+은/ETM
연	연/NNG
5.10~5.35%로	5/SN+./SP+10/SN+~/SO+5/SN+./SP+35/SN+%/SW+로/JKB
대출을	대출/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.195.3.4
처음부터 고정금리로 하지 않고, 대출 초기에 최장 3년간 변동금리를 적용하다가 원하는 시점이나 3년 지난 뒤 고정금리 대출로 전환하는 금리설계형을 선택할 수도 있다.

처음부터	처음/NNG+부터/JX
고정금리로	고정/NNG+금리/NNG+로/JKB
하지	하/VV+지/EC
않고,	않/VX+고/EC+,/SP
대출	대출/NNG
초기에	초기/NNG+에/JKB
최장	최장/NNG
3년간	3/SN+년/NNB+간/XSN
변동금리를	변동/NNG+금리/NNG+를/JKO
적용하다가	적용/NNG+하/XSV+다가/EC
원하는	원/NNG+하/XSV+는/ETM
시점이나	시점/NNG+이나/JC
3년	3/SN+년/NNB
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
고정금리	고정/NNG+금리/NNG
대출로	대출/NNG+로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
금리설계형을	금리/NNG+설계/NNG+형/XSN+을/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.195.3.5
금리설계형의 경우 변동금리(6개월 변동 코픽스 연동형)는 최저 연 3.36%에 불과하다.

금리설계형의	금리/NNG+설계/NNG+형/XSN+의/JKG
경우	경우/NNG
변동금리(6개월	변동/NNG+금리/NNG+(/SS+6/SN+개월/NNB
