# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.321
metadata : {}


# id : NWRW1800000044.321.1.1
[싱크탱크 시각] 탈북자 신동혁과 북한의 진실 공방 / 김보근

[싱크탱크	[/SS+싱크탱크/NNG
시각]	시각/NNG+]/SS
탈북자	탈북자/NNG
신동혁과	신동혁/NNP+과/JC
북한의	북한/NNP+의/JKG
진실	진실/NNG
공방	공방/NNG
/	//SP
김보근	김보근/NNP


# id : NWRW1800000044.321.2.1
[한겨레]

[한겨레]	[/SS+한겨레/NNP+]/SS


# id : NWRW1800000044.321.3.1
‘적대적 관계에 있는 나라 사이에서 실체적 진실은 어떻게 입증될 수 있을까.’

‘적대적	‘/SS+적대/NNG+적/XSN
관계에	관계/NNG+에/JKB
있는	있/VA+는/ETM
나라	나라/NNG
사이에서	사이/NNG+에서/JKB
실체적	실체/NNG+적/XSN
진실은	진실/NNG+은/JX
어떻게	어떻/VA+게/EC
입증될	입증/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을까.’	있/VA+을까/EF+./SF+’/SS


# id : NWRW1800000044.321.4.1
북한이 지난 10월 말 <우리민족티브이>에 공개한 19분짜리 동영상 ‘거짓과 진실’을 보면서 든 생각이다.

북한이	북한/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
말	말/NNB
<우리민족티브이>에	</SS+우리/NP+민족/NNG+티브이/NNG+>/SS+에/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
19분짜리	19/SN+분/NNB+짜리/XSN
동영상	동영상/NNG
‘거짓과	‘/SS+거짓/NNG+과/JC
진실’을	진실/NNG+’/SS+을/JKO
보면서	보/VV+면서/EC
든	들/VV+ㄴ/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.321.4.2
유튜브에서도 쉽게 찾아볼 수 있는 이 동영상에서는 대표적인 탈북 인권운동가 신동혁씨의 아버지 신경섭(70)씨 등이 나서 신씨의 북한 인권 관련 증언이 거짓이라고 주장했다.

유튜브에서도	유튜브/NNP+에서/JKB+도/JX
쉽게	쉽/VA+게/EC
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이	이/MMD
동영상에서는	동영상/NNG+에서/JKB+는/JX
