# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.413
metadata : {}


# id : NWRW1800000036.413.1.1
‘10월 유신’ 안보 내세우더니…박정희 정권, 북에 두차례나 ‘사전 통보’

‘10월	‘/SS+10/SN+월/NNB
유신’	유신/NNG+’/SS
안보	안보/NNG
내세우더니…박정희	내세우/VV+더니/EC+…/SE+박정희/NNP
정권,	정권/NNG+,/SP
북에	북/NNP+에/JKB
두차례나	두/MMN+차례/NNG+나/JX
‘사전	‘/SS+사전/NNG
통보’	통보/NNG+’/SS


# id : NWRW1800000036.413.2.1
[한겨레] 이후락 중정부장-북 인사 접촉 ‘미 비밀문서’ 등 공개

[한겨레]	[/SS+한겨레/NNP+]/SS
이후락	이후락/NNP
중정부장-북	중정/NNP+부장/NNG+-/SO+북/NNP
인사	인사/NNG
접촉	접촉/NNG
‘미	‘/SS+미/NNP
비밀문서’	비밀문서/NNG+’/SS
등	등/NNB
공개	공개/NNG


# id : NWRW1800000036.413.3.1
박명림 “겉으론 안보강화…뒤론 장기집권 작업” 비판

박명림	박명림/NNP
“겉으론	“/SS+겉/NNG+으로/JKB+ㄴ/JX
안보강화…뒤론	안보/NNG+강화/NNG+…/SE+뒤/NNG+로/JKB+ㄴ/JX
장기집권	장기/NNG+집권/NNG
작업”	작업/NNG+”/SS
비판	비판/NNG


# id : NWRW1800000036.413.4.1
유신 쿠데타에 대한 박정희 정권의 명분은 국가안보 강화였다.

유신	유신/NNG
쿠데타에	쿠데타/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
박정희	박정희/NNP
정권의	정권/NNG+의/JKG
명분은	명분/NNG+은/JX
국가안보	국가/NNG+안보/NNG
강화였다.	강화/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.413.4.2
40년 전인 1972년 10월 17일 박정희 당시 대통령은 비상계엄령 선포문에서 “한반도를 둘러싼 열강의 세력균형 관계에 큰 변화가 일고 있어서 한국의 안보에 위험스러운 영향을 미칠 것이 예상된다”고 말했다.

40년	40/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
1972년	1972/SN+년/NNB
10월	10/SN+월/NNB
17일	17/SN+일/NNB
박정희	박정희/NNP
당시	당시/NNG
대통령은	대통령/NNG+은/JX
비상계엄령	비상계엄령/NNG
선포문에서	선포문/NNG+에서/JKB
“한반도를	“/SS+한반도/NNP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
열강의	열강/NNG+의/JKG
세력균형	세력/NNG+균형/NNG
관계에	관계/NNG+에/JKB
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
일고	일/VV+고/EC
있어서	있/VX+어서/EC
한국의	한국/NNP+의/JKG
안보에	안보/NNG+에/JKB
위험스러운	위험/NNG+스럽/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것이	것/NNB+이/JKS
예상된다”고	예상/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.413.4.3
유신독재 시절 퍼스트레이디 구실을 했던 박근혜 새누리당 대통령 후보도 그동안 “유신 없이는 아마도 공산당의 밥이 됐을지도 모른다”(1981년 10월28일 일기)며 같은 인식을 보여왔다.

유신독재	유신/NNG+독재/NNG
시절	시절/NNG
퍼스트레이디	퍼스트레이디/NNG
구실을	구실/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
박근혜	박근혜/NNP
새누리당	새누리당/NNP
대통령	대통령/NNG
후보도	후보/NNG+도/JX
그동안	그동안/NNG
“유신	“/SS+유신/NNG
없이는	없이/MAG+는/JX
아마도	아마도/MAG
공산당의	공산당/NNP+의/JKG
밥이	밥/NNG+이/JKS
됐을지도	되/VV+었/EP+을지/EF+도/JX
모른다”(1981년	모르/VV+ㄴ다/EF+”/SS+(/SS+1981/SN+년/NNB
10월28일	10/SN+월/NNB+28/SN+일/NNB
일기)며	일기/NNG+)/SS+이/VCP+며/EC
같은	같/VA+은/ETM
인식을	인식/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.413.4.4
박 후보는 최근 5·16과 유신 등에 대해 “헌법가치가 훼손되고 대한민국의 정치 발전을 지연시키는 결과를 가져왔다”고 공식 사과했다.

박	박/NNP
후보는	후보/NNG+는/JX
최근	최근/MAG
5·16과	5/SN+·/SP+16/SN+과/JC
유신	유신/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
“헌법가치가	“/SS+헌법/NNG+가치/NNG+가/JKS
훼손되고	훼손/NNG+되/XSV+고/EC
대한민국의	대한민국/NNP+의/JKG
정치	정치/NNG
발전을	발전/NNG+을/JKO
지연시키는	지연/NNG+시키/XSV+는/ETM
결과를	결과/NNG+를/JKO
가져왔다”고	가져오/VV+았/EP+다/EF+”/SS+고/JKQ
공식	공식/NNG
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.413.5.1
그러나, 박정희 정권은 실제로는 북한 당국에 유신 내용을 두 차례나 사전 통보했다.

그러나,	그러나/MAJ+,/SP
박정희	박정희/NNP
정권은	정권/NNG+은/JX
실제로는	실제로/MAG+는/JX
북한	북한/NNP
당국에	당국/NNG+에/JKB
유신	유신/NNG
내용을	내용/NNG+을/JKO
두	두/MMN
차례나	차례/NNG+나/JX
사전	사전/NNG
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.413.5.2
이러한 사실은 주한미국대사관이 본국에 보낸 비밀전문과 동유럽 사회주의 국가들의 외교문서 등에서 드러났다.

이러한	이러하/VA+ㄴ/ETM
사실은	사실/NNG+은/JX
주한미국대사관이	주한미국대사관/NNP+이/JKS
본국에	본국/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
비밀전문과	비밀/NNG+전문/NNG+과/JC
동유럽	동유럽/NNP
사회주의	사회주의/NNG
국가들의	국가/NNG+들/XSN+의/JKG
외교문서	외교/NNG+문서/NNG
등에서	등/NNB+에서/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.413.5.3
1972년 10월31일자 미국 대사관이 국무부에 보낸 비밀문건(2급·secret)에 따르면, 이후락 당시 중앙정보부장은 10월12일 박성철 북한 부수상을 만나서 “남북대화를 지속적이고 성공적으로 지속하기 위해서는 정치 시스템을 바꾸는 게 필요하다고 우리 정부는 생각한다”고 밝혔다.

1972년	1972/SN+년/NNB
10월31일자	10/SN+월/NNB+31/SN+일/NNB+자/NNG
미국	미국/NNP
대사관이	대사관/NNG+이/JKS
국무부에	국무부/NNG+에/JKB
