# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.81
metadata : {}


# id : NWRW1800000038.81.1.1
"萬行 열 달, 인도서 만난 사기꾼도 내 부처님"

"萬行	"/SS+萬行/SH
열	열/NR
달,	달/NNB+,/SP
인도서	인도/NNP+서/JKB
만난	만나/VV+ㄴ/ETM
사기꾼도	사기/NNG+꾼/XSN+도/JX
내	나/NP+의/JKG
부처님"	부처/NNP+님/XSN+"/SS


# id : NWRW1800000038.81.2.1
카우치 서핑으로 세계 여행… 원제 스님의 남다른 萬行法

카우치	카우치/NNG
서핑으로	서핑/NNG+으로/JKB
세계	세계/NNG
여행…	여행/NNG+…/SE
원제	원제/NNP
스님의	스님/NNG+의/JKG
남다른	남다르/VA+ㄴ/ETM
萬行法	萬行法/SH


# id : NWRW1800000038.81.3.1
해인사 원제(圓帝·35) 스님은 작년 하안거(夏安居)를 난 뒤 9월부터 특별한 만행(萬行·여러 곳을 돌아다니며 닦는 수행)에 나섰다.

해인사	해인사/NNP
원제(圓帝·35)	원제/NNP+(/SS+圓帝/SH+·/SP+35/SN+)/SS
스님은	스님/NNG+은/JX
작년	작년/NNG
하안거(夏安居)를	하안거/NNG+(/SS+夏安居/SH+)/SS+를/JKO
난	나/VV+ㄴ/ETM
뒤	뒤/NNG
9월부터	9/SN+월/NNB+부터/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
만행(萬行·여러	만행/NNG+(/SS+萬行/SH+·/SP+여러/MMN
곳을	곳/NNG+을/JKO
돌아다니며	돌아다니/VV+며/EC
닦는	닦/VV+는/ETM
수행)에	수행/NNG+)/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.81.3.2
9월 티베트를 시작으로 중국 각지를 돌며 두 달 반을 보냈고 이어 태국과 캄보디아, 인도네시아, 네팔, 인도까지 거쳐 지난 5일 귀국했다.

9월	9/SN+월/NNB
티베트를	티베트/NNP+를/JKO
시작으로	시작/NNG+으로/JKB
중국	중국/NNP
각지를	각지/NNG+를/JKO
돌며	돌/VV+며/EC
두	두/MMN
달	달/NNB
반을	반/NNG+을/JKO
보냈고	보내/VV+었/EP+고/EC
이어	잇/VV+어/EC
태국과	태국/NNP+과/JC
캄보디아,	캄보디아/NNP+,/SP
인도네시아,	인도네시아/NNP+,/SP
네팔,	네팔/NNP+,/SP
인도까지	인도/NNP+까지/JX
거쳐	거치/VV+어/EC
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
귀국했다.	귀국/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.3.3
10개월여 아시아를 떠도는 동안 숙박은 모르는 이의 집에 공짜로 머무는 '카우치 서핑(couch surfing)'〈키워드〉으로 대부분 해결했다.

10개월여	10/SN+개월/NNB+여/XSN
아시아를	아시아/NNP+를/JKO
떠도는	떠돌/VV+는/ETM
