# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.320
metadata : {}


# id : NWRW1800000048.320.1.1
OK저축, 창단 2년만에 챔피언전 진출

OK저축,	OK/SL+저축/NNG+,/SP
창단	창단/NNG
2년만에	2/SN+년/NNB+만/NNB+에/JKB
챔피언전	챔피언전/NNG
진출	진출/NNG


# id : NWRW1800000048.320.2.1
프로배구 플레이오프서 한전 꺾어

프로배구	프로/NNG+배구/NNG
플레이오프서	플레이오프/NNG+서/JKB
한전	한전/NNP
꺾어	꺾/VV+어/EF


# id : NWRW1800000048.320.3.1
김세진, 신치용 감독과 사제대결

김세진,	김세진/NNP+,/SP
신치용	신치용/NNP
감독과	감독/NNG+과/JKB
사제대결	사제/NNG+대결/NNG


# id : NWRW1800000048.320.4.1
김세진 감독의 오케이(OK)저축은행이 창단 2년 만에 챔피언결정전에 진출했다.

김세진	김세진/NNP
감독의	감독/NNG+의/JKG
오케이(OK)저축은행이	오케이/NNP+(/SS+OK/SL+)/SS+저축/NNG+은행/NNG+이/JKS
창단	창단/NNG
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
챔피언결정전에	챔피언/NNG+결정전/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.320.5.1
프로배구 남자부 막내 구단 오케이저축은행은 23일 수원체육관에서 열린 NH농협 2014~2015 V리그 남자부 플레이오프(3전2선승) 2차전 한국전력과의 경기에서 풀세트까지 가는 접전 끝에 3-2(22:25/25:23/25:23/18:25/15:11)로 승리했다.

프로배구	프로/NNG+배구/NNG
남자부	남자부/NNG
막내	막내/NNG
구단	구단/NNG
오케이저축은행은	오케이저축은행/NNP+은/JX
23일	23/SN+일/NNB
수원체육관에서	수원체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
NH농협	NH농협/NNP
2014~2015	2014/SN+~/SO+2015/SN
V리그	V/SL+리그/NNG
플레이오프(3전2선승)	플레이오프/NNG+(/SS+3/SN+전/NNB+2/SN+선승/NNG+)/SS
2차전	2/SN+차전/NNB
한국전력과의	한국전력/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
풀세트까지	풀/NNG+세트/NNG+까지/JX
가는	가/VV+는/ETM
접전	접전/NNG
끝에	끝/NNG+에/JKB
3-2(22:25/25:23/25:23/18:25/15:11)로	3/SN+-/SO+2/SN+(/SS+22/SN+:/SP+25/SN+//SP+25/SN+:/SP+23/SN+//SP+25/SN+:/SP+23/SN+//SP+18/SN+:/SP+25/SN+//SP+15/SN+:/SP+11/SN+)/SS+로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.320.5.2
2연승을 거둔 오케이저축은행은 28일부터 정규 1위 삼성화재와 챔피언결정전을 벌인다.

2연승을	2/SN+연승/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
오케이저축은행은	오케이저축은행/NNP+은/JX
28일부터	28/SN+일/NNB+부터/JX
정규	정규/NNG
1위	1/SN+위/NNB
삼성화재와	삼성화재/NNP+와/JC
챔피언결정전을	챔피언/NNG+결정전/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.320.5.3
창단 뒤 첫 시즌인 지난해 6위를 기록한 오케이저축은행의 김세진 감독은 올 시즌 팀을 정규리그 2위에 올렸고, 챔피언전에서는 스승 신치용 감독과 ‘사제 대결’을 벌이게 됐다.

창단	창단/NNG
뒤	뒤/NNG
첫	첫/MMN
시즌인	시즌/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
6위를	6/SN+위/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
오케이저축은행의	오케이저축은행/NNP+의/JKG
김세진	김세진/NNP
감독은	감독/NNG+은/JX
올	올/NNG
시즌	시즌/NNG
팀을	팀/NNG+을/JKO
정규리그	정규/NNG+리그/NNG
2위에	2/SN+위/NNB+에/JKB
올렸고,	올리/VV+었/EP+고/EC+,/SP
챔피언전에서는	챔피언전/NNG+에서/JKB+는/JX
스승	스승/NNG
신치용	신치용/NNP
감독과	감독/NNG+과/JKB
‘사제	‘/SS+사제/NNG
대결’을	대결/NNG+’/SS+을/JKO
벌이게	벌이/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.320.6.1
오케이저축은행은 이날 불리했던 3세트를 뒤집으며 승기를 잡았다.

오케이저축은행은	오케이저축은행/NNP+은/JX
이날	이날/NNG
불리했던	불리/NNG+하/XSA+았/EP+던/ETM
3세트를	3/SN+세트/NNG+를/JKO
뒤집으며	뒤집/VV+으며/EC
승기를	승기/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.320.6.2
