# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.64
metadata : {}


# id : NWRW1800000024.64.1.1
‘촛불사건’ 특정 재판부 몰아주기 /판사들 ‘반발’ 대책회의 했었다

‘촛불사건’	‘/SS+촛불/NNG+사건/NNG+’/SS
특정	특정/NNG
재판부	재판부/NNG
몰아주기	몰아주기/NNG
/판사들	//SP+판사/NNG+들/XSN
‘반발’	‘/SS+반발/NNG+’/SS
대책회의	대책/NNG+회의/NNG
했었다	하/VV+았었/EP+다/EF


# id : NWRW1800000024.64.2.1
지난해 7월 미국산 쇠고기 수입 반대 촛불집회 관련 사건들이 특정 재판부에 몰리자 서울중앙지법의 형사단독 판사들이 회의를 여는 등 반발했던 것으로 드러났다.

지난해	지난해/NNG
7월	7/SN+월/NNB
미국산	미국/NNP+산/XSN
쇠고기	쇠고기/NNG
수입	수입/NNG
반대	반대/NNG
촛불집회	촛불/NNG+집회/NNG
관련	관련/NNG
사건들이	사건/NNG+들/XSN+이/JKS
특정	특정/NNG
재판부에	재판부/NNG+에/JKB
몰리자	몰리/VV+자/EC
서울중앙지법의	서울중앙지법/NNP+의/JKG
형사단독	형사/NNG+단독/NNG
판사들이	판사/NNG+들/XSN+이/JKS
회의를	회의/NNG+를/JKO
여는	열/VV+는/ETM
등	등/NNB
반발했던	반발/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.64.2.2
이 과정에서 당시 서울중앙지법원장이던 신영철 신임 대법관이 판사들을 만난 뒤 사건 배당 방식을 바꾼 사실도 밝혀졌다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
당시	당시/NNG
서울중앙지법원장이던	서울중앙지법원장/NNG+이/VCP+던/ETM
신영철	신영철/NNP
신임	신임/NNG
대법관이	대/XPN+법관/NNG+이/JKS
판사들을	판사/NNG+들/XSN+을/JKO
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
사건	사건/NNG
배당	배당/NNG
방식을	방식/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
사실도	사실/NNG+도/JX
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.64.2.3
▶관련기사 11면

▶관련기사	▶/SW+관련/NNG+기사/NNG
11면	11/SN+면/NNG


# id : NWRW1800000024.64.3.1
23일 법원 관계자들의 말을 종합하면, 지난해 7월 중순께 서울중앙지법 형사단독 판사 13명이 촛불집회 관련 주요 사건들이 형사단독 재판장인 특정 부장판사에게 집중되자 이를 논의하기 위해 회의를 열었다.

23일	23/SN+일/NNB
법원	법원/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
지난해	지난해/NNG
7월	7/SN+월/NNB
중순께	중순/NNG+께/XSN
서울중앙지법	서울중앙지법/NNP
형사단독	형사/NNG+단독/NNG
판사	판사/NNG
13명이	13/SN+명/NNB+이/JKS
촛불집회	촛불/NNG+집회/NNG
관련	관련/NNG
주요	주요/NNG
사건들이	사건/NNG+들/XSN+이/JKS
재판장인	재판장/NNG+이/VCP+ㄴ/ETM
특정	특정/NNG
부장판사에게	부장/NNG+판사/NNG+에게/JKB
집중되자	집중/NNG+되/XSV+자/EC
이를	이/NP+를/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
회의를	회의/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.64.3.2
당시 검찰이 촛불집회 참가자들을 집중적으로 기소하기 시작하던 때였는데, 5건이 연이어 한 재판부로 배당되자 판사들이 이에 반발해 문제제기를 한 것이었다.

당시	당시/NNG
검찰이	검찰/NNG+이/JKS
촛불집회	촛불/NNG+집회/NNG
참가자들을	참가자/NNG+들/XSN+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
기소하기	기소/NNG+하/XSV+기/ETN
시작하던	시작/NNG+하/XSV+던/ETM
때였는데,	때/NNG+이/VCP+었/EP+는데/EC+,/SP
5건이	5/SN+건/NNB+이/JKS
연이어	연잇/VV+어/EC
한	하/VV+ㄴ/ETM
재판부로	재판부/NNG+로/JKB
배당되자	배당/NNG+되/XSV+자/EC
판사들이	판사/NNG+들/XSN+이/JKS
이에	이/NP+에/JKB
반발해	반발/NNG+하/XSV+아/EC
문제제기를	문제/NNG+제기/NNG+를/JKO
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.64.4.1
이런 사실을 보고받은 신영철 당시 서울중앙지법원장은 당일 형사단독 판사들을 불러모아 배당 방식을 바꾸겠다며 사실상 재발 방지 입장을 밝힌 것으로 알려졌다.

이런	이런/MMD
사실을	사실/NNG+을/JKO
보고받은	보고/NNG+받/XSV+은/ETM
신영철	신영철/NNP
당시	당시/NNG
서울중앙지법원장은	서울중앙지법원장/NNG+은/JX
당일	당일/NNG
형사단독	형사/NNG+단독/NNG
판사들을	판사/NNG+들/XSN+을/JKO
불러모아	부르/VV+어/EC+모으/VV+아/EC
배당	배당/NNG
방식을	방식/NNG+을/JKO
바꾸겠다며	바꾸/VV+겠/EP+다며/EC
사실상	사실/NNG+상/XSN
재발	재발/NNG
방지	방지/NNG
입장을	입장/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.64.4.2
이후 촛불집회 관련 사건은 서울중앙지법 형사수석부장판사가 재판부를 임의적으로 지정하던 방식에서 벗어나 사건 접수 순서에 따라 형사단독 재판부별로 배당하는 ‘기계식 방식’으로 바뀌었다.

이후	이후/NNG
촛불집회	촛불/NNG+집회/NNG
관련	관련/NNG
사건은	사건/NNG+은/JX
서울중앙지법	서울중앙지법/NNP
형사수석부장판사가	형사/NNG+수석/NNG+부장/NNG+판사/NNG+가/JKS
재판부를	재판부/NNG+를/JKO
임의적으로	임의/NNG+적/XSN+으로/JKB
지정하던	지정/NNG+하/XSV+던/ETM
방식에서	방식/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
사건	사건/NNG
접수	접수/NNG
순서에	순서/NNG+에/JKB
따라	따르/VV+아/EC
형사단독	형사/NNG+단독/NNG
재판부별로	재판부/NNG+별/XSN+로/JKB
배당하는	배당/NNG+하/XSV+는/ETM
‘기계식	‘/SS+기계식/NNG
방식’으로	방식/NNG+’/SS+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.64.4.3
법관 등의 사무 분담 및 사건 배당에 관한 대법원 예규에는 “사건 배당은 재판부 배당 순서에 따라 1건씩 각 재판부에 부여한다.

법관	법관/NNG
등의	등/NNB+의/JKG
사무	사무/NNG
분담	분담/NNG
및	및/MAG
사건	사건/NNG
배당에	배당/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
대법원	대/XPN+법원/NNG
