# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.145
metadata : {}


# id : NWRW1800000024.145.1.1
2차감염 1명 “어디서 감염됐는지 파악안된다”

2차감염	2/SN+차/NNB+감염/NNG
1명	1/SN+명/NNB
“어디서	“/SS+어디/NP+서/JKB
감염됐는지	감염/NNG+되/XSV+었/EP+는지/EF
파악안된다”	파악/NNG+안/MAG+되/XSV+ㄴ다/EF+”/SS


# id : NWRW1800000024.145.2.1
멕시코에 다녀온 신종 인플루엔자 감염 추정환자에게서 국내에만 있던 이가 감염되는 ‘2차 감염’ 사례가 1일 확인되고, 감염 경로가 여전히 불명확한 추정환자가 새로 등장함에 따라, 보건당국이 감염 경로와 전파 양상 등을 주시하며 긴장하고 있다.

멕시코에	멕시코/NNP+에/JKB
다녀온	다녀오/VV+ㄴ/ETM
신종	신종/NNG
인플루엔자	인플루엔자/NNG
감염	감염/NNG
추정환자에게서	추정/NNG+환자/NNG+에게서/JKB
국내에만	국내/NNG+에/JKB+만/JX
있던	있/VA+던/ETM
이가	이/NNB+가/JKS
감염되는	감염/NNG+되/XSV+는/ETM
‘2차	‘/SS+2/SN+차/NNB
감염’	감염/NNG+’/SS
사례가	사례/NNG+가/JKS
1일	1/SN+일/NNB
확인되고,	확인/NNG+되/XSV+고/EC+,/SP
경로가	경로/NNG+가/JKS
여전히	여전히/MAG
불명확한	불명확하/VA+ㄴ/ETM
추정환자가	추정/NNG+환자/NNG+가/JKS
새로	새로/MAG
등장함에	등장/NNG+하/XSV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
보건당국이	보건/NNG+당국/NNG+이/JKS
경로와	경로/NNG+와/JC
전파	전파/NNG
양상	양상/NNG
등을	등/NNB+을/JKO
주시하며	주시/NNG+하/XSV+며/EC
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.145.2.2
다만 추정환자 3명 모두 건강 상태는 양호하다고 보건당국은 밝혔다.

다만	다만/MAG
추정환자	추정/NNG+환자/NNG
3명	3/SN+명/NNB
모두	모두/MAG
건강	건강/NNG
상태는	상태/NNG+는/JX
양호하다고	양호/NNG+하/XSA+다고/EC
보건당국은	보건/NNG+당국/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.145.2.3
■ 2차 감염 경로=2차 감염된 것으로 추정된 여성(44·경기)은 지난달 26일 멕시코에서 귀국한 첫 추정환자(51·여)와 불과 30~50㎝ 거리에서 1시간 이상 함께 있었다.

■	■/SW
2차	2/SN+차/NNB
감염	감염/NNG
경로=2차	경로/NNG+=/SW+2/SN+차/NNB
감염된	감염/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된	추정/NNG+되/XSV+ㄴ/ETM
여성(44·경기)은	여성/NNG+(/SS+44/SN+·/SP+경기/NNP+)/SS+은/JX
지난달	지난달/NNG
26일	26/SN+일/NNB
멕시코에서	멕시코/NNP+에서/JKB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
추정환자(51·여)와	추정/NNG+환자/NNG+(/SS+51/SN+·/SP+여/NNG+)/SS+와/JKB
불과	불과/MAG
30~50㎝	30/SN+~/SO+50/SN+㎝/SW
거리에서	거리/NNG+에서/JKB
1시간	1/SN+시간/NNB
이상	이상/NNG
함께	함께/MAG
있었다.	있/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.145.2.4
인천국제공항에서 차에 태워 경기 지역 종교생활시설까지 오는 동안 내내 같이 있었던 것이다.

인천국제공항에서	인천국제공항/NNP+에서/JKB
차에	차/NNG+에/JKB
태워	태우/VV+어/EC
경기	경기/NNP
지역	지역/NNG
종교생활시설까지	종교/NNG+생활/NNG+시설/NNG+까지/JX
오는	오/VV+는/ETM
동안	동안/NNG
내내	내내/MAG
같이	같이/MAG
있었던	있/VA+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.145.2.5
특히 자동차는 밀폐된 공간이고 좁아 전염이 일어나기 쉬운 공간이다.

특히	특히/MAG
자동차는	자동차/NNG+는/JX
밀폐된	밀폐/NNG+되/XSV+ㄴ/ETM
공간이고	공간/NNG+이/VCP+고/EC
좁아	좁/VA+아/EC
전염이	전염/NNG+이/JKS
일어나기	일어나/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
공간이다.	공간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.145.2.6
전병율 질병관리본부 전염병대응센터장은 “최초 추정환자와 차 안에 같이 타고 이동했기 때문에 2차 감염을 의심하는 것”이라고 말했다.

전병율	전병율/NNP
질병관리본부	질병/NNG+관리/NNG+본부/NNG
전염병대응센터장은	전염병/NNG+대응/NNG+센터장/NNG+은/JX
“최초	“/SS+최초/NNG
추정환자와	추정/NNG+환자/NNG+와/JKB
차	차/NNG
안에	안/NNG+에/JKB
같이	같이/MAG
타고	타/VV+고/EC
이동했기	이동/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
2차	2/SN+차/NNB
감염을	감염/NNG+을/JKO
의심하는	의심/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.145.3.1
첫 추정환자가 머문 종교시설에는 40명이 함께 살고 있어, 2차 감염이 된 환자가 더 늘어나는 것 아니냐는 우려가 나온다.

첫	첫/MMN
추정환자가	추정/NNG+환자/NNG+가/JKS
머문	머물/VV+ㄴ/ETM
종교시설에는	종교/NNG+시설/NNG+에/JKB+는/JX
40명이	40/SN+명/NNB+이/JKS
함께	함께/MAG
살고	살/VV+고/EC
있어,	있/VX+어/EC+,/SP
2차	2/SN+차/NNB
감염이	감염/NNG+이/JKC
된	되/VV+ㄴ/ETM
환자가	환자/NNG+가/JKS
더	더/MAG
늘어나는	늘어나/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.145.3.2
다행스런 점은 첫 추정환자가 지난 28일 국가 지정 병원에 격리되기 전까지 혼자 방을 사용했고, 음식도 지정된 한 사람이 전달하는 등 초기 대응을 잘했다는 것이다.

다행스런	다행/NNG+스럽/XSA+ㄴ/ETM
점은	점/NNG+은/JX
첫	첫/MMN
추정환자가	추정/NNG+환자/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
28일	28/SN+일/NNB
국가	국가/NNG
지정	지정/NNG
병원에	병원/NNG+에/JKB
격리되기	격리/NNG+되/XSV+기/ETN
전까지	전/NNG+까지/JX
혼자	혼자/MAG
방을	방/NNG+을/JKO
사용했고,	사용/NNG+하/XSV+았/EP+고/EC+,/SP
음식도	음식/NNG+도/JX
지정된	지정/NNG+되/XSV+ㄴ/ETM
한	한/MMN
사람이	사람/NNG+이/JKS
전달하는	전달/NNG+하/XSV+는/ETM
등	등/NNB
초기	초기/NNG
대응을	대응/NNG+을/JKO
잘했다는	잘/MAG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.145.3.3
전 센터장은 “시설 안에서는 적어도 추정환자와 밀접히 접촉한 사람은 없는 것으로 보인다”며 “다른 거주자 가운데 발열, 기침 등 증상을 보이는 사람들은 없다”고 말했다.

전	전/NNP
센터장은	센터장/NNG+은/JX
“시설	“/SS+시설/NNG
안에서는	안/NNG+에서/JKB+는/JX
적어도	적어도/MAG
추정환자와	추정/NNG+환자/NNG+와/JKB
밀접히	밀접히/MAG
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“다른	“/SS+다른/MMD
거주자	거주자/NNG
가운데	가운데/NNG
발열,	발열/NNG+,/SP
기침	기침/NNG
등	등/NNB
증상을	증상/NNG+을/JKO
보이는	보이/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.145.3.4
■ 또다른 추정환자, 감염 경로?

■	■/SW
또다른	또/MAG+다른/MMD
추정환자,	추정/NNG+환자/NNG+,/SP
감염	감염/NNG
경로?	경로/NNG+?/SF


# id : NWRW1800000024.145.3.5
=또다른 추정환자로 판명된 57살 남성은 어떻게 감염됐는지가 아직까지 밝혀지지 않았다.

=또다른	=/SW+또/MAG+다른/MMD
추정환자로	추정/NNG+환자/NNG+로/JKB
판명된	판명/NNG+되/XSV+ㄴ/ETM
57살	57/SN+살/NNB
남성은	남성/NNG+은/JX
어떻게	어떻/VA+게/EC
감염됐는지가	감염/NNG+되/XSV+었/EP+는지/EF+가/JKS
아직까지	아직/MAG+까지/JX
밝혀지지	밝혀지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.145.3.6
전 센터장은 “57살 남성 추정환자는 지난 23~24일 가벼운 열, 기침, 두통 등이 있은 뒤 거의 다 좋아졌지만 혹시 몰라 27일 보건소에서 검사를 받았다”며 “현재까지는 어디서 감염이 된 것인지 파악되지 않았다”고 말했다.

전	전/NNP
센터장은	센터장/NNG+은/JX
“57살	“/SS+57/SN+살/NNB
남성	남성/NNG
추정환자는	추정/NNG+환자/NNG+는/JX
지난	지나/VV+ㄴ/ETM
23~24일	23/SN+~/SO+24/SN+일/NNB
가벼운	가볍/VA+ㄴ/ETM
열,	열/NNG+,/SP
기침,	기침/NNG+,/SP
두통	두통/NNG
등이	등/NNB+이/JKS
있은	있/VA+은/ETM
뒤	뒤/NNG
거의	거의/MAG
다	다/MAG
좋아졌지만	좋/VA+아/EC+지/VX+었/EP+지만/EC
혹시	혹시/MAG
몰라	모르/VV+아/EC
27일	27/SN+일/NNB
보건소에서	보건소/NNG+에서/JKB
검사를	검사/NNG+를/JKO
받았다”며	받/VV+았/EP+다/EF+”/SS+며/EC
“현재까지는	“/SS+현재/NNG+까지/JX+는/JX
어디서	어디/NP+서/JKB
감염이	감염/NNG+이/JKC
된	되/VV+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
파악되지	파악/NNG+되/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.145.3.7
보건당국이 지난 23일 이전에 멕시코나 미국을 다녀온 여행객을 만났는지 여부를 확인하고 있지만, 감염 경로를 밝히지 못한다면 ‘지역사회에서 전파가 되고 있을 가능성’을 배제할 수 없다.

보건당국이	보건/NNG+당국/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
이전에	이전/NNG+에/JKB
멕시코나	멕시코/NNP+나/JC
미국을	미국/NNP+을/JKO
다녀온	다녀오/VV+ㄴ/ETM
여행객을	여행객/NNG+을/JKO
만났는지	만나/VV+았/EP+는지/EF
여부를	여부/NNG+를/JKO
확인하고	확인/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
감염	감염/NNG
경로를	경로/NNG+를/JKO
밝히지	밝히/VV+지/EC
못한다면	못하/VX+ㄴ다면/EC
‘지역사회에서	‘/SS+지역/NNG+사회/NNG+에서/JKB
전파가	전파/NNG+가/JKS
되고	되/VV+고/EC
있을	있/VX+을/ETM
가능성’을	가능/NNG+성/XSN+’/SS+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.145.3.8
이 경우 최초 감염인이 파악되지 않기 때문에 유행 정도가 얼마나 커질지 모른다는 문제가 있다.

이	이/MMD
경우	경우/NNG
최초	최초/NNG
감염인이	감염인/NNG+이/JKS
파악되지	파악/NNG+되/XSV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
유행	유행/NNG
정도가	정도/NNG+가/JKS
얼마나	얼마나/MAG
커질지	커지/VV+ㄹ지/EF
모른다는	모르/VV+ㄴ다는/ETM
문제가	문제/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.145.4.1
