# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.57
metadata : {}


# id : NWRW1800000038.57.1.1
너무 허술한 CIA… 피자집서 정보원 면접

너무	너무/MAG
허술한	허술하/VA+ㄴ/ETM
CIA…	CIA/SL+…/SE
피자집서	피자집/NNG+서/JKB
정보원	정보원/NNG
면접	면접/NNG


# id : NWRW1800000038.57.2.1
美잡지, 작전실패 사례 공개

美잡지,	美/SH+잡지/NNG+,/SP
작전실패	작전/NNG+실패/NNG
사례	사례/NNG
공개	공개/NNG


# id : NWRW1800000038.57.3.1
미국의 외교 전문지 포린폴리시(FP)가 미 중앙정보국(CIA)의 어이없는 작전 실패 사례를 열거하며 무능함을 13일(현지 시각) 비판했다.

미국의	미국/NNP+의/JKG
외교	외교/NNG
전문지	전문지/NNG
포린폴리시(FP)가	포린폴리시/NNP+(/SS+FP/SL+)/SS+가/JKS
미	미/NNP
중앙정보국(CIA)의	중앙정보국/NNP+(/SS+CIA/SL+)/SS+의/JKG
어이없는	어이없/VA+는/ETM
작전	작전/NNG
실패	실패/NNG
사례를	사례/NNG+를/JKO
열거하며	열거/NNG+하/XSV+며/EC
무능함을	무능/NNG+하/XSA+ㅁ/ETN+을/JKO
13일(현지	13/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.57.3.2
FP에 따르면 2011년 첩보전이 치열하게 벌어지던 레바논에서 CIA 정보원 10여명이 무장 정파 헤즈볼라와 이란 정부에 납치·체포되기 시작했다.

FP에	FP/SL+에/JKB
따르면	따르/VV+면/EC
2011년	2011/SN+년/NNB
첩보전이	첩보전/NNG+이/JKS
치열하게	치열/NNG+하/XSA+게/EC
벌어지던	벌어지/VV+던/ETM
레바논에서	레바논/NNP+에서/JKB
CIA	CIA/SL
정보원	정보원/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
무장	무장/NNG
정파	정파/NNG
헤즈볼라와	헤즈볼라/NNP+와/JC
이란	이란/NNP
정부에	정부/NNG+에/JKB
납치·체포되기	납치/NNG+·/SP+체포/NNG+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.57.3.3
헤즈볼라 대원 2명이 CIA의 정보원이 되겠다고 속여 면접에 응한 것이 문제였다.

헤즈볼라	헤즈볼라/NNP
대원	대원/NNG
2명이	2/SN+명/NNB+이/JKS
CIA의	CIA/SL+의/JKG
정보원이	정보원/NNG+이/JKC
되겠다고	되/VV+겠/EP+다고/EC
속여	속이/VV+어/EC
면접에	면접/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.57.3.4
FP는 "당시 CIA는 모든 정보원 면접을 레바논 수도 베이루트의 패스트푸드점 '피자헛'에서 실시했다. 심지어 암호명도 '피자'였다"고 전했다.

FP는	FP/SL+는/JX
"당시	"/SS+당시/NNG
CIA는	CIA/SL+는/JX
모든	모든/MMN
정보원	정보원/NNG
면접을	면접/NNG+을/JKO
레바논	레바논/NNP
수도	수도/NNG
베이루트의	베이루트/NNP+의/JKG
패스트푸드점	패스트푸드점/NNG
'피자헛'에서	'/SS+피자헛/NNP+'/SS+에서/JKB
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF
심지어	심지어/MAG
암호명도	암호/NNG+명/NNG+도/JX
'피자'였다"고	'/SS+피자/NNG+'/SS+이/VCP+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.57.3.5
헤즈볼라가 피자헛만 관찰해도 모든 CIA 정보원을 파악할 수 있었다는 것이다.

헤즈볼라가	헤즈볼라/NNP+가/JKS
피자헛만	피자헛/NNP+만/JX
관찰해도	관찰/NNG+하/XSV+아도/EC
모든	모든/MMN
CIA	CIA/SL
정보원을	정보원/NNG+을/JKO
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다는	있/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.57.4.1
해외 수사기관에 단체로 걸려 망신을 산 경우도 있었다.

해외	해외/NNG
수사기관에	수사/NNG+기관/NNG+에/JKB
단체로	단체/NNG+로/JKB
걸려	걸리/VV+어/EC
망신을	망신/NNG+을/JKO
산	사/VV+ㄴ/ETM
경우도	경우/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.57.4.2
지난 2003년 CIA는 이탈리아에서 과격 이슬람 성직자 무스타파 오사마 나스르를 납치했다.

지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
CIA는	CIA/SL+는/JX
이탈리아에서	이탈리아/NNP+에서/JKB
과격	과격/NNG
이슬람	이슬람/NNG
성직자	성직자/NNG
무스타파	무스타파/NNP
오사마	오사마/NNP
나스르를	나스르/NNP+를/JKO
납치했다.	납치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.57.4.3
하지만 곧 현지 검찰에 적발됐다.

하지만	하지만/MAJ
곧	곧/MAG
현지	현지/NNG
검찰에	검찰/NNG+에/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.57.4.4
CIA 요원들이 일반 휴대전화를 사용하고, 5성급 호텔에 실명으로 투숙하는 등 꼬리를 밟힌 것이다.

CIA	CIA/SL
