# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.55
metadata : {}


# id : NWRW1800000044.55.1.1
제2금융권 ‘임원추천위’ 신설 없던 일로…“재벌에 무력한 금융위” 비판 확산

제2금융권	제/XPN+2/SN+금융/NNG+권/XSN
‘임원추천위’	‘/SS+임원/NNG+추천위/NNG+’/SS
신설	신설/NNG
없던	없/VA+던/ETM
일로…“재벌에	일/NNG+로/JKB+…/SE+“/SS+재벌/NNG+에/JKB
무력한	무력/NNG+하/XSA+ㄴ/ETM
금융위”	금융위/NNG+”/SS
비판	비판/NNG
확산	확산/NNG


# id : NWRW1800000044.55.2.1
[한겨레] 금융사 지배구조 개편안 24일 의결

[한겨레]	[/SS+한겨레/NNP+]/SS
금융사	금융사/NNG
지배구조	지배/NNG+구조/NNG
개편안	개편안/NNG
24일	24/SN+일/NNB
의결	의결/NNG


# id : NWRW1800000044.55.3.1
야당·시민단체 “스스로 권위 포기”

야당·시민단체	야당/NNG+·/SP+시민/NNG+단체/NNG
“스스로	“/SS+스스로/MAG
권위	권위/NNG
포기”	포기/NNG+”/SS


# id : NWRW1800000044.55.4.1
금융당국이 재벌 계열 금융사들에 대해 최고경영자(CEO) 선임 규제의 일환인 ‘임원후보추천위원회(임추위) 설치 의무’를 제외하기로 한 데 대한 비난 여론이 확산되고 있다.

금융당국이	금융/NNG+당국/NNG+이/JKS
재벌	재벌/NNG
계열	계열/NNG
금융사들에	금융사/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
최고경영자(CEO)	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS
선임	선임/NNG
규제의	규제/NNG+의/JKG
일환인	일환/NNG+이/VCP+ㄴ/ETM
‘임원후보추천위원회(임추위)	‘/SS+임원/NNG+후보/NNG+추천/NNG+위원회/NNG+(/SS+임추위/NNG+)/SS
설치	설치/NNG
의무’를	의무/NNG+’/SS+를/JKO
제외하기로	제외/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
비난	비난/NNG
여론이	여론/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.55.4.2
특히 야당과 시민단체 쪽에서는 금융당국이 삼성을 중심으로 한 재벌그룹들의 반발에 따라 애초 입장을 번복한 것을 놓고, “금융당국이 재벌그룹에 휘둘리고 있다”고 비판하고 나섰다.

특히	특히/MAG
야당과	야당/NNG+과/JC
시민단체	시민/NNG+단체/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
금융당국이	금융/NNG+당국/NNG+이/JKS
삼성을	삼성/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
재벌그룹들의	재벌/NNG+그룹/NNG+들/XSN+의/JKG
반발에	반발/NNG+에/JKB
따라	따르/VV+아/EC
애초	애초/NNG
입장을	입장/NNG+을/JKO
번복한	번복/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
놓고,	놓/VV+고/EC+,/SP
“금융당국이	“/SS+금융/NNG+당국/NNG+이/JKS
재벌그룹에	재벌/NNG+그룹/NNG+에/JKB
휘둘리고	휘둘리/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판하고	비판/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.55.5.1
금융위원회는 24일 전체회의를 열어, ‘금융회사 지배구조 모범규준’을 최종 확정할 예정이다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
24일	24/SN+일/NNB
전체회의를	전체/NNG+회의/NNG+를/JKO
열어,	열/VV+어/EC+,/SP
‘금융회사	‘/SS+금융/NNG+회사/NNG
지배구조	지배/NNG+구조/NNG
모범규준’을	모범/NNG+규준/NNG+’/SS+을/JKO
최종	최종/NNG
확정할	확정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.55.5.2
금융위는 임추위 설치 의무를 재벌 계열 금융사들이 다수 포진해 있는 2금융권에는 적용하지 않는 쪽으로 가닥을 잡고 있다.

금융위는	금융위/NNG+는/JX
임추위	임추위/NNG
설치	설치/NNG
의무를	의무/NNG+를/JKO
재벌	재벌/NNG
계열	계열/NNG
금융사들이	금융사/NNG+들/XSN+이/JKS
다수	다수/NNG
포진해	포진/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
2금융권에는	2/SN+금융/NNG+권/XSN+에/JKB+는/JX
적용하지	적용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
쪽으로	쪽/NNB+으로/JKB
가닥을	가닥/NNG+을/JKO
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.55.5.3
이렇게 되면, 애초 적용하기로 했던 금융회사 118곳 가운데 은행(18곳)과 은행지주(11곳)에만 적용된다.

이렇게	이렇/VA+게/EC
되면,	되/VV+면/EC+,/SP
애초	애초/NNG
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
금융회사	금융/NNG+회사/NNG
118곳	118/SN+곳/NNG
가운데	가운데/NNG
은행(18곳)과	은행/NNG+(/SS+18/SN+곳/NNG+)/SS+과/JC
