# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.290
metadata : {}


# id : NWRW1800000054.290.1.1
[전문기자 칼럼] 訪韓하는 매티스, 새 평택 기지는 꼭 가보길

[전문기자	[/SS+전문/NNG+기자/NNG
칼럼]	칼럼/NNG+]/SS
訪韓하는	訪韓/SH+하/XSV+는/ETM
매티스,	매티스/NNP+,/SP
새	새/MMA
평택	평택/NNP
기지는	기지/NNG+는/JX
꼭	꼭/MAG
가보길	가/VV+아/EC+보/VX+기/ETN+ㄹ/JKO


# id : NWRW1800000054.290.2.1
"유 기자, 전쟁은 막아야 해!"

"유	"/SS+유/NNP
기자,	기자/NNG+,/SP
전쟁은	전쟁/NNG+은/JX
막아야	막/VV+아야/EC
해!"	하/VX+아/EF+!/SF+"/SS


# id : NWRW1800000054.290.3.1
1994년 미국의 북한 영변 핵시설 폭격론이 부각되기 전 국방부 고위 관계자는 필자에게 사뭇 비장한 표정으로 이렇게 말했다.

1994년	1994/SN+년/NNB
미국의	미국/NNP+의/JKG
북한	북한/NNP
영변	영변/NNP
핵시설	핵/NNG+시설/NNG
폭격론이	폭격/NNG+론/XSN+이/JKS
부각되기	부각/NNG+되/XSV+기/ETN
전	전/NNG
국방부	국방부/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
필자에게	필자/NNG+에게/JKB
사뭇	사뭇/MAG
비장한	비장하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.290.3.2
훗날 국방장관이 된 이 관계자가 앞뒤 설명 없이 한 이 말의 심각성을 당시에는 잘 몰랐었다.

훗날	훗날/NNG
국방장관이	국방/NNG+장관/NNG+이/JKC
된	되/VV+ㄴ/ETM
이	이/MMD
관계자가	관계자/NNG+가/JKS
앞뒤	앞뒤/NNG
설명	설명/NNG
없이	없이/MAG
한	하/VV+ㄴ/ETM
말의	말/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
당시에는	당시/NNG+에/JKB+는/JX
잘	잘/MAG
몰랐었다.	모르/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.290.3.3
얼마 뒤 미 언론 보도 등을 통해 미국이 병력 수천 명과 패트리엇 미사일 등을 한반도에 보내며 영변 폭격을 은밀히 준비했었다는 사실이 드러났다.

얼마	얼마/NNG
뒤	뒤/NNG
미	미/NNP
언론	언론/NNG
보도	보도/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
미국이	미국/NNP+이/JKS
병력	병력/NNG
수천	수천/NR
명과	명/NNB+과/JC
패트리엇	패트리엇/NNG
미사일	미사일/NNG
한반도에	한반도/NNP+에/JKB
보내며	보내/VV+며/EC
영변	영변/NNP
폭격을	폭격/NNG+을/JKO
은밀히	은밀히/MAG
준비했었다는	준비/NNG+하/XSV+았었/EP+다는/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.290.3.4
미측은 이를 우리 정부와 군 당국에도 알리지 않다가 뒤늦게 통보했다.

미측은	미/NNP+측/NNB+은/JX
이를	이/NP+를/JKO
우리	우리/NP
정부와	정부/NNG+와/JC
군	군/NNG
당국에도	당국/NNG+에/JKB+도/JX
알리지	알리/VV+지/EC
않다가	않/VX+다가/EC
뒤늦게	뒤늦/VA+게/EC
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.290.3.5
고 김영삼 대통령은 미국의 영변 폭격 준비를 안 뒤 강력 반대해 한반도에서 전쟁을 막았다고 회고했다.

고	고/MMA
김영삼	김영삼/NNP
대통령은	대통령/NNG+은/JX
미국의	미국/NNP+의/JKG
영변	영변/NNP
폭격	폭격/NNG
준비를	준비/NNG+를/JKO
안	알/VV+ㄴ/ETM
뒤	뒤/NNG
강력	강력/NNG
반대해	반대/NNG+하/XSV+아/EC
한반도에서	한반도/NNP+에서/JKB
전쟁을	전쟁/NNG+을/JKO
막았다고	막/VV+았/EP+다고/EC
회고했다.	회고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.290.3.6
하지만 미측이 영변 폭격을 접은 가장 큰 이유는 우리 정부의 반대 때문이 아니라 미국의 자체 판단에 따른 것이라는 평가도 적지 않다.

하지만	하지만/MAJ
미측이	미/NNP+측/NNB+이/JKS
영변	영변/NNP
폭격을	폭격/NNG+을/JKO
접은	접/VV+은/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유는	이유/NNG+는/JX
우리	우리/NP
정부의	정부/NNG+의/JKG
반대	반대/NNG
때문이	때문/NNB+이/JKC
아니라	아니/VCN+라/EC
미국의	미국/NNP+의/JKG
자체	자체/NNG
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


