# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.164
metadata : {}


# id : NWRW1800000026.164.1.1
버스에 교통 단속용 카메라 달았더니… "효과 만점"

버스에	버스/NNG+에/JKB
교통	교통/NNG
단속용	단속/NNG+용/XSN
카메라	카메라/NNG
달았더니…	달/VV+았/EP+더니/EC+…/SE
"효과	"/SS+효과/NNG
만점"	만점/NNG+"/SS


# id : NWRW1800000026.164.2.1
서울시가 이달 들어 노선버스 12대에 교통 단속용 카메라를 장착해 운행시키자 그 위력이 나타나고 있다.

서울시가	서울시/NNP+가/JKS
이달	이달/NNG
들어	들/VV+어/EC
노선버스	노선버스/NNG
12대에	12/SN+대/NNB+에/JKB
교통	교통/NNG
단속용	단속/NNG+용/XSN
카메라를	카메라/NNG+를/JKO
장착해	장착/NNG+하/XSV+아/EC
운행시키자	운행/NNG+시키/XSV+자/EC
그	그/MMD
위력이	위력/NNG+이/JKS
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.164.3.1
서울 152, 260, 471번 등 3개 노선버스는 앞머리에 카메라 4대를 달아 정면으로는 버스 전용차로 위반 차량을, 오른쪽으로는 불법 주·정차 차량을 찍고 있다.

서울	서울/NNP
152,	152/SN+,/SP
260,	260/SN+,/SP
471번	471/SN+번/NNB
등	등/NNB
3개	3/SN+개/NNB
노선버스는	노선버스/NNG+는/JX
앞머리에	앞머리/NNG+에/JKB
카메라	카메라/NNG
4대를	4/SN+대/NNB+를/JKO
달아	달/VV+아/EC
정면으로는	정면/NNG+으로/JKB+는/JX
버스	버스/NNG
전용차로	전용/NNG+차로/NNG
위반	위반/NNG
차량을,	차량/NNG+을/JKO+,/SP
오른쪽으로는	오른쪽/NNG+으로/JKB+는/JX
불법	불법/NNG
주·정차	주·정차/NNG
차량을	차량/NNG+을/JKO
찍고	찍/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.164.3.2
3개 노선은 종로를 중심으로 서울 주요 도로를 남북과 동서로 가로지르는 노선으로, 시범 운영을 거쳐 이달 1일부터 실제 단속을 시작하자 걸리는 차량이 속출하고 있는 것이다.

