# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.300
metadata : {}


# id : NWRW1800000025.300.1.1
예산안, 4대강 건너 법정시한 지킬까

예산안,	예산안/NNG+,/SP
4대강	4/SN+대/NNG+강/NNG
건너	건너/VV+어/EC
법정시한	법정/NNG+시한/NNG
지킬까	지키/VV+ㄹ까/EF


# id : NWRW1800000025.300.2.1
25일 이명박 대통령의 예산안 시정연설과 함께 ‘예산전쟁’의 막이 올랐다.

25일	25/SN+일/NNB
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
예산안	예산안/NNG
시정연설과	시정/NNG+연설/NNG+과/JKB
함께	함께/MAG
‘예산전쟁’의	‘/SS+예산/NNG+전쟁/NNG+’/SS+의/JKG
막이	막/NNG+이/JKS
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.2.2
앞으로 상임위별 예산안 심의를 거쳐 예산결산특위, 본회의 처리까지 곳곳에서 여야 간 전투가 예고된 상태다.

앞으로	앞/NNG+으로/JKB
상임위별	상임위/NNG+별/XSN
예산안	예산안/NNG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
예산결산특위,	예산결산특위/NNP+,/SP
본회의	본회의/NNG
처리까지	처리/NNG+까지/JX
곳곳에서	곳곳/NNG+에서/JKB
여야	여야/NNG
간	간/NNB
전투가	전투/NNG+가/JKS
예고된	예고/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.2.3
‘예산전쟁’ 주전선인 4대강 살리기 사업 예산을 놓고 여야는 서로 “물러설 수 없다”며 전의를 다지고 있다.

‘예산전쟁’	‘/SS+예산/NNG+전쟁/NNG+’/SS
주전선인	주/MMA+전선/NNG+이/VCP+ㄴ/ETM
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업	사업/NNG
예산을	예산/NNG+을/JKO
놓고	놓/VV+고/EC
여야는	여야/NNG+는/JX
서로	서로/MAG
“물러설	“/SS+물러서/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
전의를	전의/NNG+를/JKO
다지고	다지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.300.2.4
벌써부터 국회 주변에선 예산안의 법정처리 시한(12월 2일)을 넘길 수밖에 없을 것이라는 관측이 나오고 있다.

벌써부터	벌써/MAG+부터/JX
국회	국회/NNG
주변에선	주변/NNG+에서/JKB+ㄴ/JX
예산안의	예산안/NNG+의/JKG
법정처리	법정/NNG+처리/NNG
시한(12월	시한/NNG+(/SS+12/SN+월/NNB
2일)을	2/SN+일/NNB+)/SS+을/JKO
넘길	넘기/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.300.3.1
○ 전운 감도는 국회

○	○/SW
전운	전운/NNG
감도는	감돌/VV+는/ETM
국회	국회/NNG


# id : NWRW1800000025.300.4.1
예산전쟁을 앞둔 여야 지도부의 표정은 결연했다.

예산전쟁을	예산/NNG+전쟁/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
여야	여야/NNG
지도부의	지도부/NNG+의/JKG
표정은	표정/NNG+은/JX
결연했다.	결연하/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.300.5.1
한나라당 김무성 원내대표는 25일 최고위원회의에서 “12월 2일 법정시한을 지키기는 현실적으로 어렵다고 생각하지만 올해는 절대 (12월) 15일을 넘기지 않겠다는 게 저의 굳은 각오”라고 강조했다.

한나라당	한나라당/NNP
김무성	김무성/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
25일	25/SN+일/NNB
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“12월	“/SS+12/SN+월/NNB
2일	2/SN+일/NNB
법정시한을	법정/NNG+시한/NNG+을/JKO
지키기는	지키/VV+기/ETN+는/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
어렵다고	어렵/VA+다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
올해는	올해/NNG+는/JX
절대	절대/MAG
(12월)	(/SS+12/SN+월/NNB+)/SS
15일을	15/SN+일/NNB+을/JKO
넘기지	넘기/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
게	거/NNB+이/JKS
저의	저/NP+의/JKG
굳은	굳/VA+은/ETM
각오”라고	각오/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.6.1
하지만 민주당 손학규 대표는 이날 최고위원회의에서 “서민복지예산을 늘리고 4대강 공사의 불필요 예산을 막고 국가부채 급증 문제 등을 파헤쳐 민주당이 국정에 적극 기여할 것”이라고 강조했다.

하지만	하지만/MAJ
민주당	민주당/NNP
손학규	손학규/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“서민복지예산을	“/SS+서민/NNG+복지/NNG+예산/NNG+을/JKO
늘리고	늘리/VV+고/EC
4대강	4/SN+대/NNG+강/NNG
공사의	공사/NNG+의/JKG
불필요	불/XPN+필요/NNG
예산을	예산/NNG+을/JKO
막고	막/VV+고/EC
국가부채	국가/NNG+부채/NNG
급증	급증/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
파헤쳐	파헤치/VV+어/EC
민주당이	민주당/NNP+이/JKS
국정에	국정/NNG+에/JKB
적극	적극/NNG
기여할	기여/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.6.2
민주당은 원내투쟁이 한계에 부닥치면 4대강 사업에 반대하는 다른 야당 및 일부 시민단체와 손을 잡고 원외투쟁도 벌인다는 복안을 갖고 있다.

민주당은	민주당/NNP+은/JX
원내투쟁이	원내/NNG+투쟁/NNG+이/JKS
한계에	한계/NNG+에/JKB
부닥치면	부닥치/VV+면/EC
4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
다른	다른/MMD
야당	야당/NNG
및	및/MAG
일부	일부/NNG
시민단체와	시민/NNG+단체/NNG+와/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
원외투쟁도	원외/NNG+투쟁/NNG+도/JX
벌인다는	벌이/VV+ㄴ다는/ETM
복안을	복안/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.300.7.1
여야가 일단 협상에 주력하겠지만 쉽게 ‘접점’을 찾지 못할 경우 예산국회는 언제든지 파행으로 치달을 수밖에 없을 것으로 분석된다.

여야가	여야/NNG+가/JKS
일단	일단/MAG
협상에	협상/NNG+에/JKB
주력하겠지만	주력/NNG+하/XSV+겠/EP+지만/EC
쉽게	쉽/VA+게/EC
‘접점’을	‘/SS+접점/NNG+’/SS+을/JKO
찾지	찾/VV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
예산국회는	예산/NNG+국회/NNG+는/JX
언제든지	언제/NP+든지/JX
파행으로	파행/NNG+으로/JKB
치달을	치닫/VV+을/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.300.7.2
현재 최대 쟁점인 4대강 예산은 올해보다 1.9% 증가한 3조2800억 원이 편성돼 있다.

현재	현재/MAG
최대	최대/NNG
쟁점인	쟁점/NNG+이/VCP+ㄴ/ETM
4대강	4/SN+대/NNG+강/NNG
예산은	예산/NNG+은/JX
올해보다	올해/NNG+보다/JKB
1.9%	1/SN+./SP+9/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
3조2800억	3/SN+조/NR+2800/SN+억/NR
원이	원/NNB+이/JKS
편성돼	편성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.300.8.1
국회가 예산심의를 거쳐 회계연도 시작 30일 전인 12월 2일까지 예산안을 확정하는 것은 헌법 54조에 명시된 의무다.

국회가	국회/NNG+가/JKS
예산심의를	예산/NNG+심의/NNG+를/JKO
거쳐	거치/VV+어/EC
회계연도	회계/NNG+연도/NNG
시작	시작/NNG
30일	30/SN+일/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
12월	12/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
예산안을	예산안/NNG+을/JKO
확정하는	확정/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
헌법	헌법/NNG
54조에	54/SN+조/NNB+에/JKB
명시된	명시/NNG+되/XSV+ㄴ/ETM
의무다.	의무/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.9.1
하지만 1988년 13대 국회가 들어선 이후 현재 18대 국회까지 22번의 예산안을 처리하면서 법정시한을 지킨 것은 6번에 그쳤다.

하지만	하지만/MAJ
1988년	1988/SN+년/NNB
13대	13/SN+대/NNB
국회가	국회/NNG+가/JKS
들어선	들어서/VV+ㄴ/ETM
이후	이후/NNG
현재	현재/MAG
18대	18/SN+대/NNB
국회까지	국회/NNG+까지/JX
22번의	22/SN+번/NNB+의/JKG
예산안을	예산안/NNG+을/JKO
처리하면서	처리/NNG+하/XSV+면서/EC
법정시한을	법정/NNG+시한/NNG+을/JKO
지킨	지키/VV+ㄴ/ETM
것은	것/NNB+은/JX
6번에	6/SN+번/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.300.9.2
1992년과 1997년, 2002년 등 3차례는 대통령선거를 앞두고 불가피하게 예산안이 신속히 처리됐다는 점을 감안하면 국회의 ‘헌법 무시’는 관행으로 굳어졌다는 지적이다.

1992년과	1992/SN+년/NNB+과/JC
1997년,	1997/SN+년/NNB+,/SP
2002년	2002/SN+년/NNB
등	등/NNB
3차례는	3/SN+차례/NNG+는/JX
대통령선거를	대통령/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
불가피하게	불가피하/VA+게/EC
예산안이	예산안/NNG+이/JKS
신속히	신속히/MAG
처리됐다는	처리/NNG+되/XSV+었/EP+다는/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
국회의	국회/NNG+의/JKG
‘헌법	‘/SS+헌법/NNG
무시’는	무시/NNG+’/SS+는/JX
관행으로	관행/NNG+으로/JKB
굳어졌다는	굳어지/VV+었/EP+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.10.1
○ 여권, 개헌 공론화도 부담

○	○/SW
여권,	여권/NNG+,/SP
개헌	개헌/NNG
공론화도	공론/NNG+화/XSN+도/JX
부담	부담/NNG


# id : NWRW1800000025.300.11.1
예산전쟁을 앞둔 한나라당으로선 주요 20개국(G20) 서울 정상회의 이후 공론화를 예고한 개헌 문제가 또 다른 변수다.

예산전쟁을	예산/NNG+전쟁/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
한나라당으로선	한나라당/NNP+으로서/JKB+ㄴ/JX
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
서울	서울/NNP
정상회의	정상/NNG+회의/NNG
이후	이후/NNG
공론화를	공론/NNG+화/XSN+를/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
개헌	개헌/NNG
문제가	문제/NNG+가/JKS
또	또/MAG
다른	다른/MMD
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.11.2
야당과 일전을 불사하겠다고 한 4대강 사업을 앞두고 전열 정비가 시급한 상황에서 개헌 카드를 꺼내들 경우 적전 분열이 불을 보듯 뻔하다는 이유에서다.

야당과	야당/NNG+과/JKB
일전을	일전/NNG+을/JKO
불사하겠다고	불사/NNG+하/XSV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
4대강	4/SN+대/NNG+강/NNG
사업을	사업/NNG+을/JKO
앞두고	앞두/VV+고/EC
전열	전열/NNG
정비가	정비/NNG+가/JKS
시급한	시급하/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
개헌	개헌/NNG
카드를	카드/NNG+를/JKO
꺼내들	꺼내/VV+어/EC+들/VV+ㄹ/ETM
경우	경우/NNG
적전	적전/NNG
분열이	분열/NNG+이/JKS
불을	불/NNG+을/JKO
보듯	보/VV+듯/EC
뻔하다는	뻔하/VA+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.12.1
