# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.180
metadata : {}


# id : NWRW1800000046.180.1.1
[잠깐만요!] 4대강 사업 이후 막힌 낙동강 모래 채취… 가격은 천정부지, 불법 모래 유통 우려도

[잠깐만요!]	[/SS+잠깐/NNG+만/JX+요/JX+!/SF+]/SS
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
이후	이후/NNG
막힌	막히/VV+ㄴ/ETM
낙동강	낙동강/NNP
모래	모래/NNG
채취…	채취/NNG+…/SE
가격은	가격/NNG+은/JX
천정부지,	천정부지/NNG+,/SP
불법	불법/NNG
유통	유통/NNG
우려도	우려/NNG+도/JX


# id : NWRW1800000046.180.2.1
"저기 강변에 쌓여 있는 모래 보세요.

"저기	"/SS+저기/NP
강변에	강변/NNG+에/JKB
쌓여	쌓이/VV+어/EC
있는	있/VX+는/ETM
모래	모래/NNG
보세요.	보/VV+시/EP+어요/EF+./SF


# id : NWRW1800000046.180.2.2
저걸 채취하면 덤프트럭 몇만 대분은 나올 겁니다.

저걸	저거/NP+ㄹ/JKO
채취하면	채취/NNG+하/XSV+면/EC
덤프트럭	덤프트럭/NNG
몇만	몇만/NR
대분은	대/NNB+분/XSN+은/JX
나올	나오/VV+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000046.180.2.3
그런데 정부가 채취를 막고 있어요."

그런데	그런데/MAJ
정부가	정부/NNG+가/JKS
채취를	채취/NNG+를/JKO
막고	막/VV+고/EC
있어요."	있/VX+어요/EF+./SF+"/SS


# id : NWRW1800000046.180.3.1
국내 모래 채취 역사를 꿰고 있는 팔순의 장군섭 전 한국골재협회장은 낙동강 창녕합천보 바로 위 강변에 쌓여 있는 모래를 가리키며 한숨만 쉬었다.

국내	국내/NNG
모래	모래/NNG
채취	채취/NNG
역사를	역사/NNG+를/JKO
꿰고	꿰/VV+고/EC
있는	있/VX+는/ETM
팔순의	팔순/NNG+의/JKG
장군섭	장군섭/NNP
전	전/MMD
한국골재협회장은	한국골재협회장/NNG+은/JX
낙동강	낙동강/NNP
창녕합천보	창녕합천보/NNP
바로	바로/MAG
위	위/NNG
강변에	강변/NNG+에/JKB
쌓여	쌓이/VV+어/EC
모래를	모래/NNG+를/JKO
가리키며	가리키/VV+며/EC
한숨만	한/XPN+숨/NNG+만/JX
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.180.3.2
4대강 사업 이후 정부가 낙동강을 비롯한 4대강에서 모래 채취를 하지 못하도록 막고 있기 때문이라 했다.

4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
이후	이후/NNG
정부가	정부/NNG+가/JKS
낙동강을	낙동강/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
4대강에서	4/SN+대/NNG+강/NNG+에서/JKB
모래	모래/NNG
채취를	채취/NNG+를/JKO
하지	하/VV+지/EC
못하도록	못하/VX+도록/EC
막고	막/VV+고/EC
있기	있/VX+기/ETN
때문이라	때문/NNB+이/VCP+라/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.180.3.3
그래서 경남 창녕합천보 부근뿐 아니라 경북 고령이나 성주 등 낙동강 여러 곳에서 모래가 쌓여만 가고 있다는 것이다.

그래서	그래서/MAJ
경남	경남/NNP
창녕합천보	창녕합천보/NNP
부근뿐	부근/NNG+뿐/JX
아니라	아니/VCN+라/EC
경북	경북/NNP
고령이나	고령/NNP+이나/JC
성주	성주/NNP
등	등/NNB
낙동강	낙동강/NNP
여러	여러/MMN
곳에서	곳/NNG+에서/JKB
모래가	모래/NNG+가/JKS
쌓여만	쌓이/VV+어/EC+만/JX
가고	가/VX+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.180.3.4
건설 업계에서는 내년부터 모래난이 심각할 것이라 걱정하고 있다.

건설	건설/NNG
업계에서는	업계/NNG+에서/JKB+는/JX
내년부터	내년/NNG+부터/JX
모래난이	모래난/NNG+이/JKS
심각할	심각하/VA+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
걱정하고	걱정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.180.4.1
건설 골재(骨材) 중 모래는 바닷모래와 강(江)모래로 나뉘는데, 바닷모래는 서해안에서 채취해 수도권과 충청도 일대에서 주로 사용한다.

건설	건설/NNG
골재(骨材)	골재/NNG+(/SS+骨材/SH+)/SS
중	중/NNB
모래는	모래/NNG+는/JX
바닷모래와	바닷모래/NNG+와/JC
강(江)모래로	강/NNG+(/SS+江/SH+)/SS+모래/NNG+로/JKB
나뉘는데,	나뉘/VV+는데/EC+,/SP
바닷모래는	바닷모래/NNG+는/JX
서해안에서	서해안/NNP+에서/JKB
