# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.360
metadata : {}


# id : NWRW1800000036.360.1.1
[유레카] 지하경제 / 정영무

[유레카]	[/SS+유레카/NNG+]/SS
지하경제	지하/NNG+경제/NNG
/	//SP
정영무	정영무/NNP


# id : NWRW1800000036.360.2.1
[한겨레] 지하경제가 새삼 주목받고 있다.

[한겨레]	[/SS+한겨레/NNP+]/SS
지하경제가	지하/NNG+경제/NNG+가/JKS
새삼	새삼/MAG
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.360.2.2
박근혜 대통령 당선인 쪽은 지하경제 양성화로 연간 1조6000억원의 세수를 늘릴 수 있다고 한다.

박근혜	박근혜/NNP
대통령	대통령/NNG
당선인	당선인/NNG
쪽은	쪽/NNB+은/JX
지하경제	지하/NNG+경제/NNG
양성화로	양성/NNG+화/XSN+로/JKB
연간	연간/NNG
1조6000억원의	1/SN+조/NR+6000/SN+억/NR+원/NNB+의/JKG
세수를	세수/NNG+를/JKO
늘릴	늘리/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.360.2.3
고소득 자영업자와 대기업 탈루소득에 대한 과세 강화로 걷겠다는 1조4000억원을 능가하는 금액이다.

고소득	고/XPN+소득/NNG
자영업자와	자영업자/NNG+와/JC
대기업	대/XPN+기업/NNG
탈루소득에	탈루/NNG+소득/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과세	과세/NNG
강화로	강화/NNG+로/JKB
걷겠다는	걷/VV+겠/EP+다는/ETM
1조4000억원을	1/SN+조/NR+4000/SN+억/NR+원/NNB+을/JKO
능가하는	능가/NNG+하/XSV+는/ETM
금액이다.	금액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.360.2.4
이한구 새누리당 원내대표는 ‘부자증세 해봐야 몇 푼 안 된다’며 지하경제를 과녁으로 삼고 있다.

이한구	이한구/NNP
새누리당	새누리당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
‘부자증세	‘/SS+부자/NNG+증세/NNG
해봐야	하/VV+아/EC+보/VX+아야/EC
몇	몇/NR
푼	푼/NNB
안	안/MAG
된다’며	되/VV+ㄴ다/EF+’/SS+며/EC
지하경제를	지하/NNG+경제/NNG+를/JKO
과녁으로	과녁/NNG+으로/JKB
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.360.3.1
지하경제란 국가의 공식적인 국내총생산 측정 과정에서 보고되지 않거나 불법으로 이뤄지는 경제행위를 뜻한다.

지하경제란	지하/NNG+경제/NNG+란/JX
국가의	국가/NNG+의/JKG
공식적인	공식/NNG+적/XSN+이/VCP+ㄴ/ETM
국내총생산	국내/NNG+총생산/NNG
측정	측정/NNG
과정에서	과정/NNG+에서/JKB
보고되지	보고/NNG+되/XSV+지/EC
않거나	않/VX+거나/EC
불법으로	불법/NNG+으로/JKB
이뤄지는	이뤄지/VV+는/ETM
경제행위를	경제/NNG+행위/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.360.3.2
밀수, 매매춘, 마약, 투기, 뇌물수수 등 범죄적 경제행위뿐 아니라 조세회피, 탈세 등 세무당국에 보고되지 않은 누락소득까지 이 범주에 들어간다.

밀수,	밀수/NNG+,/SP
매매춘,	매매춘/NNG+,/SP
마약,	마약/NNG+,/SP
투기,	투기/NNG+,/SP
뇌물수수	뇌물/NNG+수수/NNG
등	등/NNB
범죄적	범죄/NNG+적/XSN
경제행위뿐	경제/NNG+행위/NNG+뿐/JX
아니라	아니/VCN+라/EC
조세회피,	조세/NNG+회피/NNG+,/SP
탈세	탈세/NNG
세무당국에	세무/NNG+당국/NNG+에/JKB
보고되지	보고/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
누락소득까지	누락/NNG+소득/NNG+까지/JX
이	이/MMD
범주에	범주/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.360.3.3
지하경제를 측정하는 방법은 다양하고 그에 따라 규모도 천차만별이다.

