# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.309
metadata : {}


# id : NWRW1800000021.309.1.1
[수도권]인천시도 수도권 대중교통 환승할인제 동참… 내달 10일부터

[수도권]인천시도	[/SS+수도/NNG+권/XSN+]/SS+인천시/NNP+도/JX
수도권	수도/NNG+권/XSN
대중교통	대중교통/NNG
환승할인제	환승/NNG+할인/NNG+제/XSN
동참…	동참/NNG+…/SE
내달	내달/NNG
10일부터	10/SN+일/NNB+부터/JX


# id : NWRW1800000021.309.2.1
인천시는 서울시와 경기도가 시행 중인 수도권 대중교통 통합환승할인제에 다음 달 10일부터 참여한다고 26일 밝혔다.

인천시는	인천시/NNP+는/JX
서울시와	서울시/NNP+와/JC
경기도가	경기도/NNP+가/JKS
시행	시행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
수도권	수도/NNG+권/XSN
대중교통	대중교통/NNG
통합환승할인제에	통합/NNG+환승/NNG+할인/NNG+제/XSN+에/JKB
다음	다음/NNG
달	달/NNG
10일부터	10/SN+일/NNB+부터/JX
참여한다고	참여/NNG+하/XSV+ㄴ다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.309.2.2
이에 따라 인천지역 시민들도 인천 외 수도권을 오갈 때 시내버스와 지하철 간에 따로 내던 요금을 거리비례로 정산할 수 있게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
인천지역	인천지역/NNP
시민들도	시민/NNG+들/XSN+도/JX
인천	인천/NNP
외	외/NNB
수도권을	수도/NNG+권/XSN+을/JKO
오갈	오가/VV+ㄹ/ETM
때	때/NNG
시내버스와	시내버스/NNG+와/JC
지하철	지하철/NNG
간에	간/NNB+에/JKB
따로	따로/MAG
내던	내/VV+던/ETM
요금을	요금/NNG+을/JKO
거리비례로	거리/NNG+비례/NNG+로/JKB
정산할	정산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.309.2.3
인천지역 지선버스, 간선버스, 간선급행버스의 기본요금은 기존 600, 900, 950원을 유지하되 수도권 전철, 시내버스로 갈아탈 경우 10km를 초과하면 5km마다 100원씩 추가요금을 내야 한다.

인천지역	인천지역/NNP
지선버스,	지선/NNG+버스/NNG+,/SP
간선버스,	간선/NNG+버스/NNG+,/SP
간선급행버스의	간선/NNG+급행/NNG+버스/NNG+의/JKG
기본요금은	기본요금/NNG+은/JX
기존	기존/NNG
600,	600/SN+,/SP
900,	900/SN+,/SP
950원을	950/SN+원/NNB+을/JKO
유지하되	유지/NNG+하/XSV+되/EC
수도권	수도/NNG+권/XSN
전철,	전철/NNG+,/SP
시내버스로	시내버스/NNG+로/JKB
갈아탈	갈아타/VV+ㄹ/ETM
경우	경우/NNG
10km를	10/SN+km/SW+를/JKO
초과하면	초과/NNG+하/XSV+면/EC
5km마다	5/SN+km/SW+마다/JX
100원씩	100/SN+원/NNB+씩/XSN
추가요금을	추가/NNG+요금/NNG+을/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.309.3.1
인천 남구에서 간선버스를 타고 경인전철 주안역에서 내린 뒤 전철을 갈아타고 서울시청역으로 갈 때 현재 2300원을 내지만 다음 달 10일부터는 1400원만 내면 된다.

인천	인천/NNP
남구에서	남구/NNP+에서/JKB
간선버스를	간선/NNG+버스/NNG+를/JKO
타고	타/VV+고/EC
경인전철	경인/NNP+전철/NNG
주안역에서	주안역/NNP+에서/JKB
내린	내리/VV+ㄴ/ETM
뒤	뒤/NNG
전철을	전철/NNG+을/JKO
갈아타고	갈아타/VV+고/EC
서울시청역으로	서울시청역/NNP+으로/JKB
갈	가/VV+ㄹ/ETM
때	때/NNG
현재	현재/MAG
2300원을	2300/SN+원/NNB+을/JKO
내지만	내/VV+지만/EC
다음	다음/NNG
달	달/NNG
10일부터는	10/SN+일/NNB+부터/JX+는/JX
1400원만	1400/SN+원/NNB+만/JX
내면	내/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


