# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.187
metadata : {}


# id : NWRW1800000021.187.1.1
[아파트 미리보기]김포 한강신도시 ‘우미 린’

[아파트	[/SS+아파트/NNG
미리보기]김포	미리/MAG+보/VV+기/ETN+]/SS+김포/NNP
한강신도시	한강신도시/NNP
‘우미	‘/SS+우미/NNP
린’	린/NNP+’/SS


# id : NWRW1800000021.187.2.1
《‘김포 한강신도시에서도 분양 훈풍이 이어질까.’

《‘김포	《/SS+‘/SS+김포/NNP
한강신도시에서도	한강신도시/NNP+에서/JKB+도/JX
분양	분양/NNG
훈풍이	훈풍/NNG+이/JKS
이어질까.’	이어지/VV+ㄹ까/EF+./SF+’/SS


# id : NWRW1800000021.187.2.2
우미건설이 12일 경기 김포 한강신도시 ‘우미 린’의 모델하우스를 개관하자 부동산 업계에서는 인천 청라지구와 송도지구에서 불었던 분양 훈풍이 이곳에도 불지 눈여겨보고 있다.

우미건설이	우미건설/NNP+이/JKS
12일	12/SN+일/NNB
경기	경기/NNP
김포	김포/NNP
한강신도시	한강신도시/NNP
‘우미	‘/SS+우미/NNP
린’의	린/NNP+’/SS+의/JKG
모델하우스를	모델하우스/NNG+를/JKO
개관하자	개관/NNG+하/XSV+자/EC
부동산	부동산/NNG
업계에서는	업계/NNG+에서/JKB+는/JX
인천	인천/NNP
청라지구와	청라지구/NNP+와/JC
송도지구에서	송도지구/NNP+에서/JKB
불었던	불/VV+었/EP+던/ETM
분양	분양/NNG
훈풍이	훈풍/NNG+이/JKS
이곳에도	이곳/NP+에/JKB+도/JX
불지	불/VV+지/EC
눈여겨보고	눈여겨보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.187.2.3
최근 ‘경기가 바닥을 쳤다’ ‘수도권 분양시장이 살아났다’는 주장이 꾸준히 제기되면서 분양시장의 회복세를 가늠하는 잣대로 우미 린의 분양률에 관심이 집중되고 있는 것이다.》

최근	최근/NNG
‘경기가	‘/SS+경기/NNG+가/JKS
바닥을	바닥/NNG+을/JKO
쳤다’	치/VV+었/EP+다/EF+’/SS
‘수도권	‘/SS+수도/NNG+권/XSN
분양시장이	분양/NNG+시장/NNG+이/JKS
살아났다’는	살아나/VV+았/EP+다/EF+’/SS+는/ETM
주장이	주장/NNG+이/JKS
꾸준히	꾸준히/MAG
제기되면서	제기/NNG+되/XSV+면서/EC
분양시장의	분양/NNG+시장/NNG+의/JKG
회복세를	회복세/NNG+를/JKO
가늠하는	가늠/NNG+하/XSV+는/ETM
잣대로	잣대/NNG+로/JKB
우미	우미/NNP
린의	린/NNP+의/JKG
분양률에	분양/NNG+률/XSN+에/JKB
관심이	관심/NNG+이/JKS
집중되고	집중/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것이다.》	것/NNB+이/VCP+다/EF+./SF+》/SS


# id : NWRW1800000021.187.3.1
○3.3㎡당 분양가 1041만원

○3.3㎡당	○/SW+3/SN+./SP+3/SN+㎡/SW+당/XSN
분양가	분양/NNG+가/XSN
1041만원	1041/SN+만/NR+원/NNB


# id : NWRW1800000021.187.4.1
우미 린은 가격 경쟁력이 높다는 평가가 많다.

우미	우미/NNP
린은	린/NNP+은/JX
가격	가격/NNG
경쟁력이	경쟁력/NNG+이/JKS
높다는	높/VA+다는/ETM
평가가	평가/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.187.4.2
우미건설에 따르면 우미 린의 3.3m²(1평)당 분양가는 1041만 원 선으로 지난해 분양됐던 ‘우남 퍼스트빌’보다 약 30만 원 싸다.

우미건설에	우미건설/NNP+에/JKB
따르면	따르/VV+면/EC
우미	우미/NNP
린의	린/NNP+의/JKG
3.3m²(1평)당	3/SN+./SP+3/SN+m²/SW+(/SS+1/SN+평/NNB+)/SS+당/XSN
분양가는	분양/NNG+가/XSN+는/JX
1041만	1041/SN+만/NR
원	원/NNB
선으로	선/NNG+으로/JKB
지난해	지난해/NNG
분양됐던	분양/NNG+되/XSV+었/EP+던/ETM
‘우남	‘/SS+우남/NNP
퍼스트빌’보다	퍼스트빌/NNG+’/SS+보다/JKB
약	약/MMA
30만	30/SN+만/NR
싸다.	싸/VA+다/EF+./SF


# id : NWRW1800000021.187.4.3
인근 지역인 김포시 고촌면과 걸포동, 고양시 일산 지역에 비해서는 3.3m²당 분양가가 200만∼500만 원 저렴하다.

인근	인근/NNG
지역인	지역/NNG+이/VCP+ㄴ/ETM
김포시	김포시/NNP
고촌면과	고촌면/NNP+과/JC
걸포동,	걸포동/NNP+,/SP
고양시	고양시/NNP
일산	일산/NNP
지역에	지역/NNG+에/JKB
비해서는	비/NNG+하/XSV+아서/EC+는/JX
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
분양가가	분양/NNG+가/XSN+가/JKS
200만∼500만	200/SN+만/NR+∼/SO+500/SN+만/NR
원	원/NNB
저렴하다.	저렴하/VA+다/EF+./SF


# id : NWRW1800000021.187.5.1
이 아파트는 모두 4개의 크기로 구성돼 있다.

이	이/MMD
아파트는	아파트/NNG+는/JX
모두	모두/MAG
4개의	4/SN+개/NNB+의/JKG
크기로	크기/NNG+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.187.5.2
전용면적 △105m²A 331채 △105m²B 331채 △128m² 278채 △130m² 118채 등 총 1058채.

전용면적	전용/NNG+면적/NNG
△105m²A	△/SW+105/SN+m²/SW+A/SL
331채	331/SN+채/NNB
△105m²B	△/SW+105/SN+m²/SW+B/SL
