# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.192
metadata : {}


# id : NWRW1800000046.192.1.1
"司試 4년 연장 환영" "차기 정권에 폭탄 넘겨" 또 불붙은 논란

"司試	"/SS+司試/SH
4년	4/SN+년/NNB
연장	연장/NNG
환영"	환영/NNG+"/SS
"차기	"/SS+차기/NNG
정권에	정권/NNG+에/JKB
폭탄	폭탄/NNG
넘겨"	넘기/VV+어/EC+"/SS
또	또/MAG
불붙은	불붙/VV+은/ETM
논란	논란/NNG


# id : NWRW1800000046.192.2.1
법무부 유예 발표에 변협·로스쿨 정면 충돌

법무부	법무부/NNG
유예	유예/NNG
발표에	발표/NNG+에/JKB
변협·로스쿨	변협/NNP+·/SP+로스쿨/NNG
정면	정면/NNG
충돌	충돌/NNG


# id : NWRW1800000046.192.3.1
법무부는 법학전문대학원(로스쿨) 도입으로 2017년 폐지할 예정이던 사법시험을 2021년까지 4년간 연장 실시하는 방안을 추진하겠다고 3일 밝혔다.

법무부는	법무부/NNG+는/JX
법학전문대학원(로스쿨)	법학/NNG+전문/NNG+대학원/NNG+(/SS+로스쿨/NNG+)/SS
도입으로	도입/NNG+으로/JKB
2017년	2017/SN+년/NNB
폐지할	폐지/NNG+하/XSV+ㄹ/ETM
예정이던	예정/NNG+이/VCP+던/ETM
사법시험을	사법/NNG+시험/NNG+을/JKO
2021년까지	2021/SN+년/NNB+까지/JX
4년간	4/SN+년/NNB+간/XSN
연장	연장/NNG
실시하는	실시/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진하겠다고	추진/NNG+하/XSV+겠/EP+다고/EC
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.3.2
김주현 법무부 차관은 이날 "여론조사 결과 국민의 84% 이상이 사시(司試) 존치가 필요하다고 한다"며 "2021년은 로스쿨 졸업생들이 치르는 변호사시험 시행 10년을 맞는 해"라고 말했다.

김주현	김주현/NNP
법무부	법무부/NNG
차관은	차관/NNG+은/JX
이날	이날/NNG
"여론조사	"/SS+여론/NNG+조사/NNG
결과	결과/NNG
국민의	국민/NNG+의/JKG
84%	84/SN+%/SW
이상이	이상/NNG+이/JKS
사시(司試)	사시/NNG+(/SS+司試/SH+)/SS
존치가	존치/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
한다"며	하/VV+ㄴ다/EF+"/SS+며/EC
"2021년은	"/SS+2021/SN+년/NNB+은/JX
로스쿨	로스쿨/NNG
졸업생들이	졸업/NNG+생/XSN+들/XSN+이/JKS
치르는	치르/VV+는/ETM
변호사시험	변호사/NNG+시험/NNG
시행	시행/NNG
10년을	10/SN+년/NNB+을/JKO
맞는	맞/VV+는/ETM
해"라고	해/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.192.4.1
법무부는 향후 검토할 대안으로 △로스쿨을 졸업하지 않아도 변호사시험을 볼 수 있게 하거나 △현행 로스쿨 제도를 전반적으로 개선하는 방안 △사시를 존치하되 합격생이 자비(自費)로 연수 비용을 부담하는 방안 등을 제시했다.

법무부는	법무부/NNG+는/JX
향후	향후/NNG
검토할	검토/NNG+하/XSV+ㄹ/ETM
대안으로	대안/NNG+으로/JKB
△로스쿨을	△/SW+로스쿨/NNG+을/JKO
졸업하지	졸업/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
변호사시험을	변호사/NNG+시험/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하거나	하/VX+거나/EC
△현행	△/SW+현행/NNG
로스쿨	로스쿨/NNG
제도를	제도/NNG+를/JKO
전반적으로	전반/NNG+적/XSN+으로/JKB
개선하는	개선/NNG+하/XSV+는/ETM
방안	방안/NNG
△사시를	△/SW+사시/NNG+를/JKO
존치하되	존치/NNG+하/XSV+되/EC
합격생이	합격/NNG+생/XSN+이/JKS
자비(自費)로	자비/NNG+(/SS+自費/SH+)/SS+로/JKB
연수	연수/NNG
비용을	비용/NNG+을/JKO
부담하는	부담/NNG+하/XSV+는/ETM
등을	등/NNB+을/JKO
