# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.301
metadata : {}


# id : NWRW1800000038.301.1.1
[조정훈의 태평로] 볼수록 기분 좋은 청년, 구자철

[조정훈의	[/SS+조정훈/NNP+의/JKG
태평로]	태평로/NNP+]/SS
볼수록	보/VV+ㄹ수록/EC
기분	기분/NNG
좋은	좋/VA+은/ETM
청년,	청년/NNG+,/SP
구자철	구자철/NNP


# id : NWRW1800000038.301.2.1
서울 보인고등학교 김석한 이사장은 축구 마니아다.

서울	서울/NNP
보인고등학교	보인고등학교/NNP
김석한	김석한/NNP
이사장은	이사장/NNG+은/JX
축구	축구/NNG
마니아다.	마니아/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.301.2.2
보인상고 졸업생인 그는 모교 축구부 후원회장을 맡았다가 2004년에 학교를 인수했다.

보인상고	보인상고/NNP
졸업생인	졸업/NNG+생/XSN+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
모교	모교/NNG
축구부	축구부/NNG
후원회장을	후원회장/NNG+을/JKO
맡았다가	맡/VV+았/EP+다가/EC
2004년에	2004/SN+년/NNB+에/JKB
학교를	학교/NNG+를/JKO
인수했다.	인수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.2.3
2007년에 학교를 일반고로 전환한 데 이어 2011년에는 자율형사립고로 바꿨다.

2007년에	2007/SN+년/NNB+에/JKB
학교를	학교/NNG+를/JKO
일반고로	일반고/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
자율형사립고로	자율/NNG+형/XSN+사립고/NNG+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.301.2.4
자수성가(自手成家)한 사업가인 그가 그동안 학교를 위해 내놓은 돈만 200억원에 이른다고 한다.

자수성가(自手成家)한	자수성가/NNG+(/SS+自手成家/SH+)/SS+하/VV+ㄴ/ETM
사업가인	사업가/NNG+이/VCP+ㄴ/ETM
그가	그/NP+가/JKS
그동안	그동안/NNG
학교를	학교/NNG+를/JKO
위해	위하/VV+아/EC
내놓은	내놓/VV+은/ETM
돈만	돈/NNG+만/JX
200억원에	200/SN+억/NR+원/NNB+에/JKB
이른다고	이르/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.301.3.1
김 이사장은 "올바른 인성(人性)을 갖춘 인재를 양성하는 게 내 교육 목표"라며 "그건 축구 선수도 마찬가지"라고 했다.

김	김/NNP
이사장은	이사장/NNG+은/JX
"올바른	"/SS+올바르/VA+ㄴ/ETM
인성(人性)을	인성/NNG+(/SS+人性/SH+)/SS+을/JKO
갖춘	갖추/VV+ㄴ/ETM
인재를	인재/NNG+를/JKO
양성하는	양성/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
내	나/NP+의/JKG
교육	교육/NNG
목표"라며	목표/NNG+"/SS+이/VCP+라며/EC
"그건	"/SS+그거/NP+ㄴ/JX
축구	축구/NNG
선수도	선수/NNG+도/JX
마찬가지"라고	마찬가지/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.3.2
그는 축구부 선수들에게 수준별 수업뿐만 아니라 영어 회화, 한문, 독서 등 별도 교육을 받도록 한 것도 이런 취지라고 했다.

그는	그/NP+는/JX
축구부	축구부/NNG
선수들에게	선수/NNG+들/XSN+에게/JKB
수준별	수준/NNG+별/XSN
수업뿐만	수업/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
영어	영어/NNP
회화,	회화/NNG+,/SP
한문,	한문/NNG+,/SP
독서	독서/NNG
등	등/NNB
별도	별도/NNG
교육을	교육/NNG+을/JKO
받도록	받/VV+도록/EC
한	하/VX+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
취지라고	취지/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.4.1
그는 요즘 "우리 학교 출신인 구자철은 볼수록 기분 좋은 친구"라며 후배 자랑이 한창이다.

그는	그/NP+는/JX
요즘	요즘/NNG
"우리	"/SS+우리/NP
학교	학교/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
구자철은	구자철/NNP+은/JX
볼수록	보/VV+ㄹ수록/EC
기분	기분/NNG
좋은	좋/VA+은/ETM
친구"라며	친구/NNG+"/SS+이/VCP+라며/EC
후배	후배/NNG
자랑이	자랑/NNG+이/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.301.4.2
런던올림픽 대표팀 주장으로 활약한 구자철은 지난달 22일 결혼했다.

런던올림픽	런던/NNP+올림픽/NNG
대표팀	대표/NNG+팀/NNG
주장으로	주장/NNG+으로/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
구자철은	구자철/NNP+은/JX
지난달	지난달/NNG
22일	22/SN+일/NNB
결혼했다.	결혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.4.3
구자철은 방송 출연과 인터뷰 등 바쁜 일정 속에서도 모교를 찾아가 선생님들께 인사드렸다.

구자철은	구자철/NNP+은/JX
방송	방송/NNG
출연과	출연/NNG+과/JKB
인터뷰	인터뷰/NNG
등	등/NNB
바쁜	바쁘/VA+ㄴ/ETM
일정	일정/NNG
속에서도	속/NNG+에서/JKB+도/JX
모교를	모교/NNG+를/JKO
찾아가	찾아가/VV+아/EC
선생님들께	선생/NNG+님/XSN+들/XSN+께/JKB
인사드렸다.	인사/NNG+드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.301.4.4
김 이사장은 "요즘 젊은이들 중에 선생님을 직접 찾아뵙고 결혼 인사를 드리는 친구가 몇이나 되겠느냐"고 했다.

김	김/NNP
이사장은	이사장/NNG+은/JX
"요즘	"/SS+요즘/NNG
젊은이들	젊은이/NNG+들/XSN
중에	중/NNB+에/JKB
선생님을	선생/NNG+님/XSN+을/JKO
직접	직접/MAG
찾아뵙고	찾아뵙/VV+고/EC
결혼	결혼/NNG
인사를	인사/NNG+를/JKO
드리는	드리/VV+는/ETM
친구가	친구/NNG+가/JKS
몇이나	몇/NR+이나/JX
되겠느냐"고	되/VV+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.4.5
구자철의 결혼식 주례는 정해성 대한축구협회 경기위원장이 맡았다.

구자철의	구자철/NNP+의/JKG
결혼식	결혼식/NNG
주례는	주례/NNG+는/JX
정해성	정해성/NNP
대한축구협회	대한축구협회/NNP
경기위원장이	경기/NNG+위원장/NNG+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.4.6
제주 유나이티드 감독 시절 그를 뽑아준 프로 무대의 스승이다.

제주	제주/NNP
유나이티드	유나이티드/NNP
감독	감독/NNG
시절	시절/NNG
그를	그/NP+를/JKO
뽑아준	뽑/VV+아/EC+주/VX+ㄴ/ETM
프로	프로/NNG
무대의	무대/NNG+의/JKG
스승이다.	스승/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.301.4.7
"더 명망(名望) 있는 분에게 부탁드리는 게 좋겠다"며 고사하던 정 위원장도 구자철의 간곡한 부탁에 마음을 돌렸다.

"더	"/SS+더/MAG
명망(名望)	명망/NNG+(/SS+名望/SH+)/SS
있는	있/VA+는/ETM
분에게	분/NNB+에게/JKB
부탁드리는	부탁/NNG+드리/VV+는/ETM
게	거/NNB+이/JKS
좋겠다"며	좋/VA+겠/EP+다/EF+"/SS+며/EC
고사하던	고사/NNG+하/XSV+던/ETM
정	정/NNP
위원장도	위원장/NNG+도/JX
구자철의	구자철/NNP+의/JKG
간곡한	간곡하/VA+ㄴ/ETM
부탁에	부탁/NNG+에/JKB
마음을	마음/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.301.4.8
초등학교 때 부모의 이혼이라는 아픔을 겪은 구자철은 아버지와 고모의 뒷바라지 속에 성장했다.

초등학교	초등학교/NNG
때	때/NNG
부모의	부모/NNG+의/JKG
이혼이라는	이혼/NNG+이/VCP+라는/ETM
아픔을	아픔/NNG+을/JKO
겪은	겪/VV+은/ETM
구자철은	구자철/NNP+은/JX
아버지와	아버지/NNG+와/JC
고모의	고모/NNG+의/JKG
뒷바라지	뒷바라지/NNG
속에	속/NNG+에/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.4.9
2011년 분데스리가 진출로 '목돈'을 만지게 된 구자철은 제일 먼저 아버지와 고모에게 집 한 채씩을 사드렸다고 한다.

2011년	2011/SN+년/NNB
분데스리가	분데스리가/NNG
진출로	진출/NNG+로/JKB
'목돈'을	'/SS+목돈/NNG+'/SS+을/JKO
만지게	만지/VV+게/EC
된	되/VV+ㄴ/ETM
구자철은	구자철/NNP+은/JX
제일	제일/MAG
먼저	먼저/MAG
아버지와	아버지/NNG+와/JC
고모에게	고모/NNG+에게/JKB
집	집/NNG
한	한/MMN
채씩을	채/NNB+씩/XSN+을/JKO
사드렸다고	사/VV+아/EC+드리/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.301.5.1
올 들어 국내 스포츠에선 인성이라는 단어가 자주 거론되고 있다.

올	올/NNG
들어	들/VV+어/EC
국내	국내/NNG
스포츠에선	스포츠/NNG+에서/JKB+ㄴ/JX
인성이라는	인성/NNG+이/VCP+라는/ETM
단어가	단어/NNG+가/JKS
자주	자주/MAG
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.301.5.2
은퇴한 야구 선수 박찬호는 지난 3월 WBC(월드베이스볼클래식)가 끝난 뒤 "인성 교육을 통해 태극 마크에 대한 책임감을 길러야 한다"고 쓴소리를 했다.

은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
야구	야구/NNG
선수	선수/NNG
