# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.327
metadata : {}


# id : NWRW1800000030.327.1.1
"어게인 2004년"… 한나라, 총선 불출마 도미노 재현되나

"어게인	"/SS+어게인/NNG
2004년"…	2004/SN+년/NNB+"/SS+…/SE
한나라,	한나라/NNP+,/SP
총선	총선/NNG
불출마	불/XPN+출마/NNG
도미노	도미노/NNG
재현되나	재현/NNG+되/XSV+나/EC


# id : NWRW1800000030.327.2.1
•원희룡 "총선 불출마" 이어 공천 물갈이論 등장

•원희룡	•/SW+원희룡/NNP
"총선	"/SS+총선/NNG
불출마"	불/XPN+출마/NNG+"/SS
이어	잇/VV+어/EC
공천	공천/NNG
물갈이論	물갈이/NNG+論/SH
등장	등장/NNG


# id : NWRW1800000030.327.3.1
한나라당 원희룡 의원이 20일 7·4 전당대회 출마를 선언하며 내년 '총선 불출마' 방침을 밝히면서 한나라당에서 2004년 총선 때의 '불출마 선언' 도미노가 재현되는 것 아니냐는 말이 나오고 있다.

한나라당	한나라당/NNP
원희룡	원희룡/NNP
의원이	의원/NNG+이/JKS
20일	20/SN+일/NNB
7·4	7/SN+·/SP+4/SN
전당대회	전당/NNG+대회/NNG
출마를	출마/NNG+를/JKO
선언하며	선언/NNG+하/XSV+며/EC
내년	내년/NNG
'총선	'/SS+총선/NNG
불출마'	불/XPN+출마/NNG+'/SS
방침을	방침/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
한나라당에서	한나라당/NNP+에서/JKB
2004년	2004/SN+년/NNB
총선	총선/NNG
때의	때/NNG+의/JKG
'불출마	'/SS+불/XPN+출마/NNG
선언'	선언/NNG+'/SS
도미노가	도미노/NNG+가/JKS
재현되는	재현/NNG+되/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
말이	말/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.327.3.2
1992년 이후 한나라당이 한 번도 진 적이 없는 서울 양천갑에서 내리 3선을 한 원 의원이 불출마 선언의 이유로 '자기 희생'을 내걸고 나왔기 때문이다.

1992년	1992/SN+년/NNB
이후	이후/NNG
한나라당이	한나라당/NNP+이/JKS
한	하/VV+ㄴ/ETM
번도	번/NNB+도/JX
진	지/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없는	없/VA+는/ETM
서울	서울/NNP
양천갑에서	양천갑/NNP+에서/JKB
내리	내리/MAG
3선을	3/SN+선/NNB+을/JKO
원	원/NNP
의원이	의원/NNG+이/JKS
불출마	불/XPN+출마/NNG
선언의	선언/NNG+의/JKG
이유로	이유/NNG+로/JKB
'자기	'/SS+자기/NNG
희생'을	희생/NNG+'/SS+을/JKO
내걸고	내걸/VV+고/EC
나왔기	나오/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.327.3.3
여기에 전날 전대 출마를 선언한 친박 진영의 유승민(대구 동을) 의원도 이날 "내년 총선에서 현역 의원 대부분이 다시 공천되면 수도권이든 영남이든 총선을 치르겠는가"라며 공천 개혁 필요성을 주장하고 나왔다.

여기에	여기/NP+에/JKB
전날	전날/NNG
전대	전대/NNG
출마를	출마/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
친박	친/XPN+박/NNP
진영의	진영/NNG+의/JKG
유승민(대구	유승민/NNP+(/SS+대구/NNP
동을)	동을/NNP+)/SS
의원도	의원/NNG+도/JX
이날	이날/NNG
"내년	"/SS+내년/NNG
총선에서	총선/NNG+에서/JKB
현역	현역/NNG
의원	의원/NNG
대부분이	대/XPN+부분/NNG+이/JKS
다시	다시/MAG
공천되면	공천/NNG+되/XSV+면/EC
수도권이든	수도/NNG+권/XSN+이/VCP+든/EC
영남이든	영남/NNP+이/VCP+든/EC
총선을	총선/NNG+을/JKO
치르겠는가"라며	치르/VV+겠/EP+는가/EF+"/SS+이/VCP+라며/EC
공천	공천/NNG
개혁	개혁/NNG
필요성을	필요/NNG+성/XSN+을/JKO
주장하고	주장/NNG+하/XSV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.327.3.4
한나라당의 텃밭인 서울 '강남벨트'와 '영남권' 현역 의원에 대한 물갈이가 필요하다는 얘기다.

한나라당의	한나라당/NNP+의/JKG
텃밭인	텃밭/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
'강남벨트'와	'/SS+강남/NNP+벨트/NNG+'/SS+와/JC
'영남권'	'/SS+영남/NNP+권/XSN+'/SS
현역	현역/NNG
의원에	의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
물갈이가	물갈이/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.327.4.1
