# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.84
metadata : {}


# id : NWRW1800000040.84.1.1
오바마-시진핑 7일 첫 정상회담

오바마-시진핑	오바마/NNP+-/SO+시진핑/NNP
7일	7/SN+일/NNB
첫	첫/MMN
정상회담	정상/NNG+회담/NNG


# id : NWRW1800000040.84.2.1
미, ‘북 비핵화’ 기조 바뀔지 주목

미,	미/NNP+,/SP
‘북	‘/SS+북/NNP
비핵화’	비핵/NNG+화/XSN+’/SS
기조	기조/NNG
바뀔지	바뀌/VV+ㄹ지/EF
주목	주목/NNG


# id : NWRW1800000040.84.3.1
버락 오바마 미국 대통령과 시진핑 중국 국가주석이 7~8일(현지시각) 미국 캘리포니아주 란초 미라지의 휴양지 서니랜즈에서 정상회담을 열어 북한 핵문제를 비롯한 다양한 국제·양국간 현안을 논의한다.

버락	버락/MAG
오바마	오바마/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
시진핑	시진핑/NNP
중국	중국/NNP
국가주석이	국가주석/NNG+이/JKS
7~8일(현지시각)	7/SN+~/SO+8/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
캘리포니아주	캘리포니아주/NNP
란초	란초/NNP
미라지의	미라지/NNP+의/JKG
휴양지	휴양지/NNG
서니랜즈에서	서니랜즈/NNP+에서/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
열어	열/VV+어/EC
북한	북한/NNP
핵문제를	핵/NNG+문제/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
국제·양국간	국제/NNG+·/SP+양국/NNG+간/NNB
현안을	현안/NNG+을/JKO
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.84.3.2
특히 정상회담 직전 북한이 남북 당국간 회담을 제의한 상황에서, 미·중 정상이 어떤 대북정책을 내놓을지 주목된다.

특히	특히/MAG
정상회담	정상/NNG+회담/NNG
