# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.31
metadata : {}


# id : NWRW1800000049.31.1.1
‘내우외환’ 넥슨, 모바일 다걸기

‘내우외환’	‘/SS+내우외환/NNG+’/SS
넥슨,	넥슨/NNP+,/SP
모바일	모바일/NNG
다걸기	다/MAG+걸/VV+기/ETN


# id : NWRW1800000049.31.2.1
메이플스토리M 등 7종 연내 출시… CEO수사-서든어택2 선정성 논란 최악의 시련 뛰어넘을지 주목… 엔씨-넷마블도 신작 판매 채비

메이플스토리M	메이플스토리M/NNP
등	등/NNB
7종	7/SN+종/NNG
연내	연내/NNG
출시…	출시/NNG+…/SE
CEO수사-서든어택2	CEO/SL+수사/NNG+-/SO+서든어택2/NNP
선정성	선정/NNG+성/XSN
논란	논란/NNG
최악의	최악/NNG+의/JKG
시련	시련/NNG
뛰어넘을지	뛰어넘/VV+을지/EF
주목…	주목/NNG+…/SE
엔씨-넷마블도	엔씨/NNP+-/SO+넷마블/NNP+도/JX
신작	신작/NNG
판매	판매/NNG
채비	채비/NNG


# id : NWRW1800000049.31.3.1
창업주의 현직 검사에 대한 뇌물 제공, 신작의 선정성 논란으로 인한 서비스 종료 등 올해 들어 잇단 악재로 몸살을 겪은 넥슨이 새 게임 7종을 한꺼번에 선보인다.

창업주의	창업주/NNG+의/JKG
현직	현직/NNG
검사에	검사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
뇌물	뇌물/NNG
제공,	제공/NNG+,/SP
신작의	신작/NNG+의/JKG
선정성	선정/NNG+성/XSN
논란으로	논란/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
서비스	서비스/NNG
종료	종료/NNG
등	등/NNB
올해	올해/NNG
들어	들/VV+어/EC
잇단	잇달/VV+ㄴ/ETM
악재로	악재/NNG+로/JKB
몸살을	몸살/NNG+을/JKO
겪은	겪/VV+은/ETM
넥슨이	넥슨/NNP+이/JKS
새	새/MMA
게임	게임/NNG
