# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.317
metadata : {}


# id : NWRW1800000033.317.1.1
공천취소 전혜숙 “금품제공 의혹 억울”… 黨대표실 점거

공천취소	공천/NNG+취소/NNG
전혜숙	전혜숙/NNP
“금품제공	“/SS+금품/NNG+제공/NNG
의혹	의혹/NNG
억울”…	억울/NNG+”/SS+…/SE
黨대표실	黨/SH+대표실/NNG
점거	점거/NNG


# id : NWRW1800000033.317.2.1
■ 민주 공천 잡음 갈수록 시끌

■	■/SW
민주	민주/NNP
공천	공천/NNG
잡음	잡음/NNG
갈수록	갈수록/MAG
시끌	시끌/XR


# id : NWRW1800000033.317.3.1
공천을 둘러싼 민주통합당 내 잡음이 갈수록 시끄러워지고 있다.

공천을	공천/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
민주통합당	민주통합당/NNP
내	내/NNB
잡음이	잡음/NNG+이/JKS
갈수록	갈수록/MAG
시끄러워지고	시끄럽/VA+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.317.3.2
서울 광진갑 공천을 받았다가 금품제공 의혹을 이유로 공천이 취소된 전혜숙 의원은 16일 국회 당 대표실에서 피켓 시위를 벌였다.

서울	서울/NNP
광진갑	광진갑/NNP
공천을	공천/NNG+을/JKO
받았다가	받/VV+았/EP+다가/EC
금품제공	금품/NNG+제공/NNG
의혹을	의혹/NNG+을/JKO
이유로	이유/NNG+로/JKB
공천이	공천/NNG+이/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
전혜숙	전혜숙/NNP
의원은	의원/NNG+은/JX
16일	16/SN+일/NNB
국회	국회/NNG
당	당/NNG
대표실에서	대표실/NNG+에서/JKB
피켓	피켓/NNG
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.3.3
당 대표실에서 열리던 최고위원회의는 장소가 바뀌어 열렸다.

당	당/NNG
대표실에서	대표실/NNG+에서/JKB
열리던	열리/VV+던/ETM
최고위원회의는	최고/NNG+위원/NNG+회의/NNG+는/JX
장소가	장소/NNG+가/JKS
바뀌어	바뀌/VV+어/EC
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.4.1
전 의원은 오전 9시로 예정됐던 최고위 개최 전 대표실을 찾아 전날 공천 취소에 대해 거세게 항의했다.

전	전/MMD
의원은	의원/NNG+은/JX
오전	오전/NNG
9시로	9/SN+시/NNB+로/JKB
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
최고위	최/XPN+고위/NNG
개최	개최/NNG
대표실을	대표실/NNG+을/JKO
찾아	찾/VV+아/EC
전날	전날/NNG
공천	공천/NNG
취소에	취소/NNG+에/JKB
대해	대하/VV+아/EC
거세게	거세/VA+게/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.4.2
노란색 선거운동복 차림이었다.

노란색	노란색/NNG
선거운동복	선거/NNG+운동복/NNG
차림이었다.	차림/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.317.4.3
그는 자신을 둘러싼 금품제공 의혹과 관련해 “확인된 사실이 없고, 경찰에서 부른 적도 없다.

그는	그/NP+는/JX
자신을	자신/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
금품제공	금품/NNG+제공/NNG
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“확인된	“/SS+확인/NNG+되/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
경찰에서	경찰/NNG+에서/JKB
부른	부르/VV+ㄴ/ETM
적도	적/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.317.4.4
돈을 줬다는 사람만 있는데 한명숙 대표도 똑같은 일로 무죄를 받지 않았느냐”고 호소했다.

돈을	돈/NNG+을/JKO
