# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.347
metadata : {}


# id : NWRW1800000021.347.1.1
이재오, 내년 재보선 출마 시사?

이재오,	이재오/NNP+,/SP
내년	내년/NNG
재보선	재보선/NNG
출마	출마/NNG
시사?	시사/NNG+?/SF


# id : NWRW1800000021.347.2.1
이재오 국민권익위원장은 25일 KBS 1TV ‘일요진단’ 프로그램에 출연해 “(위원장 임기를) 채울 수도 있고 못 채울 수도 있다.

이재오	이재오/NNP
국민권익위원장은	국민/NNG+권익/NNG+위원장/NNG+은/JX
25일	25/SN+일/NNB
KBS	KBS/SL
1TV	1/SN+TV/SL
‘일요진단’	‘/SS+일요/NNG+진단/NNG+’/SS
프로그램에	프로그램/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
“(위원장	“/SS+(/SS+위원장/NNG
임기를)	임기/NNG+를/JKO+)/SS
채울	채우/VV+ㄹ/ETM
수도	수/NNB+도/JX
있고	있/VA+고/EC
못	못/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.347.2.2
공직자라고 자기 의도대로 임기를 마치는 건 아니다”고 말했다.

공직자라고	공직자/NNG+이/VCP+라고/EC
자기	자기/NNG
의도대로	의도/NNG+대로/JX
임기를	임기/NNG+를/JKO
마치는	마치/VV+는/ETM
건	거/NNB+ㄴ/JX
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.347.2.3
이는 창조한국당 문국현 대표의 의원직 상실로 내년 7월 실시되는 서울 은평을 국회의원 재·보궐선거 출마 가능성을 내비친 것으로 풀이된다.

이는	이/NP+는/JX
창조한국당	창조한국당/NNP
문국현	문국현/NNP
대표의	대표/NNG+의/JKG
의원직	의원직/NNG
상실로	상실/NNG+로/JKB
내년	내년/NNG
7월	7/SN+월/NNB
실시되는	실시/NNG+되/XSV+는/ETM
서울	서울/NNP
은평을	은평/NNP+을/JKO
국회의원	국회/NNG+의원/NNG
재·보궐선거	재/XPN+·/SP+보궐/NNG+선거/NNG
출마	출마/NNG
가능성을	가능/NNG+성/XSN+을/JKO
내비친	내비치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.347.2.4
이 위원장은 은평을에서 3선 의원을 지냈다.

이	이/NNP
위원장은	위원장/NNG+은/JX
은평을에서	은평을/NNP+에서/JKB
3선	3/SN+선/NNB
의원을	의원/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.347.2.5
다만 이 위원장은 “아직 권익위에 온 지 한 달도 안 되는 데다 할 일도 많아 지금은 다른 생각을 갖고 있지 않다”고 덧붙였다.

다만	다만/MAG
이	이/NNP
위원장은	위원장/NNG+은/JX
“아직	“/SS+아직/MAG
권익위에	권익위/NNG+에/JKB
온	오/VV+ㄴ/ETM
지	지/NNB
한	한/MMN
달도	달/NNB+도/JX
안	안/MAG
되는	되/VV+는/ETM
데다	데/NNB+다/JX
할	하/VV+ㄹ/ETM
일도	일/NNG+도/JX
많아	많/VA+아/EC
지금은	지금/NNG+은/JX
다른	다른/MMD
생각을	생각/NNG+을/JKO
갖고	갖/VV+고/EC
있지	있/VX+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.347.3.1
이에 앞서 이 위원장은 19일 국정감사에서 ‘내년 재·보선에 출마할 생각이 있느냐’는 의원들의 질문에 “특별한 사정이 없는 한 권익위원장 임기 3년을 채워야 하지 않겠나 생각한다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
이	이/NNP
위원장은	위원장/NNG+은/JX
19일	19/SN+일/NNB
국정감사에서	국정/NNG+감사/NNG+에서/JKB
‘내년	‘/SS+내년/NNG
재·보선에	재·보선/NNG+에/JKB
출마할	출마/NNG+하/XSV+ㄹ/ETM
생각이	생각/NNG+이/JKS
있느냐’는	있/VA+느냐/EF+’/SS+는/ETM
의원들의	의원/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
“특별한	“/SS+특별/NNG+하/XSA+ㄴ/ETM
사정이	사정/NNG+이/JKS
없는	없/VA+는/ETM
한	한/NNG
권익위원장	권익/NNG+위원장/NNG
임기	임기/NNG
3년을	3/SN+년/NNB+을/JKO
채워야	채우/VV+어야/EC
하지	하/VX+지/EC
않겠나	않/VX+겠/EP+나/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.347.3.2
하지만 사람이 하는 일이라 알 수 있겠나”라고 말했다.

하지만	하지만/MAJ
사람이	사람/NNG+이/JKS
하는	하/VV+는/ETM
일이라	일/NNG+이/VCP+라/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있겠나”라고	있/VA+겠/EP+나/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


