# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.159
metadata : {}


# id : NWRW1800000026.159.1.1
[문갑식의 하드보일드] '狂馬부부'고성규·윤미라, 사라진 제국 고구려의 기마무예를 살리다;"말과 고구려에 미친 우리 부부… 예, '또라이' 맞습니다"

[문갑식의	[/SS+문갑식/NNP+의/JKG
하드보일드]	하드보일드/NNG+]/SS
'狂馬부부'고성규·윤미라,	'/SS+狂馬/SH+부부/NNG+'/SS+고성규/NNP+·/SP+윤미라/NNP+,/SP
사라진	사라지/VV+ㄴ/ETM
제국	제국/NNG
고구려의	고구려/NNP+의/JKG
기마무예를	기마/NNG+무예/NNG+를/JKO
살리다;"말과	살리/VV+다/EC+;/SP+"/SS+말/NNG+과/JC
고구려에	고구려/NNP+에/JKB
미친	미치/VV+ㄴ/ETM
우리	우리/NP
부부…	부부/NNG+…/SE
예,	예/IC+,/SP
'또라이'	'/SS+또라이/NNG+'/SS
맞습니다"	맞/VV+습니다/EF+"/SS


# id : NWRW1800000026.159.2.1
#만종(晩鐘)의 이창(裏窓)

#만종(晩鐘)의	#/SW+만종/NNG+(/SS+晩鐘/SH+)/SS+의/JKG
이창(裏窓)	이창/NNG+(/SS+裏窓/SH+)/SS


# id : NWRW1800000026.159.3.1
경기도 양주시 일영 들판에 5월의 석양(夕陽)이 지고 있었다.

경기도	경기도/NNP
양주시	양주시/NNP
일영	일영/NNP
들판에	들판/NNG+에/JKB
5월의	5/SN+월/NNB+의/JKG
석양(夕陽)이	석양/NNG+(/SS+夕陽/SH+)/SS+이/JKS
지고	지/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.3.2
세 아낙네 사이로 오십쯤 돼 보이는 사내가 서성이는 모습이 밀레의 그림 같은 분위기다.

세	세/MMN
아낙네	아낙네/NNG
사이로	사이/NNG+로/JKB
오십쯤	오십/NR+쯤/XSN
돼	되/VV+어/EC
보이는	보이/VV+는/ETM
사내가	사내/NNG+가/JKS
서성이는	서성이/VV+는/ETM
모습이	모습/NNG+이/JKS
밀레의	밀레/NNP+의/JKG
그림	그림/NNG
같은	같/VA+은/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.3.3
그 평화로운 풍경 옆에서 느닷없이 숨 가쁜 소리가 들려왔다.

그	그/MMD
평화로운	평화/NNG+롭/XSA+ㄴ/ETM
풍경	풍경/NNG
옆에서	옆/NNG+에서/JKB
느닷없이	느닷없이/MAG
숨	숨/NNG
가쁜	가쁘/VA+ㄴ/ETM
소리가	소리/NNG+가/JKS
들려왔다.	들려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.4.1
'추추'소리에 맞춰 말(馬) 두필이 트랙을 콧김 내뿜으며 질주했다.

'추추'소리에	'/SS+추추/MAG+'/SS+소리/NNG+에/JKB
맞춰	맞추/VV+어/EC
말(馬)	말/NNG+(/SS+馬/SH+)/SS
두필이	두/MMN+필/NNB+이/JKS
트랙을	트랙/NNG+을/JKO
콧김	콧김/NNG
내뿜으며	내뿜/VV+으며/EC
질주했다.	질주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.4.2
그 위에서 사내가 월도(月刀)를 휘두르고 있었다.

그	그/MMD
위에서	위/NNG+에서/JKB
사내가	사내/NNG+가/JKS
월도(月刀)를	월도/NNG+(/SS+月刀/SH+)/SS+를/JKO
휘두르고	휘두르/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.4.3
관우(關羽)가 쓰던 바로 그 창(槍)이다.

관우(關羽)가	관우/NNP+(/SS+關羽/SH+)/SS+가/JKS
쓰던	쓰/VV+던/ETM
바로	바로/MAG
그	그/MMD
창(槍)이다.	창/NNG+(/SS+槍/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.4.4
살펴보니 운장(雲長)에 비교할 바는 못되지만 수염도 기르고 있었다.

살펴보니	살펴보/VV+니/EC
운장(雲長)에	운장/NNP+(/SS+雲長/SH+)/SS+에/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
바는	바/NNB+는/JX
못되지만	못/MAG+되/XSA+지만/EC
수염도	수염/NNG+도/JX
기르고	기르/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.5.1
따르는 말 위에선 여인이 매서운 눈초리로 활을 겨누고 있다.

따르는	따르/VV+는/ETM
말	말/NNG
위에선	위/NNG+에서/JKB+ㄴ/JX
여인이	여인/NNG+이/JKS
매서운	매섭/VA+ㄴ/ETM
눈초리로	눈초리/NNG+로/JKB
활을	활/NNG+을/JKO
겨누고	겨누/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.159.5.2
오십여 차례 말을 휘몰던 남녀가 기사(騎射)자세를 취했다.

오십여	오십/NR+여/XSN
차례	차례/NNG
말을	말/NNG+을/JKO
휘몰던	휘몰/VV+던/ETM
남녀가	남녀/NNG+가/JKS
기사(騎射)자세를	기사/NNG+(/SS+騎射/SH+)/SS+자세/NNG+를/JKO
취했다.	취하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.5.3
어디선가 본 장면이었다.

어디선가	어디/NP+서/JKB+이/VCP+ㄴ가/EF
본	보/VV+ㄴ/ETM
장면이었다.	장면/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.5.4
고구려 무용총(舞踊塚) 수렵도(狩獵圖)의 그 포즈였던 것이다.

고구려	고구려/NNP
무용총(舞踊塚)	무용총/NNG+(/SS+舞踊塚/SH+)/SS
수렵도(狩獵圖)의	수렵도/NNG+(/SS+狩獵圖/SH+)/SS+의/JKG
그	그/MMD
포즈였던	포즈/NNG+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.6.1
두 무술 남녀의 공연을 마구간 속 스무 마리의 말들이 늘어지게 하품하며 지켜보고 있었다.

두	두/MMN
무술	무술/NNG
남녀의	남녀/NNG+의/JKG
공연을	공연/NNG+을/JKO
마구간	마구간/NNG
속	속/NNG
스무	스무/MMN
마리의	마리/NNB+의/JKG
말들이	말/NNG+들/XSN+이/JKS
늘어지게	늘어지/VV+게/EC
하품하며	하품/NNG+하/XSV+며/EC
지켜보고	지켜보/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.6.2
내비게이션도 잘 찾지 못하는 고가도로 밑 공터에서 이들은 무엇을 하고 있는 것일까.

내비게이션도	내비게이션/NNG+도/JX
잘	잘/MAG
찾지	찾/VV+지/EC
못하는	못하/VX+는/ETM
고가도로	고가/NNG+도로/NNG
밑	밑/NNG
공터에서	공터/NNG+에서/JKB
이들은	이/NP+들/XSN+은/JX
무엇을	무엇/NP+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000026.159.6.3
고성규(高聖圭·48)·윤미라(尹美羅·49) 부부 스토리다.

고성규(高聖圭·48)·윤미라(尹美羅·49)	고성규/NNP+(/SS+高聖圭/SH+·/SP+48/SN+)/SS+·/SP+윤미라/NNP+(/SS+尹美羅/SH+·/SP+49/SN+)/SS
부부	부부/NNG
스토리다.	스토리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.7.1
#말 바이러스

#말	#/SW+말/NNG
바이러스	바이러스/NNG


# id : NWRW1800000026.159.8.1
