# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.378
metadata : {}


# id : NWRW1800000022.378.1.1
[기자수첩] "外高 바꾸자" 한나라당의 돌변

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
"外高	"/SS+外高/SH
바꾸자"	바꾸/VV+자/EF+"/SS
한나라당의	한나라당/NNP+의/JKG
돌변	돌변/NNG


# id : NWRW1800000022.378.2.1
작년 4월 총선에선 한나라당 후보들이 앞다퉈 '우리 동네에 특목고를 유치하겠다'고 공약해놓고는….

작년	작년/NNG
4월	4/SN+월/NNB
총선에선	총선/NNG+에서/JKB+ㄴ/JX
한나라당	한나라당/NNP
후보들이	후보/NNG+들/XSN+이/JKS
앞다퉈	앞다투/VV+어/EC
'우리	'/SS+우리/NP
동네에	동네/NNG+에/JKB
특목고를	특목고/NNG+를/JKO
유치하겠다'고	유치/NNG+하/XSV+겠/EP+다/EF+'/SS+고/JKQ
공약해놓고는….	공약/NNG+하/XSV+아/EC+놓/VX+고/EC+는/JX+…/SE+./SF


# id : NWRW1800000022.378.3.1
한나라당의 한 의원 보좌관은 전화통화에서 최근 이슈인'외고 전환론'에 대해 "당황스럽다"고 했다.

한나라당의	한나라당/NNP+의/JKG
한	한/MMN
의원	의원/NNG
보좌관은	보좌관/NNG+은/JX
전화통화에서	전화/NNG+통화/NNG+에서/JKB
최근	최근/MAG
이슈인'외고	이슈/NNG+이/VCP+ㄴ/ETM+'/SS+외고/NNG
전환론'에	전환/NNG+론/XSN+'/SS+에/JKB
대해	대하/VV+아/EC
"당황스럽다"고	"/SS+당황/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.378.3.2
엊그제까지 교육의 '자율과 경쟁'을 내세우던 한나라당이 갑자기 외고의 '사실상 폐지' 논쟁을 주도하는 모양이 되니 "어떻게 소화해야 할지 모르겠다"는 것이었다.

엊그제까지	엊그제/NNG+까지/JX
교육의	교육/NNG+의/JKG
'자율과	'/SS+자율/NNG+과/JC
경쟁'을	경쟁/NNG+'/SS+을/JKO
내세우던	내세우/VV+던/ETM
한나라당이	한나라당/NNP+이/JKS
갑자기	갑자기/MAG
외고의	외고/NNG+의/JKG
'사실상	'/SS+사실/NNG+상/XSN
폐지'	폐지/NNG+'/SS
논쟁을	논쟁/NNG+을/JKO
주도하는	주도/NNG+하/XSV+는/ETM
모양이	모양/NNG+이/JKC
되니	되/VV+니/EC
"어떻게	"/SS+어떻/VA+게/EC
소화해야	소화/NNG+하/XSV+아야/EC
할지	하/VX+ㄹ지/EF
모르겠다"는	모르/VV+겠/EP+다/EF+"/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.378.3.3
실제로 지난 6일 교과부 국정 감사에서 한나라당 일부 의원들이 "외고를 자율형 사립고로 바꾸자"는 주장을 들고 나오기 전까지 한나라당에서 외고 폐지 얘기는 공식적으로 논의된 적이 없다.

실제로	실제로/MAG
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
교과부	교과부/NNG
국정	국정/NNG
감사에서	감사/NNG+에서/JKB
한나라당	한나라당/NNP
일부	일부/NNG
의원들이	의원/NNG+들/XSN+이/JKS
"외고를	"/SS+외고/NNG+를/JKO
자율형	자율/NNG+형/XSN
사립고로	사립고/NNG+로/JKB
