# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.321
metadata : {}


# id : NWRW1800000048.321.1.1
IBK기업은행, PO-챔프전 전승 우승 ‘V2’

IBK기업은행,	IBK기업은행/NNP+,/SP
PO-챔프전	PO/SL+-/SO+챔프전/NNG
전승	전승/NNG
우승	우승/NNG
‘V2’	‘/SS+V/SL+2/SN+’/SS


# id : NWRW1800000048.321.2.1
여자배구 2년만에 챔피언 탈환

여자배구	여자/NNG+배구/NNG
2년만에	2/SN+년/NNB+만/NNB+에/JKB
챔피언	챔피언/NNG
탈환	탈환/NNG


# id : NWRW1800000048.321.3.1
시즌 1위 도로공사, 첫 우승 실패

시즌	시즌/NNG
1위	1/SN+위/NNB
도로공사,	도로공사/NNP+,/SP
첫	첫/MMN
우승	우승/NNG
실패	실패/NNG


# id : NWRW1800000048.321.4.1
아이비케이(IBK)기업은행이 한국도로공사를 완파하고 프로배구 여자부 챔피언에 올랐다.

아이비케이(IBK)기업은행이	아이비케이/NNP+(/SS+IBK/SL+)/SS+기업은행/NNP+이/JKS
한국도로공사를	한국도로공사/NNP+를/JKO
완파하고	완파/NNG+하/XSV+고/EC
프로배구	프로/NNG+배구/NNG
여자부	여자부/NNG
챔피언에	챔피언/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.321.5.1
기업은행은 31일 경기도 화성종합체육관에서 열린 NH농협 2014~2015 프로배구 V리그 여자부 챔피언결정전 3차전에서 도로공사를 세트점수 3-0(25:15/25:23/25:19)으로 꺾었다.

기업은행은	기업은행/NNP+은/JX
31일	31/SN+일/NNB
경기도	경기도/NNP
화성종합체육관에서	화성종합체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
NH농협	NH농협/NNP
2014~2015	2014/SN+~/SO+2015/SN
프로배구	프로/NNG+배구/NNG
V리그	V/SL+리그/NNG
여자부	여자부/NNG
챔피언결정전	챔피언/NNG+결정전/NNG
3차전에서	3/SN+차전/NNB+에서/JKB
도로공사를	도로공사/NNP+를/JKO
세트점수	세트/NNG+점수/NNG
3-0(25:15/25:23/25:19)으로	3/SN+-/SO+0/SN+(/SS+25/SN+:/SP+15/SN+//SP+25/SN+:/SP+23/SN+//SP+25/SN+:/SP+19/SN+)/SS+으로/JKB
꺾었다.	꺾/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.321.5.2
지난 2013~2014 시즌 정규리그 1위를 하고도 지에스(GS)칼텍스에 챔피언을 넘겨줘야 했던 기업은행은 이번 포스트시즌에서는 무결점 경기를 펼쳤다.

지난	지나/VV+ㄴ/ETM
2013~2014	2013/SN+~/SO+2014/SN
시즌	시즌/NNG
정규리그	정규/NNG+리그/NNG
1위를	1/SN+위/NNB+를/JKO
하고도	하/VV+고/EC+도/JX
지에스(GS)칼텍스에	지에스/NNP+(/SS+GS/SL+)/SS+칼텍스/NNP+에/JKB
챔피언을	챔피언/NNG+을/JKO
넘겨줘야	넘겨주/VV+어야/EC
했던	하/VX+았/EP+던/ETM
기업은행은	기업은행/NNP+은/JX
이번	이번/NNG
포스트시즌에서는	포스트시즌/NNG+에서/JKB+는/JX
무결점	무/XPN+결점/NNG
경기를	경기/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.321.5.3
