# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.126
metadata : {}


# id : NWRW1800000021.126.1.1
“청춘 바친 전우들의 희생 헛되지 않았다”

“청춘	“/SS+청춘/NNG
바친	바치/VV+ㄴ/ETM
전우들의	전우/NNG+들/XSN+의/JKG
희생	희생/NNG
헛되지	헛되/VA+지/EC
않았다”	않/VX+았/EP+다/EF+”/SS


# id : NWRW1800000021.126.2.1
노병은 죽지 않았다.

노병은	노병/NNG+은/JX
죽지	죽/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.126.2.2
백발이 돼 돌아왔을 뿐이다.

백발이	백발/NNG+이/JKC
돼	되/VV+어/EC
돌아왔을	돌아오/VV+았/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.126.3.1
6·25전쟁에 참전한 영국군 미들섹스 연대의 희생을 기리는 추모비 제막식이 열린 17일 경기 가평군 가평읍사무소.

6·25전쟁에	6/SN+·/SP+25/SN+전쟁/NNG+에/JKB
참전한	참전/NNG+하/XSV+ㄴ/ETM
영국군	영국군/NNG
미들섹스	미들섹스/NNP
연대의	연대/NNG+의/JKG
희생을	희생/NNG+을/JKO
기리는	기리/VV+는/ETM
추모비	추모비/NNG
제막식이	제막식/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
17일	17/SN+일/NNB
경기	경기/NNP
가평군	가평군/NNP
가평읍사무소.	가평읍/NNP+사무소/NNG+./SF


# id : NWRW1800000021.126.3.2
목발을 짚은 불편한 몸으로 행사에 참석한 영국군 참전용사 로빈 여우드 씨(77)는 떨리는 손으로 추모비를 쓰다듬었다.

목발을	목발/NNG+을/JKO
짚은	짚/VV+은/ETM
불편한	불편/NNG+하/XSA+ㄴ/ETM
몸으로	몸/NNG+으로/JKB
행사에	행사/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
영국군	영국군/NNG
참전용사	참전/NNG+용사/NNG
로빈	로빈/NNP
여우드	여우드/NNP
씨(77)는	씨/NNB+(/SS+77/SN+)/SS+는/JX
떨리는	떨리/VV+는/ETM
손으로	손/NNG+으로/JKB
추모비를	추모비/NNG+를/JKO
