# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.376
metadata : {}


# id : NWRW1800000036.376.1.1
‘핵테러 막자’ 53개국 회담…한·중 등 북핵 집중 논의

‘핵테러	‘/SS+핵/NNG+테러/NNG
막자’	막/VV+자/EF+’/SS
53개국	53/SN+개국/NNB
회담…한·중	회담/NNG+…/SE+한·중/NNP
등	등/NNB
북핵	북핵/NNG
집중	집중/NNG
논의	논의/NNG


# id : NWRW1800000036.376.2.1
[한겨레] 의미와 전망

[한겨레]	[/SS+한겨레/NNP+]/SS
의미와	의미/NNG+와/JC
전망	전망/NNG


# id : NWRW1800000036.376.3.1
고농축우라늄 16~17t 축소 등 구체적 합의 예상

고농축우라늄	고/XPN+농축/NNG+우라늄/NNG
16~17t	16/SN+~/SO+17/SN+t/SW
축소	축소/NNG
등	등/NNB
구체적	구체/NNG+적/XSN
합의	합의/NNG
예상	예상/NNG


# id : NWRW1800000036.376.4.1
“핵 독점권 강화·원전보급 명분 키우나” 비판도

“핵	“/SS+핵/NNG
독점권	독점/NNG+권/XSN
강화·원전보급	강화/NNG+·/SP+원전/NNG+보급/NNG
명분	명분/NNG
키우나”	키우/VV+나/EF+”/SS
비판도	비판/NNG+도/JX


# id : NWRW1800000036.376.5.1
한국 24차례 양자회담 등 외교력 향상엔 한몫

한국	한국/NNP
24차례	24/SN+차례/NNG
양자회담	양자/NNG+회담/NNG
등	등/NNB
외교력	외교력/NNG
향상엔	향상/NNG+에/JKB+ㄴ/JX
한몫	한몫/NNG


# id : NWRW1800000036.376.6.1
26일부터 이틀 동안 열리는 ‘2012 서울 핵안보정상회의’는 세계가 힘을 합해 핵 테러를 막자는 데 목적을 두고 있다.

26일부터	26/SN+일/NNB+부터/JX
이틀	이틀/NNG
동안	동안/NNG
열리는	열리/VV+는/ETM
‘2012	‘/SS+2012/SN
서울	서울/NNP
핵안보정상회의’는	핵/NNG+안보/NNG+정상/NNG+회의/NNG+’/SS+는/JX
세계가	세계/NNG+가/JKS
힘을	힘/NNG+을/JKO
합해	합/NNG+하/XSV+아/EC
핵	핵/NNG
테러를	테러/NNG+를/JKO
막자는	막/VV+자는/ETM
데	데/NNB
목적을	목적/NNG+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.376.6.2
사상 최대 규모 외교행사로 우리나라 외교력 향상에 기여할 것으로 보이지만, 실질적 관심사인 원자력 안전이나 북한 핵 문제를 실질적으로 논의하는 장이 아니라는 점에서 한계가 뚜렷하다.

사상	사상/NNG
최대	최대/NNG
규모	규모/NNG
외교행사로	외교/NNG+행사/NNG+로/JKB
우리나라	우리나라/NNG
외교력	외교력/NNG
향상에	향상/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이지만,	보이/VV+지만/EC+,/SP
실질적	실질/NNG+적/XSN
관심사인	관심사/NNG+이/VCP+ㄴ/ETM
원자력	원자력/NNG
안전이나	안전/NNG+이나/JC
북한	북한/NNP
핵	핵/NNG
문제를	문제/NNG+를/JKO
실질적으로	실질/NNG+적/XSN+으로/JKB
논의하는	논의/NNG+하/XSV+는/ETM
장이	장/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
점에서	점/NNG+에서/JKB
한계가	한계/NNG+가/JKS
뚜렷하다.	뚜렷하/VA+다/EF+./SF


# id : NWRW1800000036.376.7.1
■ 핵 테러 방지 목표

■	■/SW
핵	핵/NNG
테러	테러/NNG
방지	방지/NNG
목표	목표/NNG


# id : NWRW1800000036.376.8.1
이번 2차 핵안보정상회의는 고농축우라늄(HEU)과 플루토늄 등 핵물질을 안전하게 관리해 테러단체의 수중에 들어가지 않도록 하자는 데 주요 목적이 있다.

이번	이번/NNG
2차	2/SN+차/NNB
핵안보정상회의는	핵/NNG+안보/NNG+정상/NNG+회의/NNG+는/JX
고농축우라늄(HEU)과	고/XPN+농축/NNG+우라늄/NNG+(/SS+HEU/SL+)/SS+과/JC
플루토늄	플루토늄/NNG
등	등/NNB
핵물질을	핵물질/NNG+을/JKO
안전하게	안전/NNG+하/XSA+게/EC
관리해	관리/NNG+하/XSV+아/EC
테러단체의	테러/NNG+단체/NNG+의/JKG
수중에	수중/NNG+에/JKB
들어가지	들어가/VV+지/EC
않도록	않/VX+도록/EC
하자는	하/VV+자는/ETM
데	데/NNB
주요	주요/NNG
목적이	목적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.376.8.2
냉전 당시 핵무기 경쟁과 원자력발전 보급으로 ‘잠재적 핵무기’인 핵물질은 세계 곳곳에 차곡차곡 쌓여 있다.

냉전	냉전/NNG
당시	당시/NNG
핵무기	핵무기/NNG
경쟁과	경쟁/NNG+과/JC
원자력발전	원자력/NNG+발전/NNG
보급으로	보급/NNG+으로/JKB
‘잠재적	‘/SS+잠재/NNG+적/XSN
핵무기’인	핵무기/NNG+’/SS+이/VCP+ㄴ/ETM
핵물질은	핵물질/NNG+은/JX
세계	세계/NNG
곳곳에	곳곳/NNG+에/JKB
차곡차곡	차곡차곡/MAG
쌓여	쌓이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.376.8.3
이명박 대통령은 지난 19일 라디오 연설에서 “현재 전세계에는 핵무기 13만개를 만들 수 있는 핵물질이 산재해 있다”며 “이번 회의는 전세계 핵물질의 양을 최소화하고 관리를 강화하자는 것”이라고 말했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
라디오	라디오/NNG
연설에서	연설/NNG+에서/JKB
“현재	“/SS+현재/MAG
전세계에는	전/MMN+세계/NNG+에/JKB+는/JX
핵무기	핵무기/NNG
13만개를	13/SN+만/NR+개/NNB+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
핵물질이	핵물질/NNG+이/JKS
산재해	산재/NNG+하/XSV+아/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
회의는	회의/NNG+는/JX
전세계	전/MMN+세계/NNG
핵물질의	핵물질/NNG+의/JKG
양을	양/NNG+을/JKO
최소화하고	최소/NNG+화/XSN+하/XSV+고/EC
관리를	관리/NNG+를/JKO
강화하자는	강화/NNG+하/XSV+자는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.376.9.1
정상회의 참가국들은 오는 27일 △핵물질 최소화 노력 △핵물질의 안전한 관리 △핵물질의 불법거래 방지 등의 내용이 담긴 ‘서울 코뮈니케’를 채택할 예정이다.

정상회의	정상/NNG+회의/NNG
참가국들은	참가국/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
27일	27/SN+일/NNB
△핵물질	△/SW+핵물질/NNG
최소화	최소/NNG+화/XSN
노력	노력/NNG
△핵물질의	△/SW+핵물질/NNG+의/JKG
안전한	안전/NNG+하/XSA+ㄴ/ETM
관리	관리/NNG
불법거래	불법/NNG+거래/NNG
방지	방지/NNG
등의	등/NNB+의/JKG
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘서울	‘/SS+서울/NNP
코뮈니케’를	코뮈니케/NNG+’/SS+를/JKO
채택할	채택/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.376.9.2
현재 전세계에 16~17t 정도 널려 있는 민간 사용 고농축우라늄을 줄이자고 하는 등 구체적인 내용이 담긴다.

현재	현재/MAG
전세계에	전/MMN+세계/NNG+에/JKB
16~17t	16/SN+~/SO+17/SN+t/SW
정도	정도/NNG
널려	널리/VV+어/EC
있는	있/VX+는/ETM
민간	민간/NNG
사용	사용/NNG
고농축우라늄을	고/XPN+농축/NNG+우라늄/NNG+을/JKO
줄이자고	줄이/VV+자고/EC
하는	하/VV+는/ETM
등	등/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용이	내용/NNG+이/JKS
담긴다.	담기/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.376.9.3
또 각국이 고농축우라늄을 자발적으로 폐기하겠다고 공약할 가능성도 크다.

또	또/MAG
각국이	각국/NNG+이/JKS
고농축우라늄을	고/XPN+농축/NNG+우라늄/NNG+을/JKO
자발적으로	자발/NNG+적/XSN+으로/JKB
폐기하겠다고	폐기/NNG+하/XSV+겠/EP+다고/EC
공약할	공약/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000036.376.9.4
2010년 열린 1차 핵안보정상회의에서 채택된 ‘워싱턴 코뮈니케’는 선언적 수준에 머물렀다.

2010년	2010/SN+년/NNB
열린	열리/VV+ㄴ/ETM
1차	1/SN+차/NNB
핵안보정상회의에서	핵/NNG+안보/NNG+정상/NNG+회의/NNG+에서/JKB
채택된	채택/NNG+되/XSV+ㄴ/ETM
‘워싱턴	‘/SS+워싱턴/NNP
코뮈니케’는	코뮈니케/NNG+’/SS+는/JX
선언적	선언/NNG+적/XSN
수준에	수준/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.376.9.5
3차 회의는 2014년 네덜란드에서 열린다.

3차	3/SN+차/NNB
회의는	회의/NNG+는/JX
2014년	2014/SN+년/NNB
네덜란드에서	네덜란드/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.376.10.1
핵안보정상회의는 9·11 테러 이후 핵 테러를 두려워하는 미국이 주도하는 국제회의인 탓에 상당한 한계도 갖고 있다.

핵안보정상회의는	핵/NNG+안보/NNG+정상/NNG+회의/NNG+는/JX
9·11	9/SN+·/SP+11/SN
테러	테러/NNG
이후	이후/NNG
핵	핵/NNG
테러를	테러/NNG+를/JKO
두려워하는	두려워하/VV+는/ETM
미국이	미국/NNP+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
국제회의인	국제회의/NNG+이/VCP+ㄴ/ETM
탓에	탓/NNG+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
한계도	한계/NNG+도/JX
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.376.10.2
정부는 이번 회의를 두고 “핵무기 없는 세상을 위한 첫걸음”이라고 의미를 부여하고 있다.

정부는	정부/NNG+는/JX
이번	이번/NNG
회의를	회의/NNG+를/JKO
두고	두/VV+고/EC
“핵무기	“/SS+핵무기/NNG
없는	없/VA+는/ETM
세상을	세상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
첫걸음”이라고	첫걸음/NNG+”/SS+이라고/JKQ
의미를	의미/NNG+를/JKO
부여하고	부여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.376.10.3
하지만 일각에선 미국 주도의 이 회의가 기존 핵보유국의 핵 독점권을 강화하고, 원전의 안전성을 강조함으로써 원전 보급의 명분을 세우는 회의가 되고 있다고 지적한다.

하지만	하지만/MAJ
일각에선	일각/NNG+에서/JKB+ㄴ/JX
미국	미국/NNP
주도의	주도/NNG+의/JKG
이	이/MMD
회의가	회의/NNG+가/JKC
기존	기존/NNG
핵보유국의	핵보유국/NNG+의/JKG
핵	핵/NNG
독점권을	독점/NNG+권/XSN+을/JKO
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
원전의	원전/NNG+의/JKG
안전성을	안전/NNG+성/XSN+을/JKO
강조함으로써	강조/NNG+하/XSV+ㅁ/ETN+으로써/JKB
원전	원전/NNG
보급의	보급/NNG+의/JKG
명분을	명분/NNG+을/JKO
세우는	세우/VV+는/ETM
되고	되/VV+고/EC
있다고	있/VX+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.376.10.4
이번 회의의 부대행사로 원전산업 관련자들이 참석하는 원자력인더스트리 서밋이 열리는 것도 이를 뒷받침한다.

이번	이번/NNG
회의의	회의/NNG+의/JKG
부대행사로	부대/NNG+행사/NNG+로/JKB
원전산업	원전/NNG+산업/NNG
관련자들이	관련자/NNG+들/XSN+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
원자력인더스트리	원자력/NNG+인더스트리/NNG
서밋이	서밋/NNG+이/JKS
열리는	열리/VV+는/ETM
것도	것/NNB+도/JX
이를	이/NP+를/JKO
뒷받침한다.	뒷받침/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.376.10.5
무엇보다 지난해 3월 일본 후쿠시마 원전 사고 이후 관심이 집중된 원전 안전과 북한의 비핵화(핵확산 방지) 문제와 이번 회의는 사실상 무관하다.

무엇보다	무엇/NP+보다/JKB
지난해	지난해/NNG
3월	3/SN+월/NNB
일본	일본/NNP
후쿠시마	후쿠시마/NNP
