# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.125
metadata : {}


# id : NWRW1800000028.125.1.1
그대들을 오래도록 기억하겠습니다 /천안함 수병들 바다에서 하늘로 ‘통한의 귀환’

그대들을	그대/NP+들/XSN+을/JKO
오래도록	오래도록/MAG
기억하겠습니다	기억/NNG+하/XSV+겠/EP+습니다/EF
/천안함	//SP+천안함/NNP
수병들	수병/NNG+들/XSN
바다에서	바다/NNG+에서/JKB
하늘로	하늘/NNG+로/JKB
‘통한의	‘/SS+통한/NNG+의/JKG
귀환’	귀환/NNG+’/SS


# id : NWRW1800000028.125.2.1
15일 새벽녘에 설핏 잠이 깬 박영이(48)씨는 차마 눈을 뜨지 못하고 돌아누웠다.

15일	15/SN+일/NNB
새벽녘에	새벽녘/NNG+에/JKB
설핏	설핏/MAG
잠이	잠/NNG+이/JKS
깬	깨/VV+ㄴ/ETM
박영이(48)씨는	박영이/NNP+(/SS+48/SN+)/SS+씨/NNB+는/JX
차마	차마/MAG
눈을	눈/NNG+을/JKO
뜨지	뜨/VV+지/EC
못하고	못하/VX+고/EC
돌아누웠다.	돌아눕/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.125.2.2
날이 밝으면 아들 박보람(24) 하사와의 이별을 두 눈으로 확인해야 하는 현실이 믿기지 않았다.

날이	날/NNG+이/JKS
밝으면	밝/VA+으면/EC
아들	아들/NNG
박보람(24)	박보람/NNP+(/SS+24/SN+)/SS
하사와의	하사/NNG+와/JKB+의/JKG
이별을	이별/NNG+을/JKO
두	두/MMN
눈으로	눈/NNG+으로/JKB
확인해야	확인/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
현실이	현실/NNG+이/JKS
믿기지	믿기/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.125.3.1
“간밤 꿈에서 보람이가 동생이랑 손을 잡고 환하게 웃으면서 나한테 걸어왔는데….”

“간밤	“/SS+간밤/NNG
꿈에서	꿈/NNG+에서/JKB
보람이가	보람이/NNP+가/JKS
동생이랑	동생/NNG+이랑/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
환하게	환하/VA+게/EC
웃으면서	웃/VV+으면서/EC
나한테	나/NP+한테/JKB
걸어왔는데….”	걸어오/VV+았/EP+는데/EC+…/SE+./SF+”/SS


# id : NWRW1800000028.125.4.1
꿈에서 아들과 만난 기쁨도 잠시, 박씨는 누운 채로 한없이 베갯잇을 적셨다.

꿈에서	꿈/NNG+에서/JKB
아들과	아들/NNG+과/JKB
만난	만나/VV+ㄴ/ETM
기쁨도	기쁨/NNG+도/JX
잠시,	잠시/MAG+,/SP
박씨는	박/NNP+씨/NNB+는/JX
누운	눕/VV+ㄴ/ETM
채로	채/NNB+로/JKB
한없이	한없이/MAG
베갯잇을	베갯잇/NNG+을/JKO
적셨다.	적시/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.125.4.2
