# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.360
metadata : {}


# id : NWRW1800000041.360.1.1
與 “공공개혁 3대 법안 2014년내 처리”

與	與/SH
“공공개혁	“/SS+공공/NNG+개혁/NNG
3대	3/SN+대/NNG
법안	법안/NNG
2014년내	2014/SN+년/NNB+내/NNB
처리”	처리/NNG+”/SS


# id : NWRW1800000041.360.2.1
공무원연금 이어 공공기관 - 규제 개혁 사실상 당론 발의 이완구 “朴대통령 개혁 차질없게” 야당선 반대… 입법과정 진통 예상

공무원연금	공무원/NNG+연금/NNG
이어	잇/VV+어/EC
공공기관	공공/NNG+기관/NNG
-	-/SO
규제	규제/NNG
개혁	개혁/NNG
사실상	사실/NNG+상/XSN
당론	당론/NNG
발의	발의/NNG
이완구	이완구/NNP
“朴대통령	“/SS+朴/SH+대통령/NNG
차질없게”	차질/NNG+없/VA+게/EC+”/SS
야당선	야당/NNG+서/JKB+ㄴ/JX
반대…	반대/NNG+…/SE
입법과정	입법/NNG+과정/NNG
진통	진통/NNG
예상	예상/NNG


# id : NWRW1800000041.360.3.1
새누리당이 공공개혁의 고삐를 바짝 조이고 있다.

새누리당이	새누리당/NNP+이/JKS
공공개혁의	공공/NNG+개혁/NNG+의/JKG
고삐를	고삐/NNG+를/JKO
바짝	바짝/MAG
조이고	조이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.360.3.2
집권 2년 차가 마무리되는 시점에 박근혜 정부의 대표적인 성과물을 만들어 내겠다는 청와대의 강력한 의지에 여당이 적극 호응하는 모양새다.

집권	집권/NNG
2년	2/SN+년/NNB
차가	차/NNG+가/JKS
마무리되는	마무리/NNG+되/XSV+는/ETM
시점에	시점/NNG+에/JKB
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
성과물을	성과물/NNG+을/JKO
만들어	만들/VV+어/EC
내겠다는	내/VX+겠/EP+다는/ETM
청와대의	청와대/NNP+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
의지에	의지/NNG+에/JKB
여당이	여당/NNG+이/JKS
적극	적극/NNG
호응하는	호응/NNG+하/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.360.4.1
새누리당은 13일 공공기관운영법 개정안과 규제개혁특별법안을 국회에 제출했다.

새누리당은	새누리당/NNP+은/JX
13일	13/SN+일/NNB
공공기관운영법	공공/NNG+기관/NNG+운영법/NNG
개정안과	개정안/NNG+과/JC
규제개혁특별법안을	규제/NNG+개혁/NNG+특별/NNG+법안/NNG+을/JKO
국회에	국회/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.360.4.2
7일 열린 의원총회에서 당론 채택은 안 됐지만 규제개혁법에는 소속 의원 158명 가운데 156명, 공공기관운영법에는 154명이 서명했다.

7일	7/SN+일/NNB
열린	열리/VV+ㄴ/ETM
의원총회에서	의원/NNG+총회/NNG+에서/JKB
당론	당론/NNG
채택은	채택/NNG+은/JX
안	안/MAG
됐지만	되/VV+었/EP+지만/EC
규제개혁법에는	규제/NNG+개혁법/NNG+에/JKB+는/JX
소속	소속/NNG
의원	의원/NNG
158명	158/SN+명/NNB
가운데	가운데/NNG
156명,	156/SN+명/NNB+,/SP
공공기관운영법에는	공공/NNG+기관/NNG+운영법/NNG+에/JKB+는/JX
154명이	154/SN+명/NNB+이/JKS
서명했다.	서명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.360.4.3
사실상 당론 추진이라 해도 과언이 아니다.

사실상	사실/NNG+상/XSN
당론	당론/NNG
추진이라	추진/NNG+이/VCP+라/EC
해도	하/VV+아도/EC
과언이	과언/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.360.4.4
이로써 지난달 28일 소속 의원 전원이 서명해 제출한 공무원연금 개혁법안을 포함해 정부와 여당이 추진해온 공공개혁 3대 법안이 모두 발의됐다.

이로써	이/NP+로써/JKB
지난달	지난달/NNG
28일	28/SN+일/NNB
소속	소속/NNG
의원	의원/NNG
전원이	전원/NNG+이/JKS
서명해	서명/NNG+하/XSV+아/EC
제출한	제출/NNG+하/XSV+ㄴ/ETM
