# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.370
metadata : {}


# id : NWRW1800000024.370.1.1
이스라엘, 미국품 벗어나나 /‘대미의존 벗어나 관계확대 추진’ 외무부 메모 공개

이스라엘,	이스라엘/NNP+,/SP
미국품	미국/NNP+품/NNG
벗어나나	벗어나/VV+나/EF
/‘대미의존	//SP+‘/SS+대미/NNG+의존/NNG
벗어나	벗어나/VV+아/EC
관계확대	관계/NNG+확대/NNG
추진’	추진/NNG+’/SS
외무부	외무부/NNG
메모	메모/NNG
공개	공개/NNG


# id : NWRW1800000024.370.2.1
외교정책 다변화인가, 독심 품은 홀로서기인가?

외교정책	외교/NNG+정책/NNG
다변화인가,	다변/NNG+화/XSN+이/VCP+ㄴ가/EF+,/SP
독심	독심/NNG
품은	품/VV+은/ETM
홀로서기인가?	홀로서기/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000024.370.3.1
이스라엘이 과도한 미국 의존에서 벗어나는 새로운 외교정책을 구상하고 있는 것으로 밝혀졌다.

이스라엘이	이스라엘/NNP+이/JKS
과도한	과도/NNG+하/XSA+ㄴ/ETM
미국	미국/NNP
의존에서	의존/NNG+에서/JKB
벗어나는	벗어나/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
외교정책을	외교/NNG+정책/NNG+을/JKO
구상하고	구상/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝히/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.370.3.2
<예루살렘 포스트> 인터넷판은 이스라엘 외무부가 아미글드 리베르만 장관의 지시로 최근 작성한 5쪽짜리 비밀메모 사본을 입수해 7일 보도했다.

<예루살렘	</SS+예루살렘/NNP
포스트>	포스트/NNG+>/SS
인터넷판은	인터넷판/NNG+은/JX
이스라엘	이스라엘/NNP
외무부가	외무부/NNG+가/JKS
아미글드	아미글드/NNP
리베르만	리베르만/NNP
장관의	장관/NNG+의/JKG
지시로	지시/NNG+로/JKB
최근	최근/MAG
작성한	작성/NNG+하/XSV+ㄴ/ETM
5쪽짜리	5/SN+쪽/NNG+짜리/XSN
비밀메모	비밀/NNG+메모/NNG
사본을	사본/NNG+을/JKO
입수해	입수/NNG+하/XSV+아/EC
7일	7/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.370.3.3
‘전반적인 신외교정책의 가이드라인’으로 알려진 이 메모는 미국에 대한 ‘고독한 의존’에서 벗어나 다른 강대국 및 개발도상국들과 폭넓고 밀접한 관계를 발전시킬 것을 제안하고 있다.

‘전반적인	‘/SS+전반/NNG+적/XSN+이/VCP+ㄴ/ETM
신외교정책의	신/XPN+외교/NNG+정책/NNG+의/JKG
가이드라인’으로	가이드라인/NNG+’/SS+으로/JKB
알려진	알려지/VV+ㄴ/ETM
이	이/MMD
메모는	메모/NNG+는/JX
미국에	미국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
‘고독한	‘/SS+고독/NNG+하/XSA+ㄴ/ETM
의존’에서	의존/NNG+’/SS+에서/JKB
벗어나	벗어나/VV+아/EC
다른	다른/MMD
강대국	강대국/NNG
및	및/MAG
개발도상국들과	개발/NNG+도상국/NNG+들/XSN+과/JKB
폭넓고	폭넓/VA+고/EC
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관계를	관계/NNG+를/JKO
발전시킬	발전/NNG+시키/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안하고	제안/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.370.4.1
메모는 “미국은 의심할 바 없는 이스라엘의 베스트 프렌드”라면서도 “미국에 대한 고독한 의존은 서로에게 이롭지 않으며, 다른 나라들과 상호 관심사에 바탕한 동맹 관계를 구축함으로써 지지 세력을 확대·강화해야 한다”고 지적했다.

메모는	메모/NNG+는/JX
“미국은	“/SS+미국/NNP+은/JX
